scenario,depth,rho,m_flux,reps,recurrent_call_rate,mean_events,median_events,mean_n_sites
recurrent,old,0.0,0.0,60,0.883333,1.966667,2.0,473.116667
recurrent,old,0.0,0.0,60,0.883333,1.916667,2.0,460.383333
recurrent,old,0.0,0.0,60,0.9,1.966667,2.0,462.333333
recurrent,old,0.0,1e-06,60,0.95,2.116667,2.0,479.383333
recurrent,old,0.0,0.0,60,0.833333,1.833333,2.0,460.75
recurrent,old,0.0,0.0,60,0.783333,1.783333,2.0,442.85
recurrent,old,0.0,0.0,60,0.833333,1.866667,2.0,453.45
recurrent,old,0.0,0.0,60,0.85,1.883333,2.0,438.466667
recurrent,old,0.0,1e-06,60,0.9,2.066667,2.0,480.416667
recurrent,old,1e-06,0.0,60,0.783333,1.783333,2.0,463.15
recurrent,old,1e-06,0.0,60,0.816667,1.816667,2.0,436.0
recurrent,old,1e-06,0.0,60,0.766667,1.766667,2.0,447.433333
recurrent,old,1e-06,0.0,60,0.8,1.8,2.0,461.9
recurrent,old,1e-06,1e-06,60,0.883333,1.883333,2.0,446.766667
single,recent,0.0,0.0,60,0.583333,2.033333,2.0,346.616667
single,recent,0.0,0.0,60,0.6,1.983333,2.0,334.666667
single,recent,0.0,0.0,60,0.65,2.133333,2.0,327.783333
single,recent,0.0,0.0,60,0.516667,2.016667,2.0,332.35
single,recent,0.0,1e-06,60,0.633333,2.233333,2.0,342.233333
single,recent,0.0,0.0,60,0.433333,1.95,1.0,334.35
single,recent,0.0,0.0,60,0.5,1.983333,1.5,321.416667
single,recent,0.0,0.0,60,0.516667,1.983333,2.0,332.9
single,recent,0.0,0.0,60,0.566667,2.0,2.0,335.0
single,recent,0.0,1e-06,60,0.583333,2.166667,2.0,337.683333
single,recent,1e-06,0.0,60,0.0,1.0,1.0,316.883333
single,recent,1e-06,0.0,60,0.016667,1.016667,1.0,315.433333
single,recent,1e-06,0.0,60,0.016667,1.016667,1.0,320.283333
single,recent,1e-06,0.0,60,0.016667,1.016667,1.0,311.3
single,recent,1e-06,1e-06,60,0.0,1.0,1.0,302.383333
single,young,0.0,0.0,60,0.233333,1.25,1.0,383.766667
single,young,0.0,0.0,60,0.283333,1.333333,1.0,371.616667
single,young,0.0,0.0,60,0.3,1.316667,1.0,360.65
single,young,0.0,0.0,60,0.233333,1.283333,1.0,344.6
single,young,0.0,1e-06,60,0.3,1.35,1.0,354.5
single,young,0.0,0.0,60,0.116667,1.183333,1.0,341.283333
single,young,0.0,0.0,60,0.166667,1.216667,1.0,364.283333
single,young,0.0,0.0,60,0.2,1.233333,1.0,352.533333
single,young,0.0,0.0,60,0.133333,1.166667,1.0,346.983333
single,young,0.0,1e-06,60,0.183333,1.266667,1.0,375.9
single,young,1e-06,0.0,60,0.0,1.0,1.0,353.883333
single,young,1e-06,0.0,60,0.016667,1.016667,1.0,356.75
single,young,1e-06,0.0,60,0.0,1.0,1.0,359.116667
single,young,1e-06,0.0,60,0.016667,1.016667,1.0,347.283333
single,young,1e-06,1e-06,60,0.0,1.0,1.0,338.45
single,old,0.0,0.0,60,0.05,1.05,1.0,407.666667
single,old,0.0,0.0,60,0.05,1.05,1.0,409.333333
single,old,0.0,0.0,60,0.016667,1.016667,1.0,403.8
single,old,0.0,0.0,60,0.033333,1.033333,1.0,401.45
single,old,0.0,1e-06,60,0.116667,1.166667,1.0,416.75
single,old,0.0,0.0,60,0.0,1.0,1.0,393.683333
single,old,0.0,0.0,60,0.016667,1.016667,1.0,417.883333
single,old,0.0,0.0,60,0.0,1.0,1.0,421.133333
single,old,0.0,0.0,60,0.016667,1.016667,1.0,405.25
single,old,0.0,1e-06,60,0.05,1.05,1.0,406.866667
single,old,1e-06,0.0,60,0.0,1.0,1.0,438.266667
single,old,1e-06,0.0,60,0.0,1.0,1.0,420.55
single,old,1e-06,0.0,60,0.0,1.0,1.0,425.45
single,old,1e-06,0.0,60,0.0,1.0,1.0,398.15
single,old,1e-06,1e-06,60,0.0,1.0,1.0,412.016667
