locus	inv_id	band	is_featured	tags	size_bp	tag_snp	eqtl_n_sig	eqtl_n_up	eqtl_n_down	eqtl_top_gene	eqtl_top_beta	eqtl_top_dir	eqtl_top_q	gtex_n_sqtl_genes	gtex_sqtl_top_gene	geuv_splice_n_sig	geuv_splice_top_gene	measured_sqtl_any	gtex_eqtl_n_genes	gtex_eqtl_top_gene	gtex_eqtl_top_nes	gtex_eqtl_top_tissue	ag_top_splice_gene	ag_max_splice	ag_top_is_measured_sgene	measured_molecular_any
chr7:73113989-74799029	7:73113989-74799029	7q11.23	True	conservation	1685040	rs531347034	0	0	0					0		0		0	0				NSUN5	0.973		0
chr3:195749463-195980207	3:195749463-195980207		False		230744	rs6791220	6	2	4	ENSG00000260261	-0.07314	down	7.75e-05	6	SDHAP1	1	MUC20	1	13	ENSG00000229178	-0.727	Brain_Cerebellum	TNK2	0.98	True	1
chr1:25324280-25369060	1:25324280-25369060		False		44780	rs3093638	3	2	1	RHD	0.04247	up	2.37e-08	3	RSRP1	9	TMEM50A	1	10	RHCE	-0.932	Brain_Nucleus_accumbens_basal_ganglia	TMEM50A	0.992	False	1
chr21:13987773-14056796	21:13987773-14056796		False		69023	rs56275172	3	2	1	CYP4F29P	0.49074	up	4.48e-21	4	ENSG00000224905	0	HSPA13	1	9	ANKRD20A18P	0.82	Esophagus_Mucosa				1
chr12:75713180-75731794	12:75713180-75731794		False		18614	rs75813235	2	0	2	RPL21P98	-0.16007	down	0.0222	0		1	KRR1	1	0							1
chr13:48199250-48206639	13:48199250-48206639		False		7389	rs180876984	1	1	0	CYSLTR2	0.63253	up	0.0441	0		0	RCBTB2	0	0							1
chr17:16823490-18384190	17:16823490-18384190		False		1560700	rs117407639	1	0	1	PLD6	-0.20589	down	0.00277	3	FLCN	2	TRPV2	1	2	FLCN	0.42	Heart_Atrial_Appendage	MPRIP	0.98	True	1
chr10:15742803-15760427	10:15742803-15760427		False		17624	rs114799220	0	0	0					0		0		0	0							0
chr10:46144703-46204851	10:46144703-46204851		False		60148	rs12262234	0	0	0					1	WASHC2C	0		1	0							1
chr10:46983451-47468232	10:46983451-47468232		False		484781	rs112427807	0	0	0					3	SHLD2P3	0		1	21	ENSG00000215097	-1.501	Brain_Amygdala	GDF10	0.918		1
chr11:18249084-18265819	11:18249084-18265819		False		16735	rs138310178	0	0	0					2	HPS5	1	GTF2H1	1	1	HPS5	-0.326	Whole_Blood				1
chr11:50154999-50324102	11:50154999-50324102		False		169103	rs10901897	0	0	0					4	ENSG00000254840	0		1	10	TRIM51DP	-0.913	Brain_Cortex				1
chr11:71571819-71576724	11:71571819-71576724		False		4905	rs75439082	0	0	0					0		0	LAMTOR1	0	0							0
chr11:89920623-89923848	11:89920623-89923848		False		3225	rs74378710	0	0	0					0		0		0	0				TRIM49D1	0.01		0
chr12:131312081-131644839	12:131312081-131644839		False		332758	rs138034861	0	0	0					0		0		0	0							0
chr13:52310302-52320954	13:52310302-52320954		False		10652	rs74089427	0	0	0					0		0	ALG11	0	0							0
chr13:53902573-54093373	13:53902573-54093373		False		190800	rs141321388	0	0	0					0		0		0	0							0
chr14:60606118-60611659	14:60606118-60611659		False		5541	rs10483727	0	0	0					4	C14orf39	0	PCNX4	1	7	SALL4P7	0.344	Muscle_Skeletal				1
chr14:85872200-85889269	14:85872200-85889269		False		17069	rs1953762	0	0	0					0		0	LINC02328	0	0							0
chr15:23345459-28389868	15:23345459-28389868		False		5044409	rs531684372	0	0	0					0		0		0	0				GOLGA6L2	0.443		0
chr16:16721273-18073542	16:16721273-18073542		False		1352269	rs79710491	0	0	0					0		0	MYH11	0	0							0
chr16:35946683-35952382	16:35946683-35952382		False		5699	rs59210636	0	0	0					0		0		0	0							0
chr16:75206214-75222748	16:75206214-75222748		False		16534	rs12599715	0	0	0					5	ENSG00000240338	0	RFWD3	1	9	ENSG00000280152	0.461	Brain_Substantia_nigra	CTRB2	0.781	True	1
chr17:3082008-3221835	17:3082008-3221835		False		139827	rs150651108	0	0	0					0		0	P2RX5	0	0				OR1D2	0.062		0
chr1:108310642-108383736	1:108310642-108383736		False		73094	rs9661538	0	0	0					1	SLC25A24	0		1	2	SLC25A24	0.483	Brain_Cerebellum				1
chr1:13104252-13122521	1:13104252-13122521		False		18269	rs61149350	0	0	0					0		0		0	1	ENSG00000272482	0.224	Artery_Tibial	HNRNPCL2	0.103		1
chr1:149843518-149850293	1:149843518-149850293		False		6775	rs1509899	0	0	0					0		0	APH1A	0	0							0
chr1:248128773-248428856	1:248128773-248428856		False		300083	rs7537140	0	0	0					0		0	ZNF496	0	0				OR2M3	0.124		0
chr20:24397726-24406144	20:24397726-24406144		False		8418	rs6106863	0	0	0					0		0	ENTPD6	0	1	SYNDIG1	0.079	Nerve_Tibial				1
chr20:47841016-47888238	20:47841016-47888238		False		47222	rs6122627	0	0	0					0		0	SULF2	0	0							0
chr21:43821742-43835116	21:43821742-43835116		False		13374	rs57156166	0	0	0					0		0	CBS	0	0							0
chr2:45065588-45081777	2:45065588-45081777		False		16189	rs4953188	0	0	0					0		0	PREPL	0	0							0
chr2:87987171-111255403	2:87987171-111255403		False		23268232	rs149620706	0	0	0					1	THNSL2	2	MAP4K4	1	4	THNSL2	-1.324	Brain_Amygdala	FABP1	0.996	False	1
chr2:87995841-88180536	2:87995841-88180536		False		184695	rs372447078	0	0	0					0		0		0	0				FABP1	0.992		0
chr2:91832040-92012663	2:91832040-92012663		False		180623	rs10210240	0	0	0					0		0	LSP1P4	0	0							0
chr3:75454477-75455715	3:75454477-75455715		False		1238	rs57804628	0	0	0					2	LINC02018	0	ZNF717	1	8	FAM86DP	0.498	Uterus				1
chr4:33098066-33104924	4:33098066-33104924		False		6858	rs115377897	0	0	0					0		0		0	0							0
chr5:112179911-112236600	5:112179911-112236600		False		56689	rs114429832	0	0	0					0		0	STARD4	0	0				EPB41L4A	0.926		0
chr5:124425560-124546657	5:124425560-124546657		False		121097	rs113410059	0	0	0					0		0	CSNK1G3	0	0							0
chr5:177946129-178003952	5:177946129-178003952		False		57823	rs114988911	0	0	0					0		0	NHP2	0	0				PROP1	0.02		0
chr5:179643529-179651253	5:179643529-179651253		False		7724	rs4585401	0	0	0					5	ENSG00000228259	0	HNRNPH1	1	5	ENSG00000253520	0.634	Brain_Cerebellar_Hemisphere	C5orf60	0.543	True	1
chr6:141866310-141898728	6:141866310-141898728		False		32418	rs114225219	0	0	0					0		0	VTA1	0	0							0
chr6:76109081-76158474	6:76109081-76158474		False		49393	rs372730382	0	0	0					0		0		0	0							0
chr7:5989046-6735643	7:5989046-6735643		False		746597	rs11974681	0	0	0					2	FAM220A	0	CCZ1	1	1	EIF2AK1	-0.293	Esophagus_Gastroesophageal_Junction	KDELR2	0.996	False	1
chr7:62290674-62363143	7:62290674-62363143		False		72469	rs34251137	0	0	0					0		0		0	0							0
chr7:62408486-62456444	7:62408486-62456444		False		47958	rs1191996926	0	0	0					0		0		0	0							0
chr7:97445822-97459601	7:97445822-97459601		False		13779	rs57971537	0	0	0					0		0	SDHAF3	0	0							0
chr9:85797070-85801040	9:85797070-85801040		False		3970	rs7041370	0	0	0					2	ENSG00000230303	0	NTRK2	1	2	ENSG00000289214	-2.256	Liver				1
chr9:87942696-88110274	9:87942696-88110274		False		167578	rs1411863	0	0	0					1	CDK20	0	DAPK1	1	1	SPIN1	0.328	Whole_Blood	CDK20	0.949	True	1
chrX:149599490-149655967	X:149599490-149655967		False		56477	rs114130066	0	0	0					0		0		0	0				TMEM185A	0.961		0
chrX:149681035-149722249	X:149681035-149722249		False		41214	rs56258957	0	0	0					3	IDS	0		1	8	HSFX1	-0.947	Ovary	MAGEA11	0.5		1
chrX:152729753-152738707	X:152729753-152738707		False		8954	rs62613176	0	0	0					7	MAGEA2	0		1	5	CSAG2	-0.521	Testis	MAGEA12	0.656	True	1
chrX:153149748-153250226	X:153149748-153250226		False		100478	rs12556948	0	0	0					1	PNMA5	0		1	7	PNMA6B	1.093	Ovary	MAGEA1	0.49		1
chrX:154347246-154384867	X:154347246-154384867		False		37621	rs2070822	0	0	0					9	FLNA	0		1	29	PLXNA3	-0.59	Brain_Cortex	EMD	1.0	False	1
chrX:154591327-154613096	X:154591327-154613096		False		21769	rs5986876	0	0	0					4	IKBKG	0		1	16	FAM3A	-0.749	Cells_Cultured_fibroblasts				1
chrX:155386727-155453982	X:155386727-155453982		False		67255	rs112513387	0	0	0					0		0		0	0							0
chrX:52077120-52176974	X:52077120-52176974		False		99854	rs12391211	0	0	0					0		0		0	0							0
chrX:72997772-73077479	X:72997772-73077479		False		79707	rs73500394	0	0	0					0		0		0	4	MAP2K4P1	0.674	Esophagus_Gastroesophageal_Junction	PABPC1L2B	0.023		1
