locus	band	gene_id	gene_sym	chrom	coord_hg19	n	beta_log2fc_per_alt	se	t	p	perm_p	bh_q	direction	mean_log2rpkm
chr21:13987773-14056796		ENSG00000224905.2	ENSG00000224905.2	21	15399742	462	-0.19137	0.03345	-5.7203	1.9545554719945972e-08	0.000999000999000999	2.199763340299374e-06	down	1.1133
chr1:25324280-25369060		ENSG00000188672.10	ENSG00000188672.10	1	25756683	462	-0.0541	0.00961	-5.6314	3.171424845036538e-08	0.000999000999000999	3.2718532984626953e-06	down	0.3053
chr17:45585159-46292045		ENSG00000108433.10	ENSG00000108433.10	17	45000483	462	-0.12989	0.02368	-5.485	6.945810677794335e-08	0.000999000999000999	6.614548937776452e-06	down	5.2461
chr17:45585159-46292045		ENSG00000073969.13	ENSG00000073969.13	17	44668035	462	0.19397	0.03727	5.205	2.9690491533725936e-07	0.000999000999000999	2.6254877513394793e-05	up	3.7564
chr17:45585159-46292045		ENSG00000120088.9	ENSG00000120088.9	17	43699267	462	0.13038	0.02548	5.1162	4.644446136175325e-07	0.000999000999000999	3.8332162110567014e-05	up	3.0002
chr8:7301024-12598379		ENSG00000255495.1	ENSG00000255495.1	8	12051976	462	0.03992	0.0079	5.0504	6.445090047639965e-07	0.000999000999000999	4.986888424361423e-05	up	0.1838
chr17:45585159-46292045		ENSG00000225190.2	ENSG00000225190.2	17	43568146	462	0.04425	0.00882	5.0177	7.574435366498869e-07	0.000999000999000999	5.5159711668974116e-05	up	2.3232
chr3:195749463-195980207		ENSG00000260261.1	ENSG00000260261.1	3	195679566	462	-0.07314	0.01482	-4.9365	1.1264839556011321e-06	0.000999000999000999	7.747706316856675e-05	down	1.4
chr16:28471892-28637651		ENSG00000184730.6	ENSG00000184730.6	16	28505970	462	0.10951	0.02308	4.7457	2.8042151619094635e-06	0.000999000999000999	0.00018271675633915345	up	1.224
chr17:45585159-46292045		ENSG00000120071.8	ENSG00000120071.8	17	44302733	462	0.15134	0.03336	4.5369	7.351599459344306e-06	0.000999000999000999	0.0004550640065334125	up	3.2637
chr8:7301024-12598379		ENSG00000154319.10	ENSG00000154319.10	8	11332224	462	0.18697	0.04143	4.5128	8.198561351748575e-06	0.000999000999000999	0.00048332471206974934	up	1.4385
chr17:45585159-46292045		ENSG00000159314.5	ENSG00000159314.5	17	43511787	462	-0.11285	0.02534	-4.4531	1.0717478817399088e-05	0.000999000999000999	0.0006031017625427304	down	3.9196
chr21:13987773-14056796		ENSG00000230965.1	ENSG00000230965.1	21	15278809	462	0.05982	0.01373	4.357	1.6388975603730326e-05	0.000999000999000999	0.0008821544259747019	up	0.1675
chr17:45585159-46292045		ENSG00000232300.1	ENSG00000232300.1	17	44640161	462	-0.07591	0.01822	-4.1669	3.711516664781019e-05	0.000999000999000999	0.0019145240129162088	down	0.615
chr15:30618103-32153204		ENSG00000178081.8	ENSG00000178081.8	15	30395923	462	0.10179	0.0249	4.0877	5.1690578145860174e-05	0.000999000999000999	0.0025597174297829956	up	0.1591
chr17:16823490-18384190		ENSG00000179598.4	ENSG00000179598.4	17	17109646	462	-0.20589	0.0508	-4.0528	5.973819982203165e-05	0.000999000999000999	0.002767509950418013	down	2.2403
chr7:65219157-65531823		ENSG00000237310.1	ENSG00000237310.1	7	65958693	462	0.08484	0.02095	4.0503	6.035764835322e-05	0.000999000999000999	0.002767509950418013	up	1.1912
chr15:30618103-32153204		ENSG00000260128.2	ENSG00000260128.2	15	30864941	462	0.12589	0.03163	3.9805	8.028199709916135e-05	0.000999000999000999	0.0035496111574557765	up	0.2585
chr16:28471892-28637651		ENSG00000184110.9	ENSG00000184110.9	16	28699879	462	0.09656	0.02435	3.9658	8.522952674879013e-05	0.000999000999000999	0.003638419107413868	up	7.4289
chr16:28471892-28637651		ENSG00000205609.7	ENSG00000205609.7	16	28415200	462	0.08389	0.02122	3.9527	8.985892520917668e-05	0.000999000999000999	0.0036906907859612995	up	7.0349
chr3:195749463-195980207		ENSG00000061938.12	ENSG00000061938.12	3	195638816	462	0.09839	0.02496	3.9419	9.385279999049691e-05	0.000999000999000999	0.0036906907859612995	up	3.759
chr1:25324280-25369060		ENSG00000261349.1	ENSG00000261349.1	1	25593627	462	0.07389	0.01876	3.9379	9.539750012177834e-05	0.000999000999000999	0.0036906907859612995	up	0.9704
chr8:7301024-12598379		ENSG00000255310.1	ENSG00000255310.1	8	10967428	462	0.09437	0.02565	3.6789	0.0002629424362955322	0.002997002997002997	0.009694408457114095	up	1.5909
chr3:195749463-195980207		ENSG00000224769.1	ENSG00000224769.1	3	195341818	462	-0.06537	0.01778	-3.6756	0.00026624385100313346	0.000999000999000999	0.009694408457114095	down	0.2848
chr17:45585159-46292045		ENSG00000167159.4	ENSG00000167159.4	17	43717670	462	0.02672	0.00744	3.589	0.000368866898493362	0.001998001998001998	0.013047349152422347	up	0.1625
chr12:75713180-75731794		ENSG00000243071.1	ENSG00000243071.1	12	77054185	462	-0.16007	0.04658	-3.4363	0.0006451555716504002	0.001998001998001998	0.022186183269533206	down	6.4594
chr16:14954790-15100859		ENSG00000103429.6	ENSG00000103429.6	16	14726672	462	-0.06451	0.01932	-3.3384	0.0009133767228747222	0.001998001998001998	0.030561091430240706	down	4.7593
chr16:14954790-15100859		ENSG00000224712.5	ENSG00000224712.5	16	14802801	462	-0.05513	0.01712	-3.22	0.0013756740473618734	0.001998001998001998	0.043040229984185954	down	4.1201
chr3:195749463-195980207		ENSG00000242086.2	ENSG00000242086.2	3	195415518	462	-0.20451	0.06352	-3.2197	0.001377043348533034	0.001998001998001998	0.043040229984185954	down	2.4783
chr12:75713180-75731794		ENSG00000111615.8	ENSG00000111615.8	12	75905416	462	-0.18647	0.05797	-3.2168	0.0013906374792951842	0.001998001998001998	0.043040229984185954	down	4.8554
chr3:195749463-195980207		ENSG00000174007.7	ENSG00000174007.7	3	196439164	462	0.05002	0.01563	3.2001	0.001472329130360099	0.001998001998001998	0.044096325636651605	up	1.9205
chr13:48199250-48206639		ENSG00000152207.3	ENSG00000152207.3	13	49280951	462	0.63253	0.19817	3.1919	0.0015137864032736066	0.00999000999000999	0.044096325636651605	up	0.2926
chr3:195749463-195980207		ENSG00000229178.1	ENSG00000229178.1	3	195384798	462	-0.02058	0.00645	-3.1884	0.001531617126313424	0.001998001998001998	0.044096325636651605	down	0.1699
chr8:7301024-12598379		ENSG00000145002.8	ENSG00000145002.8	8	12293915	462	-0.08589	0.02708	-3.1711	0.0016234134580345228	0.002997002997002997	0.04567695138742589	down	1.0671
chr17:45585159-46292045		ENSG00000204650.6	ENSG00000204650.6	17	43697976	462	0.09559	0.03043	3.1407	0.0017975979052605186	0.002997002997002997	0.04945391570472271	up	1.1346
chr17:3082008-3221835		ENSG00000083454.16	ENSG00000083454.16	17	3599698	462	-3.72392	1.20227	-3.0974	0.002075672735932486	0.013986013986013986	0.05586267058879169	down	4.4562
chr8:7301024-12598379		ENSG00000136573.6	ENSG00000136573.6	8	11351510	462	-0.12977	0.04312	-3.0097	0.002763665713278801	0.004995004995004995	0.07197058113517583	down	5.3828
chr3:195749463-195980207		ENSG00000189058.4	ENSG00000189058.4	3	195311076	462	0.0361	0.01201	3.0067	0.002790458719295994	0.005994005994005994	0.07197058113517583	up	0.1868
chr5:177946129-178003952		ENSG00000249129.1	ENSG00000249129.1	5	177398317	462	-0.42207	0.14234	-2.9653	0.0031865986707322255	0.003996003996003996	0.08051039090543868	down	2.5867
chr17:16823490-18384190		ENSG00000227689.1	ENSG00000227689.1	17	18430871	462	0.12005	0.04113	2.9185	0.003695496057103255	0.005994005994005994	0.09150048237387659	up	0.8904
chr5:179643529-179651253		ENSG00000176783.9	ENSG00000176783.9	5	178977559	462	0.0573	0.01997	2.8691	0.00431192426749115	0.006993006993006993	0.10466984790498124	up	4.13
chr16:28471892-28637651		ENSG00000197272.2	ENSG00000197272.2	16	28523372	462	0.04361	0.01531	2.8478	0.004606515804030686	0.007992007992007992	0.1096705108728844	up	0.2705
chr3:75454477-75455715		ENSG00000244026.1	ENSG00000244026.1	3	75484261	462	0.06609	0.02391	2.7646	0.005935645637830596	0.006993006993006993	0.138647722634609	up	2.4152
chr16:75206214-75222748		ENSG00000261783.1	ENSG00000261783.1	16	75415158	462	-0.02851	0.01047	-2.7234	0.006715196783406428	0.003996003996003996	0.1520144047123124	down	0.2009
chr1:149843518-149850293		ENSG00000143368.9	ENSG00000143368.9	1	149900236	462	-0.1327	0.04876	-2.7215	0.006753467091419371	0.007992007992007992	0.1520144047123124	down	5.154
chr16:75206214-75222748		ENSG00000214331.4	ENSG00000214331.4	16	74402138	462	-0.04908	0.0181	-2.7116	0.006955295015075136	0.008991008991008992	0.15376170051183963	down	2.61
chr17:3082008-3221835		ENSG00000263345.1	ENSG00000263345.1	17	2282600	462	0.42969	0.15889	2.7043	0.007106412281024242	0.013986013986013986	0.15434628778785986	up	0.3581
chr2:87987171-111255403		ENSG00000115607.5	ENSG00000115607.5	2	103035149	462	-0.20226	0.07588	-2.6654	0.007968646455645541	0.011988011988011988	0.17008938469119278	down	0.6152
chr6:167209001-167357782		ENSG00000026297.10	ENSG00000026297.10	6	167370679	462	0.19797	0.07488	2.6438	0.008487904583169973	0.01098901098901099	0.1781021334570242	up	6.7131
chr16:28471892-28637651		ENSG00000261552.1	ENSG00000261552.1	16	29002099	462	0.04799	0.01826	2.6277	0.008892636565498196	0.011988011988011988	0.18348473446811278	up	0.7431
chr21:43821742-43835116		ENSG00000160193.7	ENSG00000160193.7	21	44299678	462	-0.24345	0.09335	-2.608	0.0094144900884626	0.007992007992007992	0.18851324145335052	down	3.5995
chr2:87987171-111255403		ENSG00000115604.6	ENSG00000115604.6	2	102927989	462	-0.32256	0.12373	-2.607	0.009440889313495746	0.01998001998001998	0.18851324145335052	down	2.6341
chr8:7301024-12598379		ENSG00000254945.1	ENSG00000254945.1	8	8086117	462	0.06554	0.02531	2.5898	0.009918495935318102	0.00999000999000999	0.1949063169511716	up	0.7795
chr12:75713180-75731794		ENSG00000179941.5	ENSG00000179941.5	12	76742222	462	-0.07334	0.02864	-2.5609	0.010769815662621886	0.015984015984015984	0.20499151159394854	down	1.7264
chr12:75713180-75731794		ENSG00000139278.5	ENSG00000139278.5	12	75874460	462	-0.2721	0.10637	-2.5582	0.010851953020438173	0.008991008991008992	0.20499151159394854	down	3.4857
chr1:149843518-149850293		ENSG00000117360.8	ENSG00000117360.8	1	150293925	462	-0.11774	0.04607	-2.5557	0.01092846507689871	0.011988011988011988	0.20499151159394854	down	4.0348
chr16:75206214-75222748		ENSG00000183196.4	ENSG00000183196.4	16	75529282	462	0.03614	0.01434	2.5195	0.012100277263922193	0.008991008991008992	0.22039087340282307	up	0.3859
chr17:45585159-46292045		ENSG00000228696.3	ENSG00000228696.3	17	44439130	462	0.07973	0.03165	2.5194	0.012105476083515322	0.00999000999000999	0.22039087340282307	up	3.5799
chr2:87987171-111255403		ENSG00000241566.1	ENSG00000241566.1	2	90043607	462	-0.73075	0.29282	-2.4956	0.012935655737963764	0.023976023976023976	0.23040168691906837	down	2.8044
chr12:75713180-75731794		ENSG00000187109.8	ENSG00000187109.8	12	76478813	462	-0.09097	0.03649	-2.493	0.013027559034196112	0.014985014985014986	0.23040168691906837	down	8.3019
chr8:7301024-12598379		ENSG00000173295.2	ENSG00000173295.2	8	8097891	462	-0.04033	0.01622	-2.4866	0.01326308450793998	0.008991008991008992	0.23126336085675628	down	0.5199
chr16:28471892-28637651		ENSG00000169682.13	ENSG00000169682.13	16	28985542	462	0.06197	0.02498	2.4807	0.013481163893814568	0.007992007992007992	0.2318011236186449	up	2.6123
chr3:195749463-195980207		ENSG00000185485.10	ENSG00000185485.10	3	195717189	462	-0.06111	0.02494	-2.4506	0.014644890398639542	0.013986013986013986	0.2483612919659692	down	4.3219
chr17:45585159-46292045		ENSG00000185829.10	ENSG00000185829.10	17	44657088	462	0.10081	0.04166	2.4198	0.01592794174402129	0.025974025974025976	0.2664701605283562	up	3.5973
chr5:177946129-178003952		ENSG00000204677.6	ENSG00000204677.6	5	177433406	462	0.51161	0.21365	2.3946	0.0170493830307459	0.022977022977022976	0.2814284825608457	up	0.8074
chr1:149843518-149850293		ENSG00000143457.5	ENSG00000143457.5	1	150669672	462	-0.16089	0.06752	-2.3828	0.01760217504033353	0.02097902097902098	0.2867301671043804	down	3.9684
chr17:16823490-18384190		ENSG00000141027.13	ENSG00000141027.13	17	16119010	462	-0.10543	0.04436	-2.3769	0.017878962427758046	0.014985014985014986	0.2874565647475904	down	4.7853
chr7:65219157-65531823		ENSG00000228409.1	ENSG00000228409.1	7	65216129	462	-0.03659	0.01564	-2.3401	0.019720785496205828	0.012987012987012988	0.31300426210644633	down	1.992
chr21:43821742-43835116		ENSG00000142185.11	ENSG00000142185.11	21	45770046	462	0.50569	0.21699	2.3305	0.020226911089742953	0.02197802197802198	0.31697361935571866	up	1.4111
chr20:47841016-47888238		ENSG00000064655.13	ENSG00000064655.13	20	45523263	462	-0.31475	0.13615	-2.3118	0.02124201468205693	0.030969030969030968	0.32537051274057005	down	0.5986
chr2:45065588-45081777		ENSG00000171132.9	ENSG00000171132.9	2	45878484	462	0.14422	0.06241	2.311	0.021288377651038914	0.02197802197802198	0.32537051274057005	up	2.2555
chr8:7301024-12598379		ENSG00000104643.5	ENSG00000104643.5	8	11141925	462	-0.02639	0.01145	-2.3055	0.021598133088023375	0.03296703296703297	0.32607913125576754	down	2.1271
chr7:5989046-6735643		ENSG00000230733.2	ENSG00000230733.2	7	5515435	462	-0.07165	0.03137	-2.2839	0.022848454732646517	0.025974025974025976	0.3407998428797155	down	1.6413
chr8:7301024-12598379		ENSG00000186523.9	ENSG00000186523.9	8	12052469	462	-0.0782	0.03481	-2.2467	0.02514612295999256	0.026973026973026972	0.3706059550532237	down	2.0431
chr17:16823490-18384190		ENSG00000091536.10	ENSG00000091536.10	17	18012020	462	0.05061	0.02258	2.2417	0.025470056893757333	0.026973026973026972	0.37096388746437153	up	0.2886
chr14:60606118-60611659		ENSG00000027075.9	ENSG00000027075.9	14	61654277	462	0.18992	0.08543	2.223	0.026718923786555323	0.029970029970029972	0.3846282284622731	up	2.7807
chr7:5989046-6735643		ENSG00000178397.7	ENSG00000178397.7	7	6388612	462	-0.05068	0.02292	-2.2115	0.027510865981749486	0.023976023976023976	0.3876743836228208	down	2.8497
chr8:7301024-12598379		ENSG00000147324.6	ENSG00000147324.6	8	8751155	462	-0.05594	0.0253	-2.2108	0.027556822099198894	0.028971028971028972	0.3876743836228208	down	3.4402
chr2:87987171-111255403		ENSG00000240428.3	ENSG00000240428.3	2	110656009	462	-0.21113	0.09569	-2.2063	0.027872094050311515	0.025974025974025976	0.38770395993579393	down	1.7685
chr17:16823490-18384190		ENSG00000235554.1	ENSG00000235554.1	17	16521195	462	-0.04449	0.02028	-2.1937	0.028776376604704293	0.03596403596403597	0.391458640112735	down	4.6446
chr14:60606118-60611659		ENSG00000258427.1	ENSG00000258427.1	14	60864475	462	0.02667	0.01217	2.192	0.02890036045041974	0.03596403596403597	0.391458640112735	up	6.3179
chr17:16823490-18384190		ENSG00000154874.9	ENSG00000154874.9	17	18528930	462	0.19057	0.08705	2.1893	0.029090625921140242	0.024975024975024976	0.391458640112735	up	1.2974
chr21:43821742-43835116		ENSG00000160226.10	ENSG00000160226.10	21	45759285	462	0.23791	0.10928	2.177	0.030006848360606048	0.029970029970029972	0.3994460029078526	up	2.8373
chr20:47841016-47888238		ENSG00000124126.9	ENSG00000124126.9	20	47444420	462	-0.08965	0.04176	-2.1469	0.03234013820028068	0.026973026973026972	0.42380304286426596	down	4.7552
chr16:14954790-15100859		ENSG00000085721.8	ENSG00000085721.8	16	15188174	462	-0.05094	0.02376	-2.1444	0.03254203847265724	0.03696303696303696	0.42380304286426596	down	4.3275
chr17:45585159-46292045		ENSG00000198336.4	ENSG00000198336.4	17	45277812	462	0.03897	0.01823	2.1374	0.03310629331698047	0.027972027972027972	0.42380304286426596	up	0.3442
chr2:87987171-111255403		ENSG00000213337.4	ENSG00000213337.4	2	97523832	462	-0.12852	0.06016	-2.1362	0.03320589269615008	0.03296703296703297	0.42380304286426596	down	2.8086
chr1:25324280-25369060		ENSG00000142669.8	ENSG00000142669.8	1	26605667	462	-0.03668	0.01721	-2.1308	0.033649638544194685	0.03696303696303696	0.42508420936441854	down	6.7234
chr2:87987171-111255403		ENSG00000235486.1	ENSG00000235486.1	2	106986180	462	0.0624	0.02947	2.1173	0.03478876703593703	0.03396603396603397	0.42645771776081143	up	2.9212
chr7:65219157-65531823		ENSG00000228653.2	ENSG00000228653.2	7	63961203	462	-0.02758	0.01303	-2.1163	0.03487547839674404	0.030969030969030968	0.42645771776081143	down	1.1076
chr9:87942696-88110274		ENSG00000226327.2	ENSG00000226327.2	9	90939405	462	0.16827	0.07956	2.115	0.03498777590661182	0.03296703296703297	0.42645771776081143	up	1.5334
chr15:30618103-32153204		ENSG00000244952.2	ENSG00000244952.2	15	32905934	462	0.0733	0.03476	2.1087	0.03552930997171038	0.03396603396603397	0.42645771776081143	up	0.8684
chr5:177946129-178003952		ENSG00000213347.5	ENSG00000213347.5	5	176739758	462	-0.31657	0.1502	-2.1077	0.03561957693284972	0.05094905094905095	0.42645771776081143	down	4.6055
chr16:28471892-28637651		ENSG00000196993.4	ENSG00000196993.4	16	28763108	462	0.02835	0.01347	2.1053	0.03582520407683715	0.03396603396603397	0.42645771776081143	up	0.7598
chr20:24397726-24406144		ENSG00000101439.4	ENSG00000101439.4	20	23619110	462	0.07712	0.03674	2.0989	0.03639070025819051	0.03396603396603397	0.4290636849489509	up	4.3098
chr17:16823490-18384190		ENSG00000128438.4	ENSG00000128438.4	17	16838153	462	0.1694	0.08092	2.0933	0.036887673565259876	0.030969030969030968	0.4308201874886012	up	3.225
chr6:167209001-167357782		ENSG00000112486.10	ENSG00000112486.10	6	167525295	462	0.33314	0.15965	2.0867	0.03748630605947841	0.03396603396603397	0.4337200645012549	up	3.243
chr7:5989046-6735643		ENSG00000260054.1	ENSG00000260054.1	7	6694495	462	-0.04386	0.02107	-2.0811	0.03800005382519189	0.04295704295704296	0.4353408248133958	down	3.1513
chr21:13987773-14056796		ENSG00000215559.4	ENSG00000215559.4	21	15352758	462	0.06399	0.0308	2.0775	0.038329684898756176	0.03896103896103896	0.4353408248133958	up	0.463
chr2:87987171-111255403		ENSG00000144026.6	ENSG00000144026.6	2	95831158	462	0.21785	0.10523	2.0703	0.039004821978238555	0.03496503496503497	0.43847167535991033	up	2.3997
chr8:7301024-12598379		ENSG00000255518.1	ENSG00000255518.1	8	11415531	462	-0.10335	0.05	-2.067	0.039313696256017806	0.04495504495504495	0.43847167535991033	down	1.5194
chr5:177946129-178003952		ENSG00000145911.5	ENSG00000145911.5	5	177540444	462	0.19207	0.09312	2.0627	0.03971998487114158	0.04995004995004995	0.43904768991494	up	2.4452
chr1:248128773-248428856		ENSG00000233084.2	ENSG00000233084.2	1	249230780	421	0.21715	0.10551	2.0581	0.04022551423558278	0.04295704295704296	0.44070076658098656	up	2.7349
chr3:75454477-75455715		ENSG00000230655.3	ENSG00000230655.3	3	75420493	462	-0.01684	0.00821	-2.0526	0.04069660270421414	0.04295704295704296	0.44195082585804474	down	0.2159
chr15:30618103-32153204		ENSG00000262728.1	ENSG00000262728.1	15	32907361	462	0.0657	0.03229	2.0348	0.042460157498529404	0.03596403596403597	0.45709282594069045	up	1.1376
chr3:195749463-195980207		ENSG00000163960.7	ENSG00000163960.7	3	196159345	462	0.04239	0.02098	2.0204	0.043935474861253834	0.04195804195804196	0.46414128294079743	up	3.7889
chr7:5989046-6735643		ENSG00000136247.10	ENSG00000136247.10	7	6617065	462	0.07833	0.03878	2.0199	0.043994478268735246	0.04295704295704296	0.46414128294079743	up	3.9127
chr7:5989046-6735643		ENSG00000187953.6	ENSG00000187953.6	7	6749759	462	-0.04823	0.02394	-2.0149	0.0445143654946009	0.054945054945054944	0.46414128294079743	down	3.5497
chr15:30618103-32153204		ENSG00000247728.2	ENSG00000247728.2	15	30917976	462	0.06601	0.03281	2.0119	0.04483360689562433	0.04495504495504495	0.46414128294079743	up	1.153
chr5:177946129-178003952		ENSG00000196923.9	ENSG00000196923.9	5	176924607	462	0.25536	0.12702	2.0104	0.04498946199749248	0.03496503496503497	0.46414128294079743	up	3.3583
chr16:14954790-15100859		ENSG00000179889.14	ENSG00000179889.14	16	15068448	462	0.04691	0.02344	2.0011	0.04599111679543222	0.04495504495504495	0.46553857406309807	up	5.2235
chr2:87987171-111255403		ENSG00000153574.6	ENSG00000153574.6	2	88991162	462	-0.05535	0.02772	-1.9968	0.04645123708272861	0.04695304695304695	0.46553857406309807	down	4.5059
chr1:25324280-25369060		ENSG00000231779.1	ENSG00000231779.1	1	24865371	462	-0.01919	0.00961	-1.9968	0.046453798463013535	0.04995004995004995	0.46553857406309807	down	0.1426
chr16:28471892-28637651		ENSG00000213658.5	ENSG00000213658.5	16	28996147	462	0.08496	0.04258	1.9952	0.04662906557659464	0.057942057942057944	0.46553857406309807	up	1.7647
chr1:25324280-25369060		ENSG00000175087.5	ENSG00000175087.5	1	26437664	462	0.03163	0.01605	1.9706	0.049392085448404136	0.03896103896103896	0.48583041519302156	up	2.1596
chr7:5989046-6735643		ENSG00000011275.13	ENSG00000011275.13	7	5821370	462	-0.06368	0.03233	-1.9701	0.0494463912070442	0.04295704295704296	0.48583041519302156	down	3.7598
chr5:179643529-179651253		ENSG00000213316.5	ENSG00000213316.5	5	179220981	462	0.13531	0.06883	1.9659	0.04992661663579831	0.052947052947052944	0.48668623145762446	up	0.9993
chr21:43821742-43835116		ENSG00000184900.10	ENSG00000184900.10	21	46238694	462	-0.1648	0.08447	-1.9509	0.05169430178730976	0.059940059940059943	0.497623882372017	down	5.9976
chr16:14954790-15100859		ENSG00000183426.11	ENSG00000183426.11	16	15016659	462	-0.07937	0.04075	-1.9477	0.05207536485595033	0.056943056943056944	0.497623882372017	down	4.1755
chr1:149843518-149850293		ENSG00000239903.1	ENSG00000239903.1	1	149647622	462	0.25553	0.13133	1.9458	0.052306785586821565	0.059940059940059943	0.497623882372017	up	1.1866
chr1:248128773-248428856		ENSG00000232347.1	ENSG00000232347.1	1	247405125	421	0.12106	0.06229	1.9434	0.05265648512983379	0.061938061938061936	0.497623882372017	up	0.3282
chr2:87987171-111255403		ENSG00000240935.2	ENSG00000240935.2	2	106998562	462	0.07362	0.03796	1.9393	0.053093672805785315	0.054945054945054944	0.49795429495122895	up	0.4683
chr17:16823490-18384190		ENSG00000243686.1	ENSG00000243686.1	17	15947935	462	-0.06302	0.03271	-1.9264	0.05468918732885472	0.055944055944055944	0.5071383249175417	down	0.2384
chr11:18249084-18265819		ENSG00000110756.12	ENSG00000110756.12	11	18343745	462	-0.27805	0.14447	-1.9247	0.054906633206440396	0.05094905094905095	0.5071383249175417	down	4.1415
chr8:7301024-12598379		ENSG00000246089.2	ENSG00000246089.2	8	6264663	462	-0.03695	0.01923	-1.9215	0.05530183672364147	0.04695304695304695	0.5071383249175417	down	1.0995
chr17:16823490-18384190		ENSG00000213077.5	ENSG00000213077.5	17	18430160	462	0.06392	0.03338	1.9146	0.05618662941085903	0.04895104895104895	0.5104216329304172	up	0.3137
chr2:87987171-111255403		ENSG00000243063.1	ENSG00000243063.1	2	89278600	462	0.31672	0.16562	1.9123	0.0564844618024775	0.054945054945054944	0.5104216329304172	up	3.2489
chr17:16823490-18384190		ENSG00000230709.1	ENSG00000230709.1	17	16884667	462	-0.11906	0.06249	-1.9051	0.057413205599590435	0.057942057942057944	0.5130976872939437	down	1.2683
chr16:28471892-28637651		ENSG00000258150.1	ENSG00000258150.1	16	29479154	462	0.10705	0.05624	1.9036	0.057609514163051836	0.05094905094905095	0.5130976872939437	up	2.1047
chr17:3082008-3221835		ENSG00000132359.9	ENSG00000132359.9	17	2680350	462	0.39138	0.2069	1.8916	0.0591889925866875	0.052947052947052944	0.5182741200444657	up	0.2905
chr5:112179911-112236600		ENSG00000152495.6	ENSG00000152495.6	5	110559351	462	0.29078	0.1542	1.8857	0.05998897459213624	0.06493506493506493	0.5182741200444657	up	3.912
chr2:45065588-45081777		ENSG00000143919.9	ENSG00000143919.9	2	44589089	462	0.04546	0.02413	1.8841	0.06020800468280408	0.052947052947052944	0.5182741200444657	up	2.2666
chr1:149843518-149850293		ENSG00000159164.5	ENSG00000159164.5	1	149889434	462	-0.26129	0.13871	-1.8837	0.06025704250124066	0.07292707292707293	0.5182741200444657	down	1.5421
chr2:87987171-111255403		ENSG00000135945.5	ENSG00000135945.5	2	100106497	462	-0.11142	0.05915	-1.8835	0.06028390410856468	0.058941058941058944	0.5182741200444657	down	4.019
chr2:87987171-111255403		ENSG00000240350.1	ENSG00000240350.1	2	112248850	462	0.03771	0.02007	1.8789	0.06091050474642402	0.05094905094905095	0.5200496888005031	up	0.1415
chr21:43821742-43835116		ENSG00000184787.14	ENSG00000184787.14	21	46221934	462	-0.16033	0.08608	-1.8626	0.0631764608832962	0.060939060939060936	0.5357017710515117	down	5.554
chr15:30618103-32153204		ENSG00000166922.4	ENSG00000166922.4	15	32933877	462	0.05721	0.03109	1.84	0.06643768080024764	0.06593406593406594	0.5595227811612693	up	0.4783
chr8:7301024-12598379		ENSG00000255354.1	ENSG00000255354.1	8	11417529	462	-0.03858	0.02104	-1.8334	0.06740509066202666	0.06993006993006994	0.5613653921711494	down	0.9889
chr7:65219157-65531823		ENSG00000164669.6	ENSG00000164669.6	7	64601603	462	-0.03077	0.01679	-1.8324	0.06756336303190733	0.06593406593406594	0.5613653921711494	down	1.9117
