dataset	consensus	consensus_label	phy_group	group_label	filename	reason	detail
CDS	NA	NA	NA	NA	group0_CGB5_ENSG00000189052.7_ENST00000301408.7_chr19_cds_start49044210_cds_end49045291_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [49044210,49045291] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_CKAP2_ENSG00000136108.15_ENST00000258607.10_chr13_cds_start52455557_cds_end52475138_inv_start52344010_inv_end52502256.phy	CDS_NO_OVERLAP	CDS [52455557,52475138] on chr 13 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_CPT1C_ENSG00000169169.15_ENST00000598293.6_chr19_cds_start49692253_cds_end49713602_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [49692253,49713602] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_CYTH2_ENSG00000105443.17_ENST00000452733.7_chr19_cds_start48469508_cds_end48479207_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [48469508,48479207] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_DDTL_ENSG00000099974.8_ENST00000215770.6_chr22_cds_start23966915_cds_end23971403_inv_start23969582_inv_end23971740.phy	CDS_NO_OVERLAP	CDS [23966915,23971403] on chr 22 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_DHDH_ENSG00000104808.8_ENST00000221403.7_chr19_cds_start48933722_cds_end48944930_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [48933722,48944930] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_DKKL1_ENSG00000104901.7_ENST00000221498.7_chr19_cds_start49363999_cds_end49375025_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [49363999,49375025] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_EEF2K_ENSG00000103319.12_ENST00000263026.10_chr16_cds_start22225730_cds_end22283993_inv_start21583511_inv_end22432381.phy	CDS_NO_OVERLAP	CDS [22225730,22283993] on chr 16 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_EEF2K_ENSG00000103319.12_ENST00000263026.10_chr16_cds_start22225730_cds_end22283993_inv_start21864964_inv_end22432381.phy	CDS_NO_OVERLAP	CDS [22225730,22283993] on chr 16 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_ELSPBP1_ENSG00000169393.10_ENST00000339841.7_chr19_cds_start48008668_cds_end48022324_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [48008668,48022324] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_EMP3_ENSG00000142227.12_ENST00000270221.11_chr19_cds_start48326845_cds_end48330467_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [48326845,48330467] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_ENSG00000237378_ENSG00000237378.3_ENST00000611641.1_chr13_cds_start63746801_cds_end63747187_inv_start63727377_inv_end63820968.phy	CDS_NO_OVERLAP	CDS [63746801,63747187] on chr 13 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_FBXW10_ENSG00000171931.13_ENST00000395665.9_chr17_cds_start18744245_cds_end18779295_inv_start18622359_inv_end18823773.phy	CDS_NO_OVERLAP	CDS [18744245,18779295] on chr 17 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_FCGRT_ENSG00000104870.13_ENST00000221466.10_chr19_cds_start49513401_cds_end49526116_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [49513401,49526116] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_FGF21_ENSG00000105550.10_ENST00000593756.6_chr19_cds_start48756237_cds_end48758217_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [48756237,48758217] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_FLT3LG_ENSG00000090554.13_ENST00000597551.6_chr19_cds_start49474640_cds_end49480596_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [49474640,49480596] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_FOXD4L6_ENSG00000273514.2_ENST00000622588.2_chr9_cds_start41127133_cds_end41128383_inv_start38773640_inv_end42796744.phy	CDS_NO_OVERLAP	CDS [41127133,41128383] on chr 9 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_FTL_ENSG00000087086.16_ENST00000331825.11_chr19_cds_start48965508_cds_end48966732_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [48965508,48966732] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_FUT1_ENSG00000174951.12_ENST00000645652.2_chr19_cds_start48750187_cds_end48751281_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [48750187,48751281] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_FUT2_ENSG00000176920.14_ENST00000425340.3_chr19_cds_start48702957_cds_end48703985_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [48702957,48703985] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_GFY_ENSG00000261949.7_ENST00000610896.3_chr19_cds_start49426431_cds_end49428815_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [49426431,49428815] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_GLRA2_ENSG00000101958.14_ENST00000218075.9_chrX_cds_start14530058_cds_end14730482_inv_start14711416_inv_end14713197.phy	CDS_NO_OVERLAP	CDS [14530058,14730482] on chr X overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_GOLGA6L25_ENSG00000227717.5_ENST00000620691.5_chr15_cds_start28553629_cds_end28561376_inv_start28298424_inv_end28623514.phy	CDS_NO_OVERLAP	CDS [28553629,28561376] on chr 15 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_GOLGA6L9_ENSG00000197978.10_ENST00000618348.2_chr15_cds_start82430080_cds_end82436408_inv_start82360482_inv_end82515134.phy	CDS_NO_OVERLAP	CDS [82430080,82436408] on chr 15 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_GRIN2D_ENSG00000105464.4_ENST00000263269.4_chr19_cds_start48398393_cds_end48443934_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [48398393,48443934] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_GRWD1_ENSG00000105447.13_ENST00000253237.10_chr19_cds_start48446006_cds_end48453022_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [48446006,48453022] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_HIC2_ENSG00000169635.10_ENST00000407464.7_chr22_cds_start21442832_cds_end21446740_inv_start21443089_inv_end21491761.phy	CDS_NO_OVERLAP	CDS [21442832,21446740] on chr 22 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_KASH5_ENSG00000161609.10_ENST00000447857.8_chr19_cds_start49390884_cds_end49417507_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [49390884,49417507] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_KCNJ14_ENSG00000182324.7_ENST00000342291.3_chr19_cds_start48461725_cds_end48464774_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [48461725,48464774] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_LDOC1_ENSG00000182195.9_ENST00000370526.5_chrX_cds_start141176584_cds_end141177021_inv_start141110160_inv_end141232877.phy	CDS_NO_OVERLAP	CDS [141176584,141177021] on chr X overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_LHB_ENSG00000104826.15_ENST00000649238.3_chr19_cds_start49017067_cds_end49016310_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [49017067,49016310] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_LIN7B_ENSG00000104863.12_ENST00000221459.7_chr19_cds_start49114405_cds_end49118370_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [49114405,49118370] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_MED25_ENSG00000104973.19_ENST00000312865.10_chr19_cds_start49818342_cds_end49836941_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [49818342,49836941] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_METTL9_ENSG00000197006.15_ENST00000358154.8_chr16_cds_start21599734_cds_end21655429_inv_start21583511_inv_end22432381.phy	CDS_NO_OVERLAP	CDS [21599734,21655429] on chr 16 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_MOSMO_ENSG00000185716.12_ENST00000542527.7_chr16_cds_start22008302_cds_end22080877_inv_start21583511_inv_end22432381.phy	CDS_NO_OVERLAP	CDS [22008302,22080877] on chr 16 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_MOSMO_ENSG00000185716.12_ENST00000542527.7_chr16_cds_start22008302_cds_end22080877_inv_start21864964_inv_end22432381.phy	CDS_NO_OVERLAP	CDS [22008302,22080877] on chr 16 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_MUC20_ENSG00000176945.18_ENST00000447234.7_chr3_cds_start195721008_cds_end195733215_inv_start195680054_inv_end195724206.phy	CDS_NO_OVERLAP	CDS [195721008,195733215] on chr 3 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_MUC20_ENSG00000176945.18_ENST00000447234.7_chr3_cds_start195721008_cds_end195733215_inv_start195692124_inv_end195956606.phy	CDS_NO_OVERLAP	CDS [195721008,195733215] on chr 3 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_NIPA1_ENSG00000170113.16_ENST00000337435.9_chr15_cds_start22786657_cds_end22824236_inv_start22701127_inv_end23213881.phy	CDS_NO_OVERLAP	CDS [22786657,22824236] on chr 15 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_NIPA2_ENSG00000140157.16_ENST00000337451.8_chr15_cds_start22851732_cds_end22866844_inv_start22701127_inv_end23213881.phy	CDS_NO_OVERLAP	CDS [22851732,22866844] on chr 15 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_NPIPA1_ENSG00000183426.17_ENST00000328085.10_chr16_cds_start14937443_cds_end14952022_inv_start14907775_inv_end15028479.phy	CDS_NO_OVERLAP	CDS [14937443,14952022] on chr 16 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_NTF4_ENSG00000225950.9_ENST00000593537.2_chr19_cds_start49061368_cds_end49061997_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [49061368,49061997] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_NUCB1_ENSG00000104805.17_ENST00000405315.9_chr19_cds_start48900797_cds_end48922421_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [48900797,48922421] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_NUP62_ENSG00000213024.13_ENST00000352066.8_chr19_cds_start49908242_cds_end49909807_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [49908242,49909807] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_OTOA_ENSG00000155719.18_ENST00000646100.2_chr16_cds_start21678515_cds_end21760537_inv_start21583511_inv_end22432381.phy	CDS_NO_OVERLAP	CDS [21678515,21760537] on chr 16 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_POLR3E_ENSG00000058600.16_ENST00000299853.10_chr16_cds_start22302969_cds_end22333697_inv_start21583511_inv_end22432381.phy	CDS_NO_OVERLAP	CDS [22302969,22333697] on chr 16 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_POLR3E_ENSG00000058600.16_ENST00000299853.10_chr16_cds_start22302969_cds_end22333697_inv_start21864964_inv_end22432381.phy	CDS_NO_OVERLAP	CDS [22302969,22333697] on chr 16 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_PPFIA3_ENSG00000177380.14_ENST00000334186.9_chr19_cds_start49127874_cds_end49150135_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [49127874,49150135] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_PPP1R15A_ENSG00000087074.9_ENST00000200453.6_chr19_cds_start48873234_cds_end48875970_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [48873234,48875970] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_PRMT1_ENSG00000126457.22_ENST00000454376.7_chr19_cds_start49677281_cds_end49688242_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [49677281,49688242] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_PRR12_ENSG00000126464.15_ENST00000418929.7_chr19_cds_start49591655_cds_end49625604_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [49591655,49625604] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_PRRG2_ENSG00000126460.11_ENST00000246794.10_chr19_cds_start49583220_cds_end49590386_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [49583220,49590386] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_PTOV1_ENSG00000104960.15_ENST00000391842.6_chr19_cds_start49851329_cds_end49860276_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [49851329,49860276] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_RAP2A_ENSG00000125249.7_ENST00000245304.5_chr13_cds_start97434471_cds_end97464439_inv_start97456283_inv_end97456722.phy	CDS_NO_OVERLAP	CDS [97434471,97464439] on chr 13 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_RCN3_ENSG00000142552.8_ENST00000270645.8_chr19_cds_start49528473_cds_end49543210_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [49528473,49543210] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_RPL13A_ENSG00000142541.18_ENST00000391857.9_chr19_cds_start49487630_cds_end49491812_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [49487630,49491812] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_RPS11_ENSG00000142534.7_ENST00000270625.7_chr19_cds_start49496457_cds_end49499632_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [49496457,49499632] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_RUVBL2_ENSG00000183207.15_ENST00000595090.6_chr19_cds_start48993912_cds_end49015839_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [48993912,49015839] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_SCAF1_ENSG00000126461.15_ENST00000360565.8_chr19_cds_start49645027_cds_end49658396_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [49645027,49658396] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_SDR42E2_ENSG00000183921.8_ENST00000602312.3_chr16_cds_start22165583_cds_end22190390_inv_start21583511_inv_end22432381.phy	CDS_NO_OVERLAP	CDS [22165583,22190390] on chr 16 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_SDR42E2_ENSG00000183921.8_ENST00000602312.3_chr16_cds_start22165583_cds_end22190390_inv_start21864964_inv_end22432381.phy	CDS_NO_OVERLAP	CDS [22165583,22190390] on chr 16 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_SNRNP70_ENSG00000104852.15_ENST00000598441.6_chr19_cds_start49086415_cds_end49108440_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [49086415,49108440] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_SPACA4_ENSG00000177202.3_ENST00000321762.3_chr19_cds_start48606979_cds_end48607350_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [48606979,48607350] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_SPATA31A1_ENSG00000204849.10_ENST00000377647.6_chr9_cds_start39355731_cds_end39361806_inv_start38773640_inv_end42796744.phy	CDS_NO_OVERLAP	CDS [39355731,39361806] on chr 9 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_SPATA31A6_ENSG00000185775.10_ENST00000332857.7_chr9_cds_start42183688_cds_end42189731_inv_start38773640_inv_end42796744.phy	CDS_NO_OVERLAP	CDS [42183688,42189731] on chr 9 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_SPHK2_ENSG00000063176.16_ENST00000245222.9_chr19_cds_start48620515_cds_end48629770_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [48620515,48629770] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_SULT2B1_ENSG00000088002.12_ENST00000201586.7_chr19_cds_start48552253_cds_end48599403_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [48552253,48599403] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_SYNGR4_ENSG00000105467.9_ENST00000344846.7_chr19_cds_start48365843_cds_end48376315_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [48365843,48376315] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_TADA2A_ENSG00000276234.5_ENST00000615182.5_chr17_cds_start37411366_cds_end37476979_inv_start37415181_inv_end37415638.phy	CDS_NO_OVERLAP	CDS [37411366,37476979] on chr 17 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_TBC1D17_ENSG00000104946.14_ENST00000221543.10_chr19_cds_start49877724_cds_end49888621_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [49877724,49888621] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_TCAF2_ENSG00000170379.21_ENST00000684770.1_chr7_cds_start143702995_cds_end143727664_inv_start143716562_inv_end143750998.phy	CDS_NO_OVERLAP	CDS [143702995,143727664] on chr 7 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_TMEM191C_ENSG00000206140.12_ENST00000536718.3_chr22_cds_start21467460_cds_end21469818_inv_start21443089_inv_end21491761.phy	CDS_NO_OVERLAP	CDS [21467460,21469818] on chr 22 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_TRPM4_ENSG00000130529.16_ENST00000252826.10_chr19_cds_start49157867_cds_end49211495_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [49157867,49211495] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_TVP23B_ENSG00000171928.14_ENST00000307767.13_chr17_cds_start18781294_cds_end18805564_inv_start18622359_inv_end18823773.phy	CDS_NO_OVERLAP	CDS [18781294,18805564] on chr 17 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_TYW1_ENSG00000198874.14_ENST00000359626.10_chr7_cds_start66996979_cds_end67238526_inv_start67019303_inv_end67020338.phy	CDS_NO_OVERLAP	CDS [66996979,67238526] on chr 7 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_UQCRC2_ENSG00000140740.11_ENST00000268379.9_chr16_cds_start21953424_cds_end21983168_inv_start21583511_inv_end22432381.phy	CDS_NO_OVERLAP	CDS [21953424,21983168] on chr 16 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_UQCRC2_ENSG00000140740.11_ENST00000268379.9_chr16_cds_start21953424_cds_end21983168_inv_start21864964_inv_end22432381.phy	CDS_NO_OVERLAP	CDS [21953424,21983168] on chr 16 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_VWA3A_ENSG00000175267.15_ENST00000389398.10_chr16_cds_start22092638_cds_end22155899_inv_start21583511_inv_end22432381.phy	CDS_NO_OVERLAP	CDS [22092638,22155899] on chr 16 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_VWA3A_ENSG00000175267.15_ENST00000389398.10_chr16_cds_start22092638_cds_end22155899_inv_start21864964_inv_end22432381.phy	CDS_NO_OVERLAP	CDS [22092638,22155899] on chr 16 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_ZNF114_ENSG00000178150.10_ENST00000595607.6_chr19_cds_start48279800_cds_end48286875_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [48279800,48286875] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_ZNF473_ENSG00000142528.16_ENST00000270617.8_chr19_cds_start50031083_cds_end50047056_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [50031083,50047056] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_ZSWIM9_ENSG00000185453.13_ENST00000614654.2_chr19_cds_start48171803_cds_end48196824_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [48171803,48196824] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group1_ADM5_ENSG00000224420.4_ENST00000420022.4_chr19_cds_start49689838_cds_end49690490_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [49689838,49690490] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group1_ALDH16A1_ENSG00000161618.10_ENST00000293350.9_chr19_cds_start49453332_cds_end49470464_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [49453332,49470464] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group1_AP2A1_ENSG00000196961.13_ENST00000354293.10_chr19_cds_start49767134_cds_end49806755_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [49767134,49806755] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group1_ATF5_ENSG00000169136.13_ENST00000423777.7_chr19_cds_start49930851_cds_end49933089_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [49930851,49933089] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group1_BAX_ENSG00000087088.21_ENST00000345358.12_chr19_cds_start48954929_cds_end48961633_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [48954929,48961633] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group1_BCL2L12_ENSG00000126453.11_ENST00000246784.8_chr19_cds_start49666693_cds_end49673745_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [49666693,49673745] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group1_C19orf73_ENSG00000221916.4_ENST00000408991.4_chr19_cds_start49118636_cds_end49119022_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [49118636,49119022] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group1_CD37_ENSG00000104894.12_ENST00000323906.9_chr19_cds_start49335541_cds_end49340325_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [49335541,49340325] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group1_CGB2_ENSG00000104818.15_ENST00000359342.7_chr19_cds_start49032096_cds_end49033218_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [49032096,49033218] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group1_CGB5_ENSG00000189052.7_ENST00000301408.7_chr19_cds_start49044210_cds_end49045291_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [49044210,49045291] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group1_CKAP2_ENSG00000136108.15_ENST00000258607.10_chr13_cds_start52455557_cds_end52475138_inv_start52344010_inv_end52502256.phy	CDS_NO_OVERLAP	CDS [52455557,52475138] on chr 13 overlaps no inv_info row
CDS	NA	NA	NA	NA	group1_CPT1C_ENSG00000169169.15_ENST00000598293.6_chr19_cds_start49692253_cds_end49713602_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [49692253,49713602] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group1_CYTH2_ENSG00000105443.17_ENST00000452733.7_chr19_cds_start48469508_cds_end48479207_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [48469508,48479207] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group1_DDTL_ENSG00000099974.8_ENST00000215770.6_chr22_cds_start23966915_cds_end23971403_inv_start23969582_inv_end23971740.phy	CDS_NO_OVERLAP	CDS [23966915,23971403] on chr 22 overlaps no inv_info row
CDS	NA	NA	NA	NA	group1_DHDH_ENSG00000104808.8_ENST00000221403.7_chr19_cds_start48933722_cds_end48944930_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [48933722,48944930] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group1_DKKL1_ENSG00000104901.7_ENST00000221498.7_chr19_cds_start49363999_cds_end49375025_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [49363999,49375025] on chr 19 overlaps no inv_info row
