phy_filename	transcript_id	gene_name	chromosome	haplotype_group	overall_cds_start_1based	overall_cds_end_1based	spliced_cds_length	cds_segment_coords_1based
group1_VPS36_ENSG00000136100.14_ENST00000378060.9_chr13_cds_start52415833_cds_end52450594_inv_start52344010_inv_end52502256.phy.gz	ENST00000378060.9	VPS36	13	1	52415833	52450594	1158	52450499-52450594;52442377-52442445;52439098-52439168;52436290-52436404;52434793-52434882;52433662-52433748;52427187-52427219;52426989-52427066;52425932-52426066;52423574-52423639;52417992-52418056;52417057-52417141;52416017-52416093;52415833-52415923
group0_ENSG00000237378_ENSG00000237378.3_ENST00000611641.1_chr13_cds_start63746801_cds_end63747187_inv_start63727377_inv_end63820968.phy.gz	ENST00000611641.1	ENSG00000237378	13	0	63746801	63747187	387	63746801-63747187
group1_ENSG00000237378_ENSG00000237378.3_ENST00000611641.1_chr13_cds_start63746801_cds_end63747187_inv_start63727377_inv_end63820968.phy.gz	ENST00000611641.1	ENSG00000237378	13	1	63746801	63747187	387	63746801-63747187
group0_RAP2A_ENSG00000125249.7_ENST00000245304.5_chr13_cds_start97434471_cds_end97464439_inv_start97456283_inv_end97456722.phy.gz	ENST00000245304.5	RAP2A	13	0	97434471	97464439	549	97434471-97434784;97464205-97464439
group1_RAP2A_ENSG00000125249.7_ENST00000245304.5_chr13_cds_start97434471_cds_end97464439_inv_start97456283_inv_end97456722.phy.gz	ENST00000245304.5	RAP2A	13	1	97434471	97464439	549	97434471-97434784;97464205-97464439
group0_NIPA1_ENSG00000170113.16_ENST00000337435.9_chr15_cds_start22786657_cds_end22824236_inv_start22701127_inv_end23213881.phy.gz	ENST00000337435.9	NIPA1	15	0	22786657	22824236	987	22786657-22786834;22810749-22810796;22812163-22812253;22820313-22820473;22823728-22824236
group0_NIPA2_ENSG00000140157.16_ENST00000337451.8_chr15_cds_start22851732_cds_end22866844_inv_start22701127_inv_end23213881.phy.gz	ENST00000337451.8	NIPA2	15	0	22851732	22866844	1080	22851732-22851870;22853212-22853268;22858540-22858630;22860629-22860789;22866213-22866844
group0_GOLGA6L1_ENSG00000273976.2_ENST00000614055.2_chr15_cds_start23128793_cds_end23136731_inv_start22701127_inv_end23213881.phy.gz	ENST00000614055.2	GOLGA6L1	15	0	23128793	23136731	2004	23136534-23136731;23134759-23134887;23133623-23133673;23133441-23133534;23133239-23133345;23131802-23131860;23131330-23131471;23129470-23130672;23128793-23128813
group0_TUBGCP5_ENSG00000275835.5_ENST00000615383.5_chr15_cds_start22999823_cds_end23039543_inv_start22701127_inv_end23213881.phy.gz	ENST00000615383.5	TUBGCP5	15	0	22999823	23039543	3072	23039398-23039543;23037099-23037152;23036897-23037005;23032728-23032824;23031950-23032029;23030885-23031020;23027192-23027306;23026116-23026205;23024737-23024830;23023947-23024193;23021959-23022161;23019219-23019334;23017773-23018041;23011133-23011331;23009945-23010133;23008699-23008881;23006268-23006352;23006052-23006172;23005432-23005610;23004102-23004227;23003065-23003153;23000569-23000669;22999823-22999866
group0_CYFIP1_ENSG00000273749.5_ENST00000617928.5_chr15_cds_start22870031_cds_end22947285_inv_start22701127_inv_end23213881.phy.gz	ENST00000617928.5	CYFIP1	15	0	22870031	22947285	3759	22947169-22947285;22947003-22947092;22944862-22944939;22944558-22944659;22943173-22943354;22939411-22939507;22939192-22939320;22937104-22937208;22933802-22933893;22932223-22932340;22927906-22928028;22925982-22926107;22918692-22918858;22917788-22917935;22916477-22916630;22914726-22914882;22912179-22912275;22910737-22910813;22910520-22910628;22909194-22909313;22903706-22903905;22892890-22892977;22882868-22883011;22881846-22881936;22879913-22880043;22875199-22875271;22874550-22874644;22873491-22873729;22872825-22872972;22870031-22870192
group1_NIPA1_ENSG00000170113.16_ENST00000337435.9_chr15_cds_start22786657_cds_end22824236_inv_start22701127_inv_end23213881.phy.gz	ENST00000337435.9	NIPA1	15	1	22786657	22824236	987	22786657-22786834;22810749-22810796;22812163-22812253;22820313-22820473;22823728-22824236
group1_NIPA2_ENSG00000140157.16_ENST00000337451.8_chr15_cds_start22851732_cds_end22866844_inv_start22701127_inv_end23213881.phy.gz	ENST00000337451.8	NIPA2	15	1	22851732	22866844	1080	22851732-22851870;22853212-22853268;22858540-22858630;22860629-22860789;22866213-22866844
group1_GOLGA6L1_ENSG00000273976.2_ENST00000614055.2_chr15_cds_start23128793_cds_end23136731_inv_start22701127_inv_end23213881.phy.gz	ENST00000614055.2	GOLGA6L1	15	1	23128793	23136731	2004	23136534-23136731;23134759-23134887;23133623-23133673;23133441-23133534;23133239-23133345;23131802-23131860;23131330-23131471;23129470-23130672;23128793-23128813
group1_TUBGCP5_ENSG00000275835.5_ENST00000615383.5_chr15_cds_start22999823_cds_end23039543_inv_start22701127_inv_end23213881.phy.gz	ENST00000615383.5	TUBGCP5	15	1	22999823	23039543	3072	23039398-23039543;23037099-23037152;23036897-23037005;23032728-23032824;23031950-23032029;23030885-23031020;23027192-23027306;23026116-23026205;23024737-23024830;23023947-23024193;23021959-23022161;23019219-23019334;23017773-23018041;23011133-23011331;23009945-23010133;23008699-23008881;23006268-23006352;23006052-23006172;23005432-23005610;23004102-23004227;23003065-23003153;23000569-23000669;22999823-22999866
group1_CYFIP1_ENSG00000273749.5_ENST00000617928.5_chr15_cds_start22870031_cds_end22947285_inv_start22701127_inv_end23213881.phy.gz	ENST00000617928.5	CYFIP1	15	1	22870031	22947285	3759	22947169-22947285;22947003-22947092;22944862-22944939;22944558-22944659;22943173-22943354;22939411-22939507;22939192-22939320;22937104-22937208;22933802-22933893;22932223-22932340;22927906-22928028;22925982-22926107;22918692-22918858;22917788-22917935;22916477-22916630;22914726-22914882;22912179-22912275;22910737-22910813;22910520-22910628;22909194-22909313;22903706-22903905;22892890-22892977;22882868-22883011;22881846-22881936;22879913-22880043;22875199-22875271;22874550-22874644;22873491-22873729;22872825-22872972;22870031-22870192
group0_HERC2_ENSG00000128731.18_ENST00000261609.13_chr15_cds_start28111766_cds_end28321433_inv_start23345459_inv_end28389868.phy.gz	ENST00000261609.13	HERC2	15	0	28111766	28321433	14502	28321362-28321433;28299402-28299516;28292888-28293022;28280068-28280287;28274905-28275005;28274291-28274447;28272894-28273004;28272215-28272386;28270695-28270868;28269248-28269436;28268465-28268616;28265817-28265974;28265618-28265731;28262918-28263169;28260777-28260970;28257061-28257261;28256089-28256317;28255872-28255996;28254340-28254518;28248552-28248736;28246742-28246897;28245881-28246066;28238602-28238772;28238114-28238217;28236963-28237113;28234070-28234284;28233664-28233796;28233434-28233561;28233146-28233341;28230367-28230500;28229674-28229847;28229460-28229596;28229195-28229346;28228218-28228409;28222028-28222215;28220452-28220644;28218489-28218671;28215621-28215802;28214655-28214802;28214076-28214272;28213742-28213972;28212445-28212583;28211002-28211145;28206240-28206382;28202347-28202614;28202113-28202249;28201456-28201554;28198601-28198769;28198378-28198503;28196461-28196569;28196215-28196354;28191961-28192151;28191139-28191244;28190965-28191056;28186577-28186752;28182401-28182512;28179142-28179223;28178887-28179030;28177419-28177509;28176950-28177127;28176687-28176768;28176428-28176599;28175512-28175656;28174395-28174620;28169484-28169655;28168407-28168590;28167687-28167827;28163094-28163285;28152677-28152830;28146237-28146344;28144673-28144804;28144077-28144235;28143873-28143991;28142827-28142952;28142238-28142393;28141731-28141846;28141432-28141630;28135478-28135692;28132653-28132830;28132100-28132261;28130503-28130594;28130163-28130302;28125006-28125193;28124037-28124234;28121346-28121429;28117013-28117154;28116665-28116859;28115429-28115541;28114612-28114802;28113573-28113678;28113071-28113283;28111766-28112035
group0_GABRB3_ENSG00000166206.16_ENST00000311550.10_chr15_cds_start26547796_cds_end26772962_inv_start23345459_inv_end28389868.phy.gz	ENST00000311550.10	GABRB3	15	0	26547796	26772962	1419	26772883-26772962;26772681-26772772;26772402-26772469;26621314-26621534;26583332-26583414;26580319-26580456;26567581-26567733;26560932-26561176;26547796-26548134
group0_MKRN3_ENSG00000179455.10_ENST00000314520.6_chr15_cds_start23565783_cds_end23567303_inv_start23345459_inv_end28389868.phy.gz	ENST00000314520.6	MKRN3	15	0	23565783	23567303	1521	23565783-23567303
group0_NPAP1_ENSG00000185823.5_ENST00000329468.5_chr15_cds_start24675868_cds_end24679335_inv_start23345459_inv_end28389868.phy.gz	ENST00000329468.5	NPAP1	15	0	24675868	24679335	3468	24675868-24679335
group0_GABRA5_ENSG00000186297.12_ENST00000335625.10_chr15_cds_start26869249_cds_end26948230_inv_start23345459_inv_end28389868.phy.gz	ENST00000335625.10	GABRA5	15	0	26869249	26948230	1386	26869249-26869334;26880846-26880967;26883166-26883233;26883337-26883557;26914803-26914885;26937185-26937328;26939925-26940077;26943215-26943426;26947934-26948230
group0_OCA2_ENSG00000104044.16_ENST00000354638.8_chr15_cds_start27755391_cds_end28081874_inv_start23345459_inv_end28389868.phy.gz	ENST00000354638.8	OCA2	15	0	27755391	28081874	2514	28081648-28081874;28032065-28032163;28027871-28028059;28024845-28024902;28022501-28022573;28018397-28018557;28016104-28016186;28014776-28014929;27990576-27990647;27989601-27989666;27986587-27986643;27985064-27985188;27983345-27983483;27966690-27966822;27957588-27957735;27955158-27955215;27951784-27951892;27926127-27926254;27871863-27871922;27871154-27871258;27851382-27851475;27844959-27845052;27755391-27755472
group0_SNRPN_ENSG00000128739.23_ENST00000390687.9_chr15_cds_start24974454_cds_end24978441_inv_start23345459_inv_end28389868.phy.gz	ENST00000390687.9	SNRPN	15	0	24974454	24978441	720	24974454-24974456;24975358-24975509;24976305-24976416;24976877-24977029;24977778-24977916;24978193-24978318;24978407-24978441
group0_GOLGA8F_ENSG00000153684.16_ENST00000526619.7_chr15_cds_start28378762_cds_end28389060_inv_start23345459_inv_end28389868.phy.gz	ENST00000526619.7	GOLGA8F	15	0	28378762	28389060	1908	28378762-28378809;28380507-28380626;28381212-28381271;28381455-28381535;28382390-28382428;28382702-28382749;28382838-28382922;28383018-28383127;28384147-28384236;28384343-28384450;28384646-28384733;28385125-28385381;28385649-28385717;28387089-28387164;28387602-28387693;28388268-28388368;28388451-28388551;28388641-28388793;28388879-28389060
group0_ATP10A_ENSG00000206190.13_ENST00000555815.7_chr15_cds_start25679344_cds_end25863096_inv_start23345459_inv_end28389868.phy.gz	ENST00000555815.7	ATP10A	15	0	25679344	25863096	4497	25862648-25863096;25781019-25781223;25736056-25736141;25727160-25727266;25725951-25726082;25723891-25724021;25721657-25721909;25718182-25718399;25716730-25716924;25713674-25714241;25708197-25708300;25707976-25708102;25701916-25702100;25694819-25695146;25691715-25691791;25687703-25687828;25683286-25683486;25680994-25681074;25680810-25680914;25680121-25680308;25679344-25679974
group0_GOLGA8S_ENSG00000261739.3_ENST00000562295.3_chr15_cds_start23354810_cds_end23365131_inv_start23345459_inv_end28389868.phy.gz	ENST00000562295.3	GOLGA8S	15	0	23354810	23365131	1914	23354810-23354893;23356591-23356710;23357296-23357355;23357539-23357619;23358472-23358510;23358784-23358831;23358920-23359004;23359100-23359209;23360229-23360318;23360425-23360532;23360728-23360815;23361221-23361456;23361724-23361792;23363165-23363240;23363678-23363769;23364343-23364443;23364526-23364623;23364719-23364874;23364959-23365131
group0_GOLGA6L2_ENSG00000174450.13_ENST00000567107.6_chr15_cds_start23439748_cds_end23447181_inv_start23345459_inv_end28389868.phy.gz	ENST00000567107.6	GOLGA6L2	15	0	23439748	23447181	2727	23447098-23447181;23445310-23445438;23444471-23444500;23444162-23444212;23443777-23444073;23442450-23442508;23441979-23442120;23439748-23441682
group0_GOLGA6L24_ENSG00000237850.8_ENST00000568624.2_chr15_cds_start28350254_cds_end28358023_inv_start23345459_inv_end28389868.phy.gz	ENST00000568624.2	GOLGA6L24	15	0	28350254	28358023	2496	28357868-28358023;28356093-28356221;28354956-28355006;28354774-28354867;28354572-28354678;28353136-28353194;28352664-28352805;28350254-28352011
group0_SNURF_ENSG00000273173.6_ENST00000577949.6_chr15_cds_start24955049_cds_end24968034_inv_start23345459_inv_end28389868.phy.gz	ENST00000577949.6	SNURF	15	0	24955049	24968034	213	24955049-24955062;24962114-24962209;24967932-24968034
group0_GABRG3_ENSG00000182256.13_ENST00000615808.5_chr15_cds_start26971536_cds_end27532878_inv_start23345459_inv_end28389868.phy.gz	ENST00000615808.5	GABRG3	15	0	26971536	27532878	1401	26971536-26971588;26977002-26977150;27026754-27026821;27326809-27327029;27328806-27328888;27480650-27480787;27519972-27520124;27527433-27527629;27527933-27527992;27532600-27532878
group0_UBE3A_ENSG00000114062.22_ENST00000648336.2_chr15_cds_start25339140_cds_end25409107_inv_start23345459_inv_end28389868.phy.gz	ENST00000648336.2	UBE3A	15	0	25339140	25409107	2616	25409088-25409107;25405461-25405502;25375465-25375763;25370566-25371812;25360383-25360527;25356691-25356896;25355892-25356056;25354528-25354683;25354353-25354426;25340085-25340228;25339140-25339257
group0_NDN_ENSG00000182636.8_ENST00000649030.2_chr15_cds_start23686255_cds_end23687217_inv_start23345459_inv_end28389868.phy.gz	ENST00000649030.2	NDN	15	0	23686255	23687217	963	23686255-23687217
group0_MAGEL2_ENSG00000254585.5_ENST00000650528.1_chr15_cds_start23643996_cds_end23647742_inv_start23345459_inv_end28389868.phy.gz	ENST00000650528.1	MAGEL2	15	0	23643996	23647742	3747	23643996-23647742
group1_HERC2_ENSG00000128731.18_ENST00000261609.13_chr15_cds_start28111766_cds_end28321433_inv_start23345459_inv_end28389868.phy.gz	ENST00000261609.13	HERC2	15	1	28111766	28321433	14502	28321362-28321433;28299402-28299516;28292888-28293022;28280068-28280287;28274905-28275005;28274291-28274447;28272894-28273004;28272215-28272386;28270695-28270868;28269248-28269436;28268465-28268616;28265817-28265974;28265618-28265731;28262918-28263169;28260777-28260970;28257061-28257261;28256089-28256317;28255872-28255996;28254340-28254518;28248552-28248736;28246742-28246897;28245881-28246066;28238602-28238772;28238114-28238217;28236963-28237113;28234070-28234284;28233664-28233796;28233434-28233561;28233146-28233341;28230367-28230500;28229674-28229847;28229460-28229596;28229195-28229346;28228218-28228409;28222028-28222215;28220452-28220644;28218489-28218671;28215621-28215802;28214655-28214802;28214076-28214272;28213742-28213972;28212445-28212583;28211002-28211145;28206240-28206382;28202347-28202614;28202113-28202249;28201456-28201554;28198601-28198769;28198378-28198503;28196461-28196569;28196215-28196354;28191961-28192151;28191139-28191244;28190965-28191056;28186577-28186752;28182401-28182512;28179142-28179223;28178887-28179030;28177419-28177509;28176950-28177127;28176687-28176768;28176428-28176599;28175512-28175656;28174395-28174620;28169484-28169655;28168407-28168590;28167687-28167827;28163094-28163285;28152677-28152830;28146237-28146344;28144673-28144804;28144077-28144235;28143873-28143991;28142827-28142952;28142238-28142393;28141731-28141846;28141432-28141630;28135478-28135692;28132653-28132830;28132100-28132261;28130503-28130594;28130163-28130302;28125006-28125193;28124037-28124234;28121346-28121429;28117013-28117154;28116665-28116859;28115429-28115541;28114612-28114802;28113573-28113678;28113071-28113283;28111766-28112035
group1_GABRB3_ENSG00000166206.16_ENST00000311550.10_chr15_cds_start26547796_cds_end26772962_inv_start23345459_inv_end28389868.phy.gz	ENST00000311550.10	GABRB3	15	1	26547796	26772962	1419	26772883-26772962;26772681-26772772;26772402-26772469;26621314-26621534;26583332-26583414;26580319-26580456;26567581-26567733;26560932-26561176;26547796-26548134
group1_MKRN3_ENSG00000179455.10_ENST00000314520.6_chr15_cds_start23565783_cds_end23567303_inv_start23345459_inv_end28389868.phy.gz	ENST00000314520.6	MKRN3	15	1	23565783	23567303	1521	23565783-23567303
group1_NPAP1_ENSG00000185823.5_ENST00000329468.5_chr15_cds_start24675868_cds_end24679335_inv_start23345459_inv_end28389868.phy.gz	ENST00000329468.5	NPAP1	15	1	24675868	24679335	3468	24675868-24679335
group1_GABRA5_ENSG00000186297.12_ENST00000335625.10_chr15_cds_start26869249_cds_end26948230_inv_start23345459_inv_end28389868.phy.gz	ENST00000335625.10	GABRA5	15	1	26869249	26948230	1386	26869249-26869334;26880846-26880967;26883166-26883233;26883337-26883557;26914803-26914885;26937185-26937328;26939925-26940077;26943215-26943426;26947934-26948230
group1_OCA2_ENSG00000104044.16_ENST00000354638.8_chr15_cds_start27755391_cds_end28081874_inv_start23345459_inv_end28389868.phy.gz	ENST00000354638.8	OCA2	15	1	27755391	28081874	2514	28081648-28081874;28032065-28032163;28027871-28028059;28024845-28024902;28022501-28022573;28018397-28018557;28016104-28016186;28014776-28014929;27990576-27990647;27989601-27989666;27986587-27986643;27985064-27985188;27983345-27983483;27966690-27966822;27957588-27957735;27955158-27955215;27951784-27951892;27926127-27926254;27871863-27871922;27871154-27871258;27851382-27851475;27844959-27845052;27755391-27755472
group1_SNRPN_ENSG00000128739.23_ENST00000390687.9_chr15_cds_start24974454_cds_end24978441_inv_start23345459_inv_end28389868.phy.gz	ENST00000390687.9	SNRPN	15	1	24974454	24978441	720	24974454-24974456;24975358-24975509;24976305-24976416;24976877-24977029;24977778-24977916;24978193-24978318;24978407-24978441
group1_GOLGA8F_ENSG00000153684.16_ENST00000526619.7_chr15_cds_start28378762_cds_end28389060_inv_start23345459_inv_end28389868.phy.gz	ENST00000526619.7	GOLGA8F	15	1	28378762	28389060	1908	28378762-28378809;28380507-28380626;28381212-28381271;28381455-28381535;28382390-28382428;28382702-28382749;28382838-28382922;28383018-28383127;28384147-28384236;28384343-28384450;28384646-28384733;28385125-28385381;28385649-28385717;28387089-28387164;28387602-28387693;28388268-28388368;28388451-28388551;28388641-28388793;28388879-28389060
group1_ATP10A_ENSG00000206190.13_ENST00000555815.7_chr15_cds_start25679344_cds_end25863096_inv_start23345459_inv_end28389868.phy.gz	ENST00000555815.7	ATP10A	15	1	25679344	25863096	4497	25862648-25863096;25781019-25781223;25736056-25736141;25727160-25727266;25725951-25726082;25723891-25724021;25721657-25721909;25718182-25718399;25716730-25716924;25713674-25714241;25708197-25708300;25707976-25708102;25701916-25702100;25694819-25695146;25691715-25691791;25687703-25687828;25683286-25683486;25680994-25681074;25680810-25680914;25680121-25680308;25679344-25679974
