dataset	consensus	consensus_label	phy_group	group_label	filename	gene_name	gene_id	transcript_id	chr	cds_start	cds_end	inv_start	inv_end	n_sites	n_sequences	n_pairs	n_identical_pairs	prop_identical_pairs	inv_exact_match
CDS	1	Recurrent	0	Direct	group0_CASTOR2_ENSG00000274070.2_ENST00000616305.2_chr7_cds_start74964986_cds_end75024696_inv_start74869950_inv_end75058098.phy	CASTOR2	ENSG00000274070.2	ENST00000616305.2	7	74964986	75024696	74869950	75058098	987	72	2556	2556	1.000000	1
CDS	1	Recurrent	0	Direct	group0_CHRNA7_ENSG00000175344.19_ENST00000306901.9_chr15_cds_start32030595_cds_end32168455_inv_start30618103_inv_end32153204.phy	CHRNA7	ENSG00000175344.19	ENST00000306901.9	15	32030595	32168455	30618103	32153204	1506	72	2556	2556	1.000000	1
CDS	1	Recurrent	0	Direct	group0_CLDN23_ENSG00000253958.2_ENST00000519106.2_chr8_cds_start8702399_cds_end8703274_inv_start7301024_inv_end12598379.phy	CLDN23	ENSG00000253958.2	ENST00000519106.2	8	8702399	8703274	7301024	12598379	876	41	820	231	0.281707	1
CDS	1	Recurrent	0	Direct	group0_CLDN3_ENSG00000165215.6_ENST00000395145.3_chr7_cds_start73769390_cds_end73770049_inv_start73113989_inv_end74799029.phy	CLDN3	ENSG00000165215.6	ENST00000395145.3	7	73769390	73770049	73113989	74799029	660	77	2926	2850	0.974026	1
CDS	1	Recurrent	0	Direct	group0_CLDN4_ENSG00000189143.10_ENST00000340958.4_chr7_cds_start73831202_cds_end73831828_inv_start73113989_inv_end74799029.phy	CLDN4	ENSG00000189143.10	ENST00000340958.4	7	73831202	73831828	73113989	74799029	627	77	2926	2926	1.000000	1
CDS	1	Recurrent	0	Direct	group0_CLIP2_ENSG00000106665.16_ENST00000223398.11_chr7_cds_start74317547_cds_end74403845_inv_start73113989_inv_end74799029.phy	CLIP2	ENSG00000106665.16	ENST00000223398.11	7	74317547	74403845	73113989	74799029	3138	77	2926	1302	0.444976	1
CDS	1	Recurrent	0	Direct	group0_CLN3_ENSG00000188603.22_ENST00000636147.2_chr16_cds_start28477519_cds_end28491759_inv_start28471892_inv_end28637651.phy	CLN3	ENSG00000188603.22	ENST00000636147.2	16	28477519	28491759	28471892	28637651	1314	52	1326	1326	1.000000	1
CDS	1	Recurrent	0	Direct	group0_CSAG1_ENSG00000198930.13_ENST00000452779.3_chrX_cds_start152727797_cds_end152732460_inv_start152729753_inv_end152738707.phy	CSAG1	ENSG00000198930.13	ENST00000452779.3	X	152727797	152732460	152729753	152738707	234	24	276	151	0.547101	1
CDS	1	Recurrent	0	Direct	group0_CTSB_ENSG00000164733.23_ENST00000353047.11_chr8_cds_start11845128_cds_end11853454_inv_start7301024_inv_end12598379.phy	CTSB	ENSG00000164733.23	ENST00000353047.11	8	11845128	11853454	7301024	12598379	1017	41	820	275	0.335366	1
CDS	1	Recurrent	0	Direct	group0_CYTH3_ENSG00000008256.17_ENST00000350796.8_chr7_cds_start6164947_cds_end6272507_inv_start5989046_inv_end6735643.phy	CYTH3	ENSG00000008256.17	ENST00000350796.8	7	6164947	6272507	5989046	6735643	1197	73	2628	2628	1.000000	1
CDS	1	Recurrent	0	Direct	group0_DAGLB_ENSG00000164535.15_ENST00000297056.11_chr7_cds_start6409840_cds_end6447842_inv_start5989046_inv_end6735643.phy	DAGLB	ENSG00000164535.15	ENST00000297056.11	7	6409840	6447842	5989046	6735643	2016	73	2628	1367	0.520167	1
CDS	1	Recurrent	0	Direct	group0_DEFB103A_ENSG00000176797.4_ENST00000314357.4_chr8_cds_start7881422_cds_end7882565_inv_start7301024_inv_end12598379.phy	DEFB103A	ENSG00000176797.4	ENST00000314357.4	8	7881422	7882565	7301024	12598379	201	41	820	820	1.000000	1
CDS	1	Recurrent	0	Direct	group0_DEFB103B_ENSG00000177243.3_ENST00000318124.3_chr8_cds_start7428987_cds_end7430130_inv_start7301024_inv_end12598379.phy	DEFB103B	ENSG00000177243.3	ENST00000318124.3	8	7428987	7430130	7301024	12598379	201	41	820	820	1.000000	1
CDS	1	Recurrent	0	Direct	group0_DEFB104A_ENSG00000176782.3_ENST00000314265.3_chr8_cds_start7836485_cds_end7841191_inv_start7301024_inv_end12598379.phy	DEFB104A	ENSG00000176782.3	ENST00000314265.3	8	7836485	7841191	7301024	12598379	216	41	820	820	1.000000	1
CDS	1	Recurrent	0	Direct	group0_DEFB104B_ENSG00000177023.2_ENST00000316169.2_chr8_cds_start7470359_cds_end7475068_inv_start7301024_inv_end12598379.phy	DEFB104B	ENSG00000177023.2	ENST00000316169.2	8	7470359	7475068	7301024	12598379	216	41	820	820	1.000000	1
CDS	1	Recurrent	0	Direct	group0_DEFB105A_ENSG00000186562.8_ENST00000334773.7_chr8_cds_start7822011_cds_end7823838_inv_start7301024_inv_end12598379.phy	DEFB105A	ENSG00000186562.8	ENST00000334773.7	8	7822011	7823838	7301024	12598379	234	41	820	820	1.000000	1
CDS	1	Recurrent	0	Direct	group0_DEFB105B_ENSG00000186599.8_ENST00000335510.7_chr8_cds_start7487721_cds_end7489548_inv_start7301024_inv_end12598379.phy	DEFB105B	ENSG00000186599.8	ENST00000335510.7	8	7487721	7489548	7301024	12598379	234	41	820	820	1.000000	1
CDS	1	Recurrent	0	Direct	group0_DEFB106A_ENSG00000186579.3_ENST00000335186.3_chr8_cds_start7825177_cds_end7828950_inv_start7301024_inv_end12598379.phy	DEFB106A	ENSG00000186579.3	ENST00000335186.3	8	7825177	7828950	7301024	12598379	195	41	820	820	1.000000	1
CDS	1	Recurrent	0	Direct	group0_DEFB106B_ENSG00000187082.2_ENST00000335479.2_chr8_cds_start7482607_cds_end7486382_inv_start7301024_inv_end12598379.phy	DEFB106B	ENSG00000187082.2	ENST00000335479.2	8	7482607	7486382	7301024	12598379	195	41	820	820	1.000000	1
CDS	1	Recurrent	0	Direct	group0_DEFB107A_ENSG00000186572.2_ENST00000335021.2_chr8_cds_start7811811_cds_end7815628_inv_start7301024_inv_end12598379.phy	DEFB107A	ENSG00000186572.2	ENST00000335021.2	8	7811811	7815628	7301024	12598379	210	41	820	820	1.000000	1
CDS	1	Recurrent	0	Direct	group0_DEFB107B_ENSG00000198129.3_ENST00000355602.3_chr8_cds_start7495934_cds_end7509220_inv_start7301024_inv_end12598379.phy	DEFB107B	ENSG00000198129.3	ENST00000355602.3	8	7495934	7509220	7301024	12598379	210	41	820	820	1.000000	1
CDS	1	Recurrent	0	Direct	group0_DEFB108C_ENSG00000215371.3_ENST00000400154.2_chr8_cds_start7373114_cds_end7377497_inv_start7301024_inv_end12598379.phy	DEFB108C	ENSG00000215371.3	ENST00000400154.2	8	7373114	7377497	7301024	12598379	249	41	820	820	1.000000	1
CDS	1	Recurrent	0	Direct	group0_DEFB109B_ENSG00000206034.2_ENST00000382656.2_chr8_cds_start7312846_cds_end7319948_inv_start7301024_inv_end12598379.phy	DEFB109B	ENSG00000206034.2	ENST00000382656.2	8	7312846	7319948	7301024	12598379	261	41	820	820	1.000000	1
CDS	1	Recurrent	0	Direct	group0_DEFB109C_ENSG00000205989.2_ENST00000382575.2_chr8_cds_start7990418_cds_end7997521_inv_start7301024_inv_end12598379.phy	DEFB109C	ENSG00000205989.2	ENST00000382575.2	8	7990418	7997521	7301024	12598379	261	41	820	820	1.000000	1
CDS	1	Recurrent	0	Direct	group0_DEFB130A_ENSG00000232948.1_ENST00000400079.1_chr8_cds_start12310965_cds_end12318316_inv_start7301024_inv_end12598379.phy	DEFB130A	ENSG00000232948.1	ENST00000400079.1	8	12310965	12318316	7301024	12598379	237	41	820	820	1.000000	1
CDS	1	Recurrent	0	Direct	group0_DEFB130B_ENSG00000233050.1_ENST00000437818.1_chr8_cds_start12064392_cds_end12071747_inv_start7301024_inv_end12598379.phy	DEFB130B	ENSG00000233050.1	ENST00000437818.1	8	12064392	12071747	7301024	12598379	237	41	820	820	1.000000	1
CDS	1	Recurrent	0	Direct	group0_DEFB134_ENSG00000205882.9_ENST00000382205.6_chr8_cds_start11993983_cds_end11996251_inv_start7301024_inv_end12598379.phy	DEFB134	ENSG00000205882.9	ENST00000382205.6	8	11993983	11996251	7301024	12598379	198	41	820	780	0.951220	1
CDS	1	Recurrent	0	Direct	group0_DEFB135_ENSG00000205883.3_ENST00000382208.3_chr8_cds_start11982321_cds_end11984587_inv_start7301024_inv_end12598379.phy	DEFB135	ENSG00000205883.3	ENST00000382208.3	8	11982321	11984587	7301024	12598379	231	41	820	742	0.904878	1
CDS	1	Recurrent	0	Direct	group0_DEFB136_ENSG00000205884.2_ENST00000382209.2_chr8_cds_start11973940_cds_end11974599_inv_start7301024_inv_end12598379.phy	DEFB136	ENSG00000205884.2	ENST00000382209.2	8	11973940	11974599	7301024	12598379	234	41	820	704	0.858537	1
CDS	1	Recurrent	0	Direct	group0_DEFB4A_ENSG00000171711.3_ENST00000302247.3_chr8_cds_start7894713_cds_end7896607_inv_start7301024_inv_end12598379.phy	DEFB4A	ENSG00000171711.3	ENST00000302247.3	8	7894713	7896607	7301024	12598379	192	41	820	820	1.000000	1
CDS	1	Recurrent	0	Direct	group0_DEFB4B_ENSG00000177257.3_ENST00000318157.3_chr8_cds_start7414964_cds_end7416827_inv_start7301024_inv_end12598379.phy	DEFB4B	ENSG00000177257.3	ENST00000318157.3	8	7414964	7416827	7301024	12598379	192	41	820	820	1.000000	1
CDS	1	Recurrent	0	Direct	group0_DNAJC30_ENSG00000176410.8_ENST00000395176.3_chr7_cds_start73682746_cds_end73683423_inv_start73113989_inv_end74799029.phy	DNAJC30	ENSG00000176410.8	ENST00000395176.3	7	73682746	73683423	73113989	74799029	678	77	2926	1546	0.528366	1
CDS	1	Recurrent	0	Direct	group0_EIF2AK1_ENSG00000086232.13_ENST00000199389.11_chr7_cds_start6024676_cds_end6059083_inv_start5989046_inv_end6735643.phy	EIF2AK1	ENSG00000086232.13	ENST00000199389.11	7	6024676	6059083	5989046	6735643	1890	73	2628	1217	0.463090	1
CDS	1	Recurrent	0	Direct	group0_EIF4H_ENSG00000106682.16_ENST00000265753.13_chr7_cds_start74174384_cds_end74195305_inv_start73113989_inv_end74799029.phy	EIF4H	ENSG00000106682.16	ENST00000265753.13	7	74174384	74195305	73113989	74799029	744	77	2926	2926	1.000000	1
CDS	1	Recurrent	0	Direct	group0_ELN_ENSG00000049540.19_ENST00000252034.12_chr7_cds_start74028188_cds_end74068697_inv_start73113989_inv_end74799029.phy	ELN	ENSG00000049540.19	ENST00000252034.12	7	74028188	74068697	73113989	74799029	2172	77	2926	2850	0.974026	1
CDS	1	Recurrent	0	Direct	group0_EMD_ENSG00000102119.12_ENST00000369842.9_chrX_cds_start154379485_cds_end154381194_inv_start154347246_inv_end154384867.phy	EMD	ENSG00000102119.12	ENST00000369842.9	X	154379485	154381194	154347246	154384867	762	29	406	406	1.000000	1
CDS	1	Recurrent	0	Direct	group0_ENSG00000289346_ENSG00000289346.1_ENST00000625377.3_chr7_cds_start74796665_cds_end74836378_inv_start73113989_inv_end74799029.phy	ENSG00000289346	ENSG00000289346.1	ENST00000625377.3	7	74796665	74836378	73113989	74799029	2847	77	2926	2926	1.000000	1
CDS	1	Recurrent	0	Direct	group0_ERI1_ENSG00000104626.15_ENST00000250263.8_chr8_cds_start9003064_cds_end9030031_inv_start7301024_inv_end12598379.phy	ERI1	ENSG00000104626.15	ENST00000250263.8	8	9003064	9030031	7301024	12598379	1047	41	820	382	0.465854	1
CDS	1	Recurrent	0	Direct	group0_FAM167A_ENSG00000154319.16_ENST00000284486.9_chr8_cds_start11424376_cds_end11444411_inv_start7301024_inv_end12598379.phy	FAM167A	ENSG00000154319.16	ENST00000284486.9	8	11424376	11444411	7301024	12598379	642	41	820	780	0.951220	1
CDS	1	Recurrent	0	Direct	group0_FAM220A_ENSG00000178397.13_ENST00000313324.9_chr7_cds_start6330378_cds_end6331154_inv_start5989046_inv_end6735643.phy	FAM220A	ENSG00000178397.13	ENST00000313324.9	7	6330378	6331154	5989046	6735643	777	73	2628	703	0.267504	1
CDS	1	Recurrent	0	Direct	group0_FAM86B1_ENSG00000186523.15_ENST00000448228.7_chr8_cds_start12183609_cds_end12194070_inv_start7301024_inv_end12598379.phy	FAM86B1	ENSG00000186523.15	ENST00000448228.7	8	12183609	12194070	7301024	12598379	888	41	820	820	1.000000	1
CDS	1	Recurrent	0	Direct	group0_FAM86B2_ENSG00000145002.13_ENST00000262365.9_chr8_cds_start12425892_cds_end12436343_inv_start7301024_inv_end12598379.phy	FAM86B2	ENSG00000145002.13	ENST00000262365.9	8	12425892	12436343	7301024	12598379	990	41	820	820	1.000000	1
CDS	1	Recurrent	0	Direct	group0_FAM90A10_ENSG00000285950.1_ENST00000533716.2_chr8_cds_start7768977_cds_end7771985_inv_start7301024_inv_end12598379.phy	FAM90A10	ENSG00000285950.1	ENST00000533716.2	8	7768977	7771985	7301024	12598379	1392	41	820	820	1.000000	1
CDS	1	Recurrent	0	Direct	group0_FAM90A11_ENSG00000233115.5_ENST00000518378.2_chr8_cds_start8012345_cds_end8015352_inv_start7301024_inv_end12598379.phy	FAM90A11	ENSG00000233115.5	ENST00000518378.2	8	8012345	8015352	7301024	12598379	1392	41	820	820	1.000000	1
CDS	1	Recurrent	0	Direct	group0_FAM90A12_ENSG00000254229.4_ENST00000519497.3_chr8_cds_start8027639_cds_end8030646_inv_start7301024_inv_end12598379.phy	FAM90A12	ENSG00000254229.4	ENST00000519497.3	8	8027639	8030646	7301024	12598379	1392	41	820	820	1.000000	1
CDS	1	Recurrent	0	Direct	group0_FAM90A14_ENSG00000285814.1_ENST00000648315.1_chr8_cds_start7715443_cds_end7718450_inv_start7301024_inv_end12598379.phy	FAM90A14	ENSG00000285814.1	ENST00000648315.1	8	7715443	7718450	7301024	12598379	1392	41	820	820	1.000000	1
CDS	1	Recurrent	0	Direct	group0_FAM90A16_ENSG00000285620.1_ENST00000648174.1_chr8_cds_start7730739_cds_end7733746_inv_start7301024_inv_end12598379.phy	FAM90A16	ENSG00000285620.1	ENST00000648174.1	8	7730739	7733746	7301024	12598379	1392	41	820	820	1.000000	1
CDS	1	Recurrent	0	Direct	group0_FAM90A17_ENSG00000285720.1_ENST00000650426.1_chr8_cds_start7746034_cds_end7749041_inv_start7301024_inv_end12598379.phy	FAM90A17	ENSG00000285720.1	ENST00000650426.1	8	7746034	7749041	7301024	12598379	1392	41	820	820	1.000000	1
CDS	1	Recurrent	0	Direct	group0_FAM90A18_ENSG00000285913.1_ENST00000647769.1_chr8_cds_start7723091_cds_end7726098_inv_start7301024_inv_end12598379.phy	FAM90A18	ENSG00000285913.1	ENST00000647769.1	8	7723091	7726098	7301024	12598379	1392	41	820	820	1.000000	1
CDS	1	Recurrent	0	Direct	group0_FAM90A19_ENSG00000285657.1_ENST00000647903.1_chr8_cds_start7753682_cds_end7756689_inv_start7301024_inv_end12598379.phy	FAM90A19	ENSG00000285657.1	ENST00000647903.1	8	7753682	7756689	7301024	12598379	1392	41	820	820	1.000000	1
CDS	1	Recurrent	0	Direct	group0_FAM90A22_ENSG00000285687.1_ENST00000648590.1_chr8_cds_start7571998_cds_end7575006_inv_start7301024_inv_end12598379.phy	FAM90A22	ENSG00000285687.1	ENST00000648590.1	8	7571998	7575006	7301024	12598379	1392	41	820	820	1.000000	1
CDS	1	Recurrent	0	Direct	group0_FAM90A23_ENSG00000285765.1_ENST00000648435.1_chr8_cds_start7579647_cds_end7582653_inv_start7301024_inv_end12598379.phy	FAM90A23	ENSG00000285765.1	ENST00000648435.1	8	7579647	7582653	7301024	12598379	1392	41	820	820	1.000000	1
CDS	1	Recurrent	0	Direct	group0_FAM90A24_ENSG00000215354.10_ENST00000520792.6_chr8_cds_start8019991_cds_end8022998_inv_start7301024_inv_end12598379.phy	FAM90A24	ENSG00000215354.10	ENST00000520792.6	8	8019991	8022998	7301024	12598379	1392	41	820	820	1.000000	1
CDS	1	Recurrent	0	Direct	group0_FAM90A7_ENSG00000285975.1_ENST00000650288.1_chr8_cds_start7556703_cds_end7559712_inv_start7301024_inv_end12598379.phy	FAM90A7	ENSG00000285975.1	ENST00000650288.1	8	7556703	7559712	7301024	12598379	1392	41	820	820	1.000000	1
CDS	1	Recurrent	0	Direct	group0_FAM90A8_ENSG00000285937.1_ENST00000647775.1_chr8_cds_start7738387_cds_end7741393_inv_start7301024_inv_end12598379.phy	FAM90A8	ENSG00000285937.1	ENST00000647775.1	8	7738387	7741393	7301024	12598379	1392	41	820	820	1.000000	1
CDS	1	Recurrent	0	Direct	group0_FAM90A9_ENSG00000285607.1_ENST00000648344.1_chr8_cds_start7761330_cds_end7764337_inv_start7301024_inv_end12598379.phy	FAM90A9	ENSG00000285607.1	ENST00000648344.1	8	7761330	7764337	7301024	12598379	1392	41	820	820	1.000000	1
CDS	1	Recurrent	0	Direct	group0_FAN1_ENSG00000198690.10_ENST00000362065.9_chr15_cds_start30904664_cds_end30937253_inv_start30618103_inv_end32153204.phy	FAN1	ENSG00000198690.10	ENST00000362065.9	15	30904664	30937253	30618103	32153204	3051	72	2556	1897	0.742175	1
CDS	1	Recurrent	0	Direct	group0_FDFT1_ENSG00000079459.14_ENST00000220584.9_chr8_cds_start11802833_cds_end11838606_inv_start7301024_inv_end12598379.phy	FDFT1	ENSG00000079459.14	ENST00000220584.9	8	11802833	11838606	7301024	12598379	1251	41	820	230	0.280488	1
CDS	1	Recurrent	0	Direct	group0_FKBP6_ENSG00000077800.13_ENST00000252037.5_chr7_cds_start73328429_cds_end73342894_inv_start73113989_inv_end74799029.phy	FKBP6	ENSG00000077800.13	ENST00000252037.5	7	73328429	73342894	73113989	74799029	981	77	2926	2559	0.874573	1
CDS	1	Recurrent	0	Direct	group0_FLNA_ENSG00000196924.19_ENST00000369850.10_chrX_cds_start154348852_cds_end154371245_inv_start154347246_inv_end154384867.phy	FLNA	ENSG00000196924.19	ENST00000369850.10	X	154348852	154371245	154347246	154384867	7941	29	406	237	0.583744	1
CDS	1	Recurrent	0	Direct	group0_FZD9_ENSG00000188763.5_ENST00000344575.5_chr7_cds_start73434008_cds_end73435780_inv_start73113989_inv_end74799029.phy	FZD9	ENSG00000188763.5	ENST00000344575.5	7	73434008	73435780	73113989	74799029	1773	77	2926	2701	0.923103	1
CDS	1	Recurrent	0	Direct	group0_GATA4_ENSG00000136574.19_ENST00000532059.6_chr8_cds_start11708313_cds_end11758472_inv_start7301024_inv_end12598379.phy	GATA4	ENSG00000136574.19	ENST00000532059.6	8	11708313	11758472	7301024	12598379	1329	41	820	599	0.730488	1
CDS	1	Recurrent	0	Direct	group0_GDF10_ENSG00000266524.3_ENST00000580279.2_chr10_cds_start47300652_cds_end47312789_inv_start46983451_inv_end47468232.phy	GDF10	ENSG00000266524.3	ENST00000580279.2	10	47300652	47312789	46983451	47468232	1434	75	2775	1831	0.659820	1
CDS	1	Recurrent	0	Direct	group0_GDF2_ENSG00000263761.3_ENST00000581492.3_chr10_cds_start47322669_cds_end47325781_inv_start46983451_inv_end47468232.phy	GDF2	ENSG00000263761.3	ENST00000581492.3	10	47322669	47325781	46983451	47468232	1287	75	2775	2775	1.000000	1
CDS	1	Recurrent	0	Direct	group0_GRID2IP_ENSG00000215045.9_ENST00000457091.3_chr7_cds_start6497777_cds_end6551436_inv_start5989046_inv_end6735643.phy	GRID2IP	ENSG00000215045.9	ENST00000457091.3	7	6497777	6551436	5989046	6735643	3633	73	2628	320	0.121766	1
CDS	1	Recurrent	0	Direct	group0_GTF2IRD1_ENSG00000006704.11_ENST00000424337.7_chr7_cds_start74508081_cds_end74602430_inv_start73113989_inv_end74799029.phy	GTF2IRD1	ENSG00000006704.11	ENST00000424337.7	7	74508081	74602430	73113989	74799029	2832	77	2926	2701	0.923103	1
CDS	1	Recurrent	0	Direct	group0_GTF2I_ENSG00000263001.8_ENST00000573035.6_chr7_cds_start74689129_cds_end74758835_inv_start73113989_inv_end74799029.phy	GTF2I	ENSG00000263001.8	ENST00000573035.6	7	74689129	74758835	73113989	74799029	2994	77	2926	2926	1.000000	1
CDS	1	Recurrent	0	Direct	group0_H2BW1_ENSG00000123569.10_ENST00000217926.7_chrX_cds_start104012715_cds_end104013576_inv_start103989434_inv_end104049428.phy	H2BW1	ENSG00000123569.10	ENST00000217926.7	X	104012715	104013576	103989434	104049428	441	22	231	130	0.562771	1
CDS	1	Recurrent	0	Direct	group0_H2BW2_ENSG00000101812.15_ENST00000675318.3_chrX_cds_start104039995_cds_end104040861_inv_start103989434_inv_end104049428.phy	H2BW2	ENSG00000101812.15	ENST00000675318.3	X	104039995	104040861	103989434	104049428	444	21	210	210	1.000000	1
CDS	1	Recurrent	0	Direct	group0_IL27_ENSG00000197272.2_ENST00000356897.1_chr16_cds_start28499654_cds_end28506811_inv_start28471892_inv_end28637651.phy	IL27	ENSG00000197272.2	ENST00000356897.1	16	28499654	28506811	28471892	28637651	729	52	1326	1326	1.000000	1
CDS	1	Recurrent	0	Direct	group0_INTS15_ENSG00000146576.13_ENST00000344417.10_chr7_cds_start6590284_cds_end6608158_inv_start5989046_inv_end6735643.phy	INTS15	ENSG00000146576.13	ENST00000344417.10	7	6590284	6608158	5989046	6735643	1347	73	2628	2152	0.818874	1
CDS	1	Recurrent	0	Direct	group0_KDELR2_ENSG00000136240.10_ENST00000258739.9_chr7_cds_start6463144_cds_end6484057_inv_start5989046_inv_end6735643.phy	KDELR2	ENSG00000136240.10	ENST00000258739.9	7	6463144	6484057	5989046	6735643	636	73	2628	2628	1.000000	1
CDS	1	Recurrent	0	Direct	group0_KLF13_ENSG00000169926.11_ENST00000307145.4_chr15_cds_start31327213_cds_end31372296_inv_start30618103_inv_end32153204.phy	KLF13	ENSG00000169926.11	ENST00000307145.4	15	31327213	31372296	30618103	32153204	864	72	2556	1731	0.677230	1
CDS	1	Recurrent	0	Direct	group0_LAT2_ENSG00000086730.17_ENST00000460943.6_chr7_cds_start74215976_cds_end74224739_inv_start73113989_inv_end74799029.phy	LAT2	ENSG00000086730.17	ENST00000460943.6	7	74215976	74224739	73113989	74799029	729	77	2926	2701	0.923103	1
CDS	1	Recurrent	0	Direct	group0_LIMK1_ENSG00000106683.15_ENST00000336180.7_chr7_cds_start74083991_cds_end74121298_inv_start73113989_inv_end74799029.phy	LIMK1	ENSG00000106683.15	ENST00000336180.7	7	74083991	74121298	73113989	74799029	1941	77	2926	2850	0.974026	1
CDS	1	Recurrent	0	Direct	group0_MAGEA11_ENSG00000185247.15_ENST00000355220.6_chrX_cds_start149713160_cds_end149716773_inv_start149681035_inv_end149722249.phy	MAGEA11	ENSG00000185247.15	ENST00000355220.6	X	149713160	149716773	149681035	149722249	1287	20	190	89	0.468421	1
CDS	1	Recurrent	0	Direct	group0_MAGEA12_ENSG00000213401.10_ENST00000393869.8_chrX_cds_start152736162_cds_end152737103_inv_start152729753_inv_end152738707.phy	MAGEA12	ENSG00000213401.10	ENST00000393869.8	X	152736162	152737103	152729753	152738707	942	24	276	231	0.836957	1
CDS	1	Recurrent	0	Direct	group0_MAGEA1_ENSG00000198681.7_ENST00000356661.7_chrX_cds_start153182390_cds_end153183316_inv_start153149748_inv_end153250226.phy	MAGEA1	ENSG00000198681.7	ENST00000356661.7	X	153182390	153183316	153149748	153250226	927	23	253	103	0.407115	1
CDS	1	Recurrent	0	Direct	group0_METTL27_ENSG00000165171.11_ENST00000297873.9_chr7_cds_start73834746_cds_end73842140_inv_start73113989_inv_end74799029.phy	METTL27	ENSG00000165171.11	ENST00000297873.9	7	73834746	73842140	73113989	74799029	735	77	2926	1228	0.419686	1
CDS	1	Recurrent	0	Direct	group0_MFHAS1_ENSG00000147324.11_ENST00000276282.7_chr8_cds_start8786025_cds_end8893058_inv_start7301024_inv_end12598379.phy	MFHAS1	ENSG00000147324.11	ENST00000276282.7	8	8786025	8893058	7301024	12598379	3156	41	820	667	0.813415	1
CDS	1	Recurrent	0	Direct	group0_MLXIPL_ENSG00000009950.16_ENST00000313375.8_chr7_cds_start73593868_cds_end73624492_inv_start73113989_inv_end74799029.phy	MLXIPL	ENSG00000009950.16	ENST00000313375.8	7	73593868	73624492	73113989	74799029	2556	77	2926	1801	0.615516	1
CDS	1	Recurrent	0	Direct	group0_MSRA_ENSG00000175806.15_ENST00000317173.9_chr8_cds_start10054517_cds_end10428309_inv_start7301024_inv_end12598379.phy	MSRA	ENSG00000175806.15	ENST00000317173.9	8	10054517	10428309	7301024	12598379	705	41	820	780	0.951220	1
