gene_name	transcript_id	inv_id	recurrence	k_direct	k_inverted	n_seq_classes	p_direct	p_inverted	delta	perm_p	perm_method	n_assignments	jackknife_p	jackknife_q	jackknife_note	reproduces_published	status	perm_q_bh	perm_q_by
MAPT	ENST00000262410.10	17:45585159-46292045	single-event	72	10	6	0.5805946791862285	1.0	0.41940532081377147	0.009029909700902991	monte_carlo	100000	1.184030651302237e-11	1.765282061941517e-10		True	OK	0.1057789422105779	0.6008379076467676
HNRNPCL2	ENST00000621994.3	1:13104252-13122521	recurrent	20	42	11	0.15263157894736842	0.37398373983739835	0.22135216089002993	0.01941980580194198	monte_carlo	100000	0.0066623319203238	0.0520296397587195		True	OK	0.2123232101012323	1.0
CTSB	ENST00000353047.11	8:7301024-12598379	recurrent	41	41	10	0.3353658536585366	0.5414634146341464	0.20609756097560977	0.034989650103498963	monte_carlo	100000	0.0597826069421818	0.3501552692327794		True	OK	0.3586439135608644	1.0
TRPM1	ENST00000256552.11	15:30618103-32153204	recurrent	69	10	20	0.23657289002557544	0.4666666666666667	0.23009377664109124	0.05832941670583294	monte_carlo	100000	0.0151473672905781	0.108007314593688		True	OK	0.5627073141033295	1.0
H2BW1	ENST00000217926.7	X:103989434-104049428	recurrent	22	28	3	0.5627705627705628	0.6507936507936508	0.088023088023088	0.06427935720642794	monte_carlo	100000	0.562444988706472	1.0		True	OK	0.5856563656585656	1.0
FLNA	ENST00000369850.10	X:154347246-154384867	recurrent	29	21	10	0.583743842364532	0.2714285714285714	-0.3123152709359606	0.06806931930680693	monte_carlo	100000	0.031638079536489	0.1995632709224691		True	OK	0.5875457034903335	1.0
OTUD7A	ENST00000307050.6	15:30618103-32153204	recurrent	72	10	8	0.4690923317683881	0.8	0.33090766823161194	0.07741922580774192	monte_carlo	100000	0.1225434539036673	0.609003831521256		True	OK	0.5912100557670178	1.0
GRID2IP	ENST00000457091.3	7:5989046-6735643	recurrent	73	9	18	0.121765601217656	0.25	0.128234398782344	0.07924920750792493	monte_carlo	100000	0.3032917814736127	1.0		True	OK	0.5912100557670178	1.0
SFTPD	ENST00000372292.8	10:79542901-80217413	single-event	77	3	8	0.2836637047163363	1.0	0.7163362952836637	0.07930866601752677	exact	82160	0.0	0.0		True	OK	0.5912100557670178	1.0
XYLT1	ENST00000261381.7	16:16721273-18073542	recurrent	75	7	13	0.23675675675675675	0.47619047619047616	0.2394337194337194	0.08352916470835292	monte_carlo	100000	0.4523775462774249	1.0		True	OK	0.5955992613986905	1.0
CYTH3	ENST00000350796.8	7:5989046-6735643	recurrent	73	9	2	1.0	0.7777777777777778	-0.2222222222222222	0.1100188998110019	monte_carlo	100000	0.3428184952542126	1.0		True	OK	0.7296962025316455	1.0
METTL27	ENST00000297873.9	7:73113989-74799029	recurrent	77	3	6	0.41968557758031444	1.0	0.5803144224196856	0.11123417721518987	exact	82160	0.0	0.0		True	OK	0.7296962025316455	1.0
TMEM270	ENST00000320531.3	7:73113989-74799029	recurrent	77	3	10	0.3298017771701982	1.0	0.6701982228298018	0.12025316455696203	exact	82160	0.0	0.0		True	OK	0.7585199610516067	1.0
SFTPA1	ENST00000398636.8	10:79542901-80217413	single-event	77	3	16	0.31237183868762813	1.0	0.6876281613123718	0.1404454722492697	exact	82160	0.0	0.0		True	OK	0.8530762018103789	1.0
FDFT1	ENST00000220584.9	8:7301024-12598379	recurrent	41	41	12	0.2804878048780488	0.4195121951219512	0.1390243902439024	0.15471845281547184	monte_carlo	100000	0.1618748492705082	0.7584992937246671		True	OK	0.9062080807763351	1.0
KLF13	ENST00000307145.4	15:30618103-32153204	recurrent	72	10	3	0.6772300469483568	1.0	0.32276995305164324	0.16374836251637484	monte_carlo	100000	1.7349977410319187e-07	2.0324259252088188e-06		True	OK	0.9260252225063956	1.0
RP1L1	ENST00000382483.4	8:7301024-12598379	recurrent	41	41	39	0.06219512195121951	0.0975609756097561	0.03536585365853659	0.1760182398176018	monte_carlo	100000	0.4233613459376069	1.0		True	OK	0.9622330443362233	1.0
BLK	ENST00000259089.9	8:7301024-12598379	recurrent	41	41	5	0.551219512195122	0.49146341463414633	-0.05975609756097566	0.2081479185208148	monte_carlo	100000	0.5412672676915302	1.0		True	OK	1.0	1.0
SLC35G5	ENST00000382435.5	8:7301024-12598379	recurrent	41	41	10	0.25121951219512195	0.2073170731707317	-0.043902439024390255	0.22544774552254476	monte_carlo	100000	0.5050939413733726	1.0		True	OK	1.0	1.0
ERI1	ENST00000250263.8	8:7301024-12598379	recurrent	41	41	5	0.4658536585365854	0.38902439024390245	-0.07682926829268294	0.22896771032289678	monte_carlo	100000	0.4379855070079357	1.0		True	OK	1.0	1.0
FAM220A	ENST00000313324.9	7:5989046-6735643	recurrent	73	9	7	0.2675038051750381	0.3611111111111111	0.09360730593607303	0.24114758852411475	monte_carlo	100000	0.5262601282064816	1.0		True	OK	1.0	1.0
TNK2	ENST00000672887.2	3:195749463-195980207	recurrent	60	22	17	0.34915254237288135	0.2510822510822511	-0.09807029129063027	0.25957740422595776	monte_carlo	100000	0.303787630401076	1.0		True	OK	1.0	1.0
NEIL2	ENST00000284503.7	8:7301024-12598379	recurrent	41	41	7	0.5768292682926829	0.44878048780487806	-0.12804878048780483	0.27972720272797275	monte_carlo	100000	0.2601525367492336	1.0		True	OK	1.0	1.0
ZNF488	ENST00000585316.3	10:46983451-47468232	recurrent	75	7	4	0.37945945945945947	0.5238095238095238	0.14435006435006437	0.2869871301286987	monte_carlo	100000	0.5464303336686362	1.0		True	OK	1.0	1.0
STX1A	ENST00000222812.8	7:73113989-74799029	recurrent	77	3	5	0.3940533151059467	0.3333333333333333	-0.060719981772613396	0.3558179162609542	exact	82160	0.9403841528058656	1.0		True	OK	1.0	1.0
ANXA11	ENST00000422982.8	10:79542901-80217413	single-event	77	3	9	0.3848257006151743	0.3333333333333333	-0.05149236728184098	0.36688169425511197	exact	82160	0.9494370221655856	1.0		True	OK	1.0	1.0
GATA4	ENST00000532059.6	8:7301024-12598379	recurrent	41	41	8	0.7304878048780488	0.6121951219512195	-0.11829268292682926	0.3852461475385246	monte_carlo	100000	0.3901607676545335	1.0		True	OK	1.0	1.0
DAGLB	ENST00000297056.11	7:5989046-6735643	recurrent	73	9	10	0.5201674277016742	0.7777777777777778	0.25761035007610356	0.4043459565404346	monte_carlo	100000	0.2926172455036604	1.0		True	OK	1.0	1.0
DNAJC30	ENST00000395176.3	7:73113989-74799029	recurrent	77	3	3	0.5283663704716336	1.0	0.4716336295283664	0.41100292112950343	exact	82160	0.0	0.0		True	OK	1.0	1.0
MAGEA11	ENST00000355220.6	X:149681035-149722249	recurrent	20	30	4	0.46842105263157896	0.5310344827586206	0.06261343012704168	0.4324956750432496	monte_carlo	100000	0.6696018155678227	1.0		True	OK	1.0	1.0
RBP3	ENST00000584701.2	10:46983451-47468232	recurrent	75	7	7	0.689009009009009	0.47619047619047616	-0.2128185328185328	0.46199538004619956	monte_carlo	100000	0.5117519185251003	1.0		True	OK	1.0	1.0
FAN1	ENST00000362065.9	15:30618103-32153204	recurrent	72	10	10	0.7421752738654147	0.6222222222222222	-0.11995305164319248	0.4718052819471805	monte_carlo	100000	0.6371856510733367	1.0		True	OK	1.0	1.0
PRSS51	ENST00000647727.1	8:7301024-12598379	recurrent	41	41	11	0.28292682926829266	0.2451219512195122	-0.037804878048780466	0.47846521534784653	monte_carlo	100000	0.508255835444438	1.0		True	OK	1.0	1.0
SOX7	ENST00000304501.2	8:7301024-12598379	recurrent	41	41	9	0.4524390243902439	0.39634146341463417	-0.05609756097560975	0.4957050429495705	monte_carlo	100000	0.5202583629541759	1.0		True	OK	1.0	1.0
ZNF853	ENST00000457543.4	7:5989046-6735643	recurrent	73	9	5	0.3432267884322679	0.2777777777777778	-0.0654490106544901	0.5132248677513225	monte_carlo	100000	0.4633588670979609	1.0		True	OK	1.0	1.0
RRN3	ENST00000198767.11	16:14954790-15100859	recurrent	16	58	5	0.875	0.7453115547489413	-0.12968844525105871	0.5233347666523335	monte_carlo	100000	0.3863084423513181	1.0		True	OK	1.0	1.0
SFTPA2	ENST00000372325.7	10:79542901-80217413	single-event	77	3	7	0.6144907723855092	1.0	0.3855092276144908	0.5259493670886076	exact	82160	5.0529590289727366e-08	6.374502159627144e-07		True	OK	1.0	1.0
MTMR10	ENST00000435680.6	15:30618103-32153204	recurrent	72	10	5	0.397887323943662	0.4666666666666667	0.06877934272300468	0.5280647193528065	monte_carlo	100000	0.4543999111503611	1.0		True	OK	1.0	1.0
NSUN5	ENST00000438747.7	7:73113989-74799029	recurrent	77	3	6	0.631578947368421	1.0	0.368421052631579	0.5288096397273613	exact	82160	7.1152261860163435e-09	9.724142454222337e-08		True	OK	1.0	1.0
INTS15	ENST00000344417.10	7:5989046-6735643	recurrent	73	9	4	0.8188736681887366	0.6111111111111112	-0.20776255707762548	0.5887441125588744	monte_carlo	100000	0.3658946807002299	1.0		True	OK	1.0	1.0
PPP1R3B	ENST00000310455.4	8:7301024-12598379	recurrent	41	41	3	0.9036585365853659	0.8158536585365853	-0.08780487804878057	0.6444235557644423	monte_carlo	100000	0.4117069503436954	1.0		True	OK	1.0	1.0
CLIP2	ENST00000223398.11	7:73113989-74799029	recurrent	77	3	6	0.4449760765550239	0.3333333333333333	-0.1116427432216906	0.6582278481012658	exact	82160	0.8906122506485743	1.0		True	OK	1.0	1.0
CRHR1	ENST00000314537.10	17:45585159-46292045	single-event	72	10	4	0.8924100156494522	1.0	0.10758998435054778	0.6847931520684793	monte_carlo	100000	0.0346159850391254	0.2102600572746878		True	OK	1.0	1.0
USP42	ENST00000306177.10	7:5989046-6735643	recurrent	73	9	18	0.2134703196347032	0.16666666666666666	-0.04680365296803654	0.7148728512714873	monte_carlo	100000	0.6721058648690066	1.0		True	OK	1.0	1.0
EIF2AK1	ENST00000199389.11	7:5989046-6735643	recurrent	73	9	7	0.463089802130898	0.4166666666666667	-0.046423135464231324	0.7429925700742993	monte_carlo	100000	0.8568635196205729	1.0		True	OK	1.0	1.0
KANSL1	ENST00000432791.7	17:45585159-46292045	single-event	72	10	5	0.598982785602504	0.5333333333333333	-0.06564945226917063	0.7500424995750042	monte_carlo	100000	0.697551555324166	1.0		True	OK	1.0	1.0
MAGEA1	ENST00000356661.7	X:153149748-153250226	recurrent	23	27	4	0.40711462450592883	0.4472934472934473	0.04017882278751844	0.7542924570754292	monte_carlo	100000	0.7490294142766027	1.0		True	OK	1.0	1.0
PRAG1	ENST00000615670.5	8:7301024-12598379	recurrent	41	41	28	0.12804878048780488	0.1378048780487805	0.009756097560975618	0.7912720872791272	monte_carlo	100000	0.8592632584634832	1.0		True	OK	1.0	1.0
PRSS55	ENST00000328655.8	8:7301024-12598379	recurrent	41	41	12	0.1878048780487805	0.17560975609756097	-0.012195121951219523	0.7954120458795412	monte_carlo	100000	0.8069028259826707	1.0		True	OK	1.0	1.0
C8orf74	ENST00000304519.10	8:7301024-12598379	recurrent	41	41	10	0.5365853658536586	0.49390243902439024	-0.04268292682926833	0.8084019159808402	monte_carlo	100000	0.7500447550495739	1.0		True	OK	1.0	1.0
GDF10	ENST00000580279.2	10:46983451-47468232	recurrent	75	7	3	0.6598198198198199	0.7142857142857143	0.05446589446589445	0.904840951590484	monte_carlo	100000	0.8620862572208765	1.0		True	OK	1.0	1.0
AIMP2	ENST00000223029.8	7:5989046-6735643	recurrent	73	9	3	0.5540334855403348	0.6111111111111112	0.057077625570776336	0.976330236697633	monte_carlo	100000	0.8005679070379961	1.0		True	OK	1.0	1.0
FKBP6	ENST00000252037.5	7:73113989-74799029	recurrent	77	3	4	0.8745727956254272	1.0	0.12542720437457278	0.9999878286270691	exact	82160	0.0171627401751237	0.1172787245300123		True	OK	1.0	1.0
ANKRD61	ENST00000409061.2	7:5989046-6735643	recurrent	73	9	8	0.4836377473363775	0.5	0.016362252663622512	0.999990000099999	monte_carlo	100000	0.9182668727772982	1.0		True	OK	1.0	1.0
ABHD11	ENST00000222800.8	7:73113989-74799029	recurrent	77	3	2	0.974025974025974	1.0	0.025974025974025983	1.0	exact	82160	0.3174298718641566	1.0		True	OK	1.0	1.0
ANKRD36C	ENST00000295246.7	2:95800191-96024403	recurrent	77	5	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
APOBR	ENST00000564831.6	16:28471892-28637651	recurrent	52	30	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
ARHGAP11B	ENST00000697964.2	15:30618103-32153204	recurrent	72	10	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
BAZ1B	ENST00000339594.9	7:73113989-74799029	recurrent	77	3	3	0.5297334244702666	0.3333333333333333	-0.1964000911369333	1.0	exact	82160	0.8089342758142473	1.0		True	OK	1.0	1.0
BCL7B	ENST00000223368.7	7:73113989-74799029	recurrent	77	3	1	1.0	1.0	0.0	1.0	exact	82160	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
BUD23	ENST00000265758.7	7:73113989-74799029	recurrent	77	3	1	1.0	1.0	0.0	1.0	exact	82160	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
CASTOR2	ENST00000616305.2	7:74869950-75058098	recurrent	72	8	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
CLDN3	ENST00000395145.3	7:73113989-74799029	recurrent	77	3	2	0.974025974025974	1.0	0.025974025974025983	1.0	exact	82160	0.3174298718641566	1.0		True	OK	1.0	1.0
CLDN4	ENST00000340958.4	7:73113989-74799029	recurrent	77	3	1	1.0	1.0	0.0	1.0	exact	82160	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
CLN3	ENST00000636147.2	16:28471892-28637651	recurrent	52	30	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
DEFB103A	ENST00000314357.4	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
DEFB103B	ENST00000318124.3	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
DEFB104A	ENST00000314265.3	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
DEFB104B	ENST00000316169.2	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
DEFB105A	ENST00000334773.7	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
DEFB105B	ENST00000335510.7	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
DEFB106A	ENST00000335186.3	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
DEFB106B	ENST00000335479.2	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
DEFB107A	ENST00000335021.2	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
DEFB107B	ENST00000355602.3	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
DEFB108C	ENST00000400154.2	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
DEFB109B	ENST00000382656.2	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
DEFB109C	ENST00000382575.2	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
DEFB130A	ENST00000400079.1	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
DEFB130B	ENST00000437818.1	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
DEFB134	ENST00000382205.6	8:7301024-12598379	recurrent	41	41	2	0.9512195121951219	0.9512195121951219	0.0	1.0	monte_carlo	100000	1.0	1.0		True	OK	1.0	1.0
DEFB135	ENST00000382208.3	8:7301024-12598379	recurrent	41	41	2	0.9048780487804878	0.8609756097560975	-0.04390243902439028	1.0	monte_carlo	100000	0.6567408423034542	1.0		True	OK	1.0	1.0
DEFB4A	ENST00000302247.3	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
DEFB4B	ENST00000318157.3	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
EIF4H	ENST00000265753.13	7:73113989-74799029	recurrent	77	3	1	1.0	1.0	0.0	1.0	exact	82160	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
ELN	ENST00000252034.12	7:73113989-74799029	recurrent	77	3	2	0.974025974025974	1.0	0.025974025974025983	1.0	exact	82160	0.3174298718641566	1.0		True	OK	1.0	1.0
EMD	ENST00000369842.9	X:154347246-154384867	recurrent	29	21	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
FAM86B1	ENST00000448228.7	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
FAM86B2	ENST00000262365.9	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
FAM90A10	ENST00000533716.2	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
FAM90A11	ENST00000518378.2	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
FAM90A12	ENST00000519497.3	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
FAM90A14	ENST00000648315.1	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
FAM90A16	ENST00000648174.1	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
FAM90A17	ENST00000650426.1	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
FAM90A18	ENST00000647769.1	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
FAM90A19	ENST00000647903.1	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
FAM90A22	ENST00000648590.1	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
FAM90A23	ENST00000648435.1	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
FAM90A24	ENST00000520792.6	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
FAM90A7	ENST00000650288.1	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
FAM90A8	ENST00000647775.1	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
FAM90A9	ENST00000648344.1	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
FZD9	ENST00000344575.5	7:73113989-74799029	recurrent	77	3	4	0.9231032125768968	1.0	0.07689678742310324	1.0	exact	82160	0.0752031181422836	0.3854159804792036		True	OK	1.0	1.0
GDF2	ENST00000581492.3	10:46983451-47468232	recurrent	75	7	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
GTF2I	ENST00000573035.6	7:73113989-74799029	recurrent	77	3	1	1.0	1.0	0.0	1.0	exact	82160	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
GTF2IRD1	ENST00000424337.7	7:73113989-74799029	recurrent	77	3	4	0.9231032125768968	1.0	0.07689678742310324	1.0	exact	82160	0.0752031181422836	0.3854159804792036		True	OK	1.0	1.0
H2BW2	ENST00000675318.3	X:103989434-104049428	recurrent	21	18	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
IL27	ENST00000356897.1	16:28471892-28637651	recurrent	52	30	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
KDELR2	ENST00000258739.9	7:5989046-6735643	recurrent	73	9	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
LAT2	ENST00000460943.6	7:73113989-74799029	recurrent	77	3	4	0.9231032125768968	1.0	0.07689678742310324	1.0	exact	82160	0.0752031181422836	0.3854159804792036		True	OK	1.0	1.0
LIMK1	ENST00000336180.7	7:73113989-74799029	recurrent	77	3	2	0.974025974025974	1.0	0.025974025974025983	1.0	exact	82160	0.3174298718641566	1.0		True	OK	1.0	1.0
LINC02210CRHR1	ENST00000634540.1	17:45585159-46292045	single-event	72	10	2	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
MAGEA12	ENST00000393869.8	X:152729753-152738707	recurrent	24	24	4	0.8369565217391305	0.9166666666666666	0.07971014492753614	1.0	monte_carlo	100000	0.5677596283680171	1.0		True	OK	1.0	1.0
MSRA	ENST00000317173.9	8:7301024-12598379	recurrent	41	41	2	0.9512195121951219	1.0	0.04878048780487809	1.0	monte_carlo	100000	0.3203163554920682	1.0		True	OK	1.0	1.0
NBPF15	ENST00000581897.7	1:144376209-144600799	single-event	29	49	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
NCF1	ENST00000289473.11	7:73113989-74799029	recurrent	77	3	1	1.0	1.0	0.0	1.0	exact	82160	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
NUPR1	ENST00000324873.8	16:28471892-28637651	recurrent	52	30	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
NUTM2B	ENST00000429828.7	10:79542901-80217413	single-event	77	3	1	1.0	1.0	0.0	1.0	exact	82160	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
NUTM2E	ENST00000429984.5	10:79542901-80217413	single-event	77	3	1	1.0	1.0	0.0	1.0	exact	82160	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
