inv_id	chrom	start	end	orig_id	recurrence_class	sources	ancestral_orientation	derived_orientation	flip_ref_polarity	confidence	n_outgroups_informative	n_support_ref_ancestral	n_support_ref_derived	outgroup_discordant	orient_chimp	orient_gorilla	orient_orangutan	orient_macaque	evidence	inv_af_ref	derived_af	minor_is_derived	strandseq_flip	strandseq_confidence	strandseq_source	evidence_tier	t2t_ape_flip	t2t_ape_confidence
chr1:122020454-122503767	chr1	122020454	122503767	chr1-122020455-INV-483314	unknown	callset	direct	inverted	0	assumed	0	0	0	0	NA	NA	NA	NA	no_ape_orthology	NA	NA	NA				synteny		
chr1:124793252-124931477	chr1	124793252	124931477	chr1-124793253-INV-138226	unknown	callset	direct	inverted	0	assumed	0	0	0	0	NA	NA	NA	NA	no_ape_orthology	NA	NA	NA				synteny		
chr1:143558088-143704592	chr1	143558088	143704592	chr1-143558089-INV-146504	unknown	callset	direct	inverted	0	high	4	4	0	0	collinear	collinear	collinear	collinear	congruent[1.00]:chimp+,gorilla+,orangutan+,macaque+	NA	NA	NA				synteny		
chr1:144376209-144600799	chr1	144376209	144600799	chr1-144376210-INV-224591	single-event	callset;inv_properties	inverted	direct	1	high	4	1	3	1	collinear	inverted	inverted	inverted	discordant[0.75]:chimp+,gorilla-,orangutan-,macaque-	0.61	0.39	True				synteny	1	low
chr1:145160434-146154520	chr1	145160434	146154520	chr1-145160435-INV-994087	unknown	callset;inv_properties	inverted	direct	1	high	4	3	1	1	inverted	collinear	collinear	collinear	discordant[0.75]:chimp-,gorilla+,orangutan+,macaque+	0.02	0.98	True	1	low	strandseq_parsimony	gold_t2t_apes	1	high
chr1:146298109-148672872	chr1	146298109	148672872	chr1-146298110-INV-2374764	unknown	callset;inv_properties	direct	inverted	0	moderate	4	4	0	0	collinear	collinear	collinear	collinear	congruent[1.00]:chimp+,gorilla+,orangutan+,macaque+	0.98	0.98	False	0	low	strandseq_parsimony	recurrent_t2t_apes	1	recurrent
chr1:148288482-148295706	chr1	148288482	148295706	chr1-148280433-INV-23152	unknown	callset	inverted	direct	1	high	4	2	2	1	collinear	collinear	inverted	inverted	discordant[0.50]:chimp+,gorilla+,orangutan-,macaque-	NA	NA	NA				gold_t2t_apes	1	high
chr1:148893781-149265643	chr1	148893781	149265643	chr1-148893782-INV-371863	unknown	callset;inv_properties	inverted	direct	1	moderate	4	4	0	0	collinear	collinear	collinear	collinear	congruent[1.00]:chimp+,gorilla+,orangutan+,macaque+	0.7	0.3	False				gold_t2t_apes	1	moderate
chr1:149843518-149850293	chr1	149843518	149850293	chr1-149842162-INV-9508	single-event	callset;inv_properties	inverted	direct	1	moderate	4	2	2	1	collinear	collinear	inverted	inverted	discordant[0.50]:chimp+,gorilla+,orangutan-,macaque-	0.61	0.39	True		recurrent	strandseq_parsimony	recurrent_strandseq	1	recurrent
chr1:197787659-197788856	chr1	197787659	197788856	chr1-197787661-INV-1197	unknown	callset;inv_properties	inverted	direct	1	high	4	0	4	0	inverted	inverted	inverted	inverted	congruent[1.00]:chimp-,gorilla-,orangutan-,macaque-	0.09	0.91	False	1	high	strandseq_parsimony	gold_strandseq		
chr1:227499209-227502113	chr1	227499209	227502113	chr1-227492704-INV-15726	unknown	callset;inv_properties	inverted	direct	1	moderate	4	3	1	1	collinear	collinear	inverted	collinear	discordant[0.75]:chimp+,gorilla+,orangutan-,macaque+	0.14	0.86	True	0	low	strandseq_parsimony	gold_t2t_apes	1	moderate
chr1:247661377-248128772	chr1	247661377	248128772	chr1-247661378-INV-467396	unknown	callset	direct	inverted	0	high	4	4	0	0	collinear	collinear	collinear	collinear	congruent[1.00]:chimp+,gorilla+,orangutan+,macaque+	NA	NA	NA				synteny	1	low
chr1:248128773-248428856	chr1	248128773	248428856	chr1-248128774-INV-300084	single-event	callset;inv_properties	direct	inverted	0	high	4	4	0	0	collinear	collinear	collinear	collinear	congruent[1.00]:chimp+,gorilla+,orangutan+,macaque+	0.01	0.01	True				synteny	1	low
chr1:248518572-248529489	chr1	248518572	248529489	chr1-248517894-INV-12881	unknown	callset;inv_properties	inverted	direct	1	moderate	3	2	1	1	inverted	NA	collinear	collinear	discordant[0.67]:chimp-,orangutan+,macaque+	0.7	0.3	False	0	low	strandseq_parsimony	gold_t2t_apes	1	moderate
chr10:4983056-4984361	chr10	4983056	4984361	chr10-4961364-INV-47135	unknown	callset;inv_properties	direct	inverted	0	high	4	4	0	0	collinear	collinear	collinear	collinear	congruent[1.00]:chimp+,gorilla+,orangutan+,macaque+	0.08	0.08	True				synteny		
chr10:15742803-15760427	chr10	15742803	15760427	chr10-15742645-INV-17942	single-event	callset;inv_properties	direct	inverted	0	high	4	4	0	0	collinear	collinear	collinear	collinear	congruent[1.00]:chimp+,gorilla+,orangutan+,macaque+	0.01	0.01	True				synteny		
chr10:37105149-37111121	chr10	37105149	37111121	chr10-37102555-INV-11157	unknown	callset;inv_properties	inverted	direct	1	high	4	0	4	0	inverted	inverted	inverted	inverted	congruent[1.00]:chimp-,gorilla-,orangutan-,macaque-	0.48	0.52	False	0	low	strandseq_parsimony	synteny	1	low
chr10:46144703-46204851	chr10	46144703	46204851	chr10-46135869-INV-77646	single-event	callset;inv_properties	inverted	direct	1	high	4	2	2	1	collinear	inverted	collinear	inverted	discordant[0.50]:chimp+,gorilla-,orangutan+,macaque-	0.06	0.94	False	0	low	strandseq_parsimony	gold_t2t_apes	1	high
chr10:46213494-46283272	chr10	46213494	46283272	chr10-46213495-INV-69778	unknown	callset	inverted	direct	1	high	4	3	1	1	collinear	inverted	collinear	collinear	discordant[0.75]:chimp+,gorilla-,orangutan+,macaque+	NA	NA	NA		recurrent	strandseq_parsimony	gold_t2t_apes	1	high
chr10:46769328-46857141	chr10	46769328	46857141	chr10-46769329-INV-87814	unknown	callset;inv_properties	inverted	direct	1	high	4	3	1	1	collinear	collinear	inverted	collinear	discordant[0.75]:chimp+,gorilla+,orangutan-,macaque+	0.06	0.94	True	1	high	strandseq_parsimony	gold_strandseq	1	recurrent
chr10:46983451-47468232	chr10	46983451	47468232	chr10-46983452-INV-484782	recurrent	callset;inv_properties	inverted	direct	1	high	4	4	0	0	collinear	collinear	collinear	collinear	congruent[1.00]:chimp+,gorilla+,orangutan+,macaque+	0.09	0.91	True	1	high	strandseq_parsimony	gold_t2t_apes	1	high
chr10:47480263-47546423	chr10	47480263	47546423	chr10-47480264-INV-66161	unknown	callset;inv_properties	inverted	direct	1	high	4	3	1	1	collinear	collinear	inverted	collinear	discordant[0.75]:chimp+,gorilla+,orangutan-,macaque+	0.03	0.97	True	1	high	strandseq_parsimony	gold_t2t_apes	1	high
chr10:47649265-47756785	chr10	47649265	47756785	chr10-47649266-INV-107520	unknown	callset;inv_properties	direct	inverted	0	high	4	4	0	0	collinear	collinear	collinear	collinear	congruent[1.00]:chimp+,gorilla+,orangutan+,macaque+	0.06	0.06	True	0	low	strandseq_parsimony	recurrent_t2t_apes	1	recurrent
chr10:47983093-48044442	chr10	47983093	48044442	chr10-47983094-INV-61350	unknown	callset;inv_properties	direct	inverted	0	high	4	4	0	0	collinear	collinear	collinear	collinear	congruent[1.00]:chimp+,gorilla+,orangutan+,macaque+	0.03	0.03	True	0	low	strandseq_parsimony	recurrent_t2t_apes	1	recurrent
chr10:55007431-55013434	chr10	55007431	55013434	chr10-55007454-INV-5370	single-event	callset;inv_properties	inverted	direct	1	high	4	4	0	0	collinear	collinear	collinear	collinear	congruent[1.00]:chimp+,gorilla+,orangutan+,macaque+	0.09	0.91	True	1	low	strandseq_parsimony	gold_t2t_apes	1	high
chr10:65465445-65470067	chr10	65465445	65470067	chr10-65465442-INV-4580	single-event	callset;inv_properties	inverted	direct	1	high	4	4	0	0	collinear	collinear	collinear	collinear	congruent[1.00]:chimp+,gorilla+,orangutan+,macaque+	0.01	0.99	True	1	low	strandseq_parsimony	gold_t2t_apes	1	high
chr10:71066858-71067726	chr10	71066858	71067726	chr10-71065991-INV-2615	unknown	callset;inv_properties	inverted	direct	1	high	4	4	0	0	collinear	collinear	collinear	collinear	congruent[1.00]:chimp+,gorilla+,orangutan+,macaque+	0.05	0.95	True	1	low	strandseq_parsimony	gold_t2t_apes	1	high
chr10:73657969-73660146	chr10	73657969	73660146	chr10-73657970-INV-2177	unknown	callset;inv_properties	inverted	direct	1	high	4	4	0	0	collinear	collinear	collinear	collinear	congruent[1.00]:chimp+,gorilla+,orangutan+,macaque+	0.1	0.9	True	1	low	strandseq_parsimony	gold_t2t_apes	1	high
chr10:79542901-80217413	chr10	79542901	80217413	chr10-79542902-INV-674513	single-event	callset;inv_properties	inverted	direct	1	high	4	4	0	0	collinear	collinear	collinear	collinear	congruent[1.00]:chimp+,gorilla+,orangutan+,macaque+	0.03	0.97	True	1	low	strandseq_parsimony	gold_t2t_apes	1	high
chr10:87308005-87425030	chr10	87308005	87425030	chr10-87308006-INV-117026	unknown	callset;inv_properties	inverted	direct	1	moderate	4	1	3	1	inverted	collinear	inverted	inverted	discordant[0.75]:chimp-,gorilla+,orangutan-,macaque-	0.02	0.98	False				synteny		
chr10:91443587-91446029	chr10	91443587	91446029	chr10-91440445-INV-8733	unknown	callset;inv_properties	inverted	direct	1	moderate	4	2	2	1	inverted	collinear	collinear	inverted	discordant[0.50]:chimp-,gorilla+,orangutan+,macaque-	0.85	0.15	True	0	low	strandseq_parsimony	synteny		
chr10:103205557-103205994	chr10	103205557	103205994	chr10-103197205-INV-9055	unknown	callset;inv_properties	direct	inverted	0	high	4	4	0	0	collinear	collinear	collinear	collinear	congruent[1.00]:chimp+,gorilla+,orangutan+,macaque+	0.06	0.06	True				synteny		
chr10:113411933-113412252	chr10	113411933	113412252	chr10-113411929-INV-356	unknown	callset;inv_properties	direct	inverted	0	high	4	4	0	0	collinear	collinear	collinear	collinear	congruent[1.00]:chimp+,gorilla+,orangutan+,macaque+	0.1	0.1	True				synteny		
chr10:131619777-131620717	chr10	131619777	131620717	chr10-131619519-INV-1521	unknown	callset;inv_properties	inverted	direct	1	high	4	0	4	0	inverted	inverted	inverted	inverted	congruent[1.00]:chimp-,gorilla-,orangutan-,macaque-	0.06	0.94	False				synteny		
chr10:133657262-133787421	chr10	133657262	133787421	chr10-133657263-INV-130160	unknown	callset;inv_properties	direct	inverted	0	moderate	4	3	1	1	collinear	collinear	inverted	collinear	discordant[0.75]:chimp+,gorilla+,orangutan-,macaque+	0.07	0.07	True				synteny		
chr11:311836-317944	chr11	311836	317944	chr11-310146-INV-10302	unknown	callset;inv_properties	inverted	direct	1	moderate	4	4	0	0	collinear	collinear	collinear	collinear	congruent[1.00]:chimp+,gorilla+,orangutan+,macaque+	0.73	0.27	False		recurrent	strandseq_parsimony	gold_t2t_apes	1	moderate
chr11:738649-740185	chr11	738649	740185	chr11-738460-INV-2650	unknown	callset;inv_properties	direct	inverted	0	high	3	3	0	0	collinear	collinear	collinear	NA	congruent[1.00]:chimp+,gorilla+,orangutan+	0.03	0.03	True				synteny		
chr11:1667460-1683267	chr11	1667460	1683267	chr11-1661292-INV-24445	unknown	callset;inv_properties	inverted	direct	1	moderate	4	1	3	1	inverted	inverted	collinear	inverted	discordant[0.75]:chimp-,gorilla-,orangutan+,macaque-	0.5	0.5	NA	1	low	strandseq_parsimony	gold_t2t_apes	1	moderate
chr11:1894042-1915725	chr11	1894042	1915725	chr11-1894043-INV-21683	unknown	callset	inverted	direct	1	high	4	0	4	0	inverted	inverted	inverted	inverted	congruent[1.00]:chimp-,gorilla-,orangutan-,macaque-	NA	NA	NA	1	high	strandseq_parsimony	gold_strandseq		
chr11:4271709-4289557	chr11	4271709	4289557	chr11-4271710-INV-17848	unknown	callset;inv_properties	inverted	direct	1	moderate	4	1	3	1	collinear	inverted	inverted	inverted	discordant[0.75]:chimp+,gorilla-,orangutan-,macaque-	0.86	0.14	True	0	low	strandseq_parsimony	gold_t2t_apes	1	moderate
chr11:18249084-18265819	chr11	18249084	18265819	chr11-18246600-INV-21672	single-event	callset;inv_properties	inverted	direct	1	high	4	4	0	0	collinear	collinear	collinear	collinear	congruent[1.00]:chimp+,gorilla+,orangutan+,macaque+	0.01	0.99	True	0	low	strandseq_parsimony	gold_t2t_apes	1	high
chr11:24263179-24266246	chr11	24263179	24266246	chr11-24263185-INV-392	unknown	callset;inv_properties	inverted	direct	1	moderate	4	4	0	0	collinear	collinear	collinear	collinear	congruent[1.00]:chimp+,gorilla+,orangutan+,macaque+	0.05	0.95	True	0	low	strandseq_parsimony	gold_t2t_apes	1	moderate
chr11:48849290-48878471	chr11	48849290	48878471	chr11-48849291-INV-29182	unknown	callset	direct	inverted	0	high	2	2	0	0	collinear	collinear	NA	NA	congruent[1.00]:chimp+,gorilla+	NA	NA	NA	0	low	strandseq_parsimony	synteny		
chr11:48888300-48892127	chr11	48888300	48892127	chr11-48880392-INV-19590	unknown	callset;inv_properties	inverted	direct	1	moderate	4	2	2	1	collinear	collinear	inverted	inverted	discordant[0.50]:chimp+,gorilla+,orangutan-,macaque-	0.34	0.66	False	0	low	strandseq_parsimony	gold_t2t_apes	1	moderate
chr11:49714144-49729098	chr11	49714144	49729098	chr11-49714145-INV-14955	unknown	callset	inverted	direct	1	moderate	4	4	0	0	collinear	collinear	collinear	collinear	congruent[1.00]:chimp+,gorilla+,orangutan+,macaque+	NA	NA	NA	0	low	strandseq_parsimony	gold_t2t_apes	1	moderate
chr11:50154999-50324102	chr11	50154999	50324102	chr11-50136371-INV-206505	recurrent	callset;inv_properties	inverted	direct	1	moderate	4	2	2	1	inverted	inverted	collinear	collinear	discordant[0.50]:chimp-,gorilla-,orangutan+,macaque+	0.4	0.6	True	1	high	strandseq_parsimony	gold_t2t_apes	1	moderate
chr11:50364388-50425111	chr11	50364388	50425111	chr11-50364389-INV-60724	unknown	callset	inverted	direct	1	moderate	4	2	2	1	inverted	inverted	collinear	collinear	discordant[0.50]:chimp-,gorilla-,orangutan+,macaque+	NA	NA	NA	0	low	strandseq_parsimony	gold_t2t_apes	1	moderate
chr11:55662739-55666690	chr11	55662739	55666690	chr11-55662740-INV-3952	unknown	callset;inv_properties	inverted	direct	1	high	3	3	0	0	collinear	collinear	NA	collinear	congruent[1.00]:chimp+,gorilla+,macaque+	0.17	0.83	True	0	low	strandseq_parsimony	gold_t2t_apes	1	high
chr11:62093043-62102999	chr11	62093043	62102999	chr11-62094124-INV-7773	unknown	callset;inv_properties	inverted	direct	1	moderate	3	3	0	0	collinear	collinear	collinear	NA	congruent[1.00]:chimp+,gorilla+,orangutan+	0.45	0.55	True	0	low	strandseq_parsimony	gold_t2t_apes	1	moderate
chr11:66251227-66252453	chr11	66251227	66252453	chr11-66251212-INV-1252	unknown	callset;inv_properties	direct	inverted	0	high	4	4	0	0	collinear	collinear	collinear	collinear	congruent[1.00]:chimp+,gorilla+,orangutan+,macaque+	0.21	0.21	True	0	low	strandseq_parsimony	synteny		
chr11:71571819-71576724	chr11	71571819	71576724	chr11-71571191-INV-6980	single-event	callset;inv_properties	inverted	direct	1	low	4	2	2	1	collinear	collinear	inverted	inverted	discordant[0.50]:chimp+,gorilla+,orangutan-,macaque-	0.03	0.97	False	0	low	strandseq_parsimony	synteny		
chr11:89920623-89923848	chr11	89920623	89923848	chr11-89920625-INV-3224	recurrent	callset;inv_properties	direct	inverted	0	high	4	3	1	1	inverted	collinear	collinear	collinear	discordant[0.75]:chimp-,gorilla+,orangutan+,macaque+	0.53	0.53	False				synteny	1	low
chr12:12392068-12393519	chr12	12392068	12393519	chr12-12391907-INV-1712	unknown	callset	inverted	direct	1	high	4	0	4	0	inverted	inverted	inverted	inverted	congruent[1.00]:chimp-,gorilla-,orangutan-,macaque-	NA	NA	NA	1	high	strandseq_parsimony	gold_strandseq		
chr12:13392624-13397634	chr12	13392624	13397634	chr12-13392052-INV-6162	unknown	callset;inv_properties	direct	inverted	0	assumed	0	0	0	0	NA	NA	NA	NA	no_ape_orthology	0.59	0.59	False				synteny		
chr12:17774389-17855572	chr12	17774389	17855572	chr12-17771301-INV-87071	unknown	callset	inverted	direct	1	high	4	0	4	0	inverted	inverted	inverted	inverted	congruent[1.00]:chimp-,gorilla-,orangutan-,macaque-	NA	NA	NA	1	high	strandseq_parsimony	gold_strandseq		
chr12:34773599-34820432	chr12	34773599	34820432	chr12-34773600-INV-46834	unknown	callset	direct	inverted	0	assumed	0	0	0	0	NA	NA	NA	NA	no_ape_orthology	NA	NA	NA	1	low	strandseq_parsimony	synteny		
chr12:34834837-37181298	chr12	34834837	37181298	chr12-34834838-INV-2346462	unknown	callset	direct	inverted	0	assumed	0	0	0	0	NA	NA	NA	NA	no_ape_orthology	NA	NA	NA	1	low	strandseq_parsimony	synteny		
chr12:37705668-37737662	chr12	37705668	37737662	chr12-37705669-INV-31994	unknown	callset;inv_properties	direct	inverted	0	assumed	0	0	0	0	NA	NA	NA	NA	no_ape_orthology	0.02	0.02	True	1	low	strandseq_parsimony	synteny		
chr12:46896694-46915975	chr12	46896694	46915975	chr12-46897663-INV-16289	single-event	callset;inv_properties	direct	inverted	0	high	4	4	0	0	collinear	collinear	collinear	collinear	congruent[1.00]:chimp+,gorilla+,orangutan+,macaque+	0.06	0.06	True	1	low	strandseq_parsimony	synteny	1	low
chr12:71546200-71547738	chr12	71546200	71547738	chr12-71546144-INV-1652	unknown	callset;inv_properties	direct	inverted	0	high	4	4	0	0	collinear	collinear	collinear	collinear	congruent[1.00]:chimp+,gorilla+,orangutan+,macaque+	0.09	0.09	True				synteny		
chr12:75713180-75731794	chr12	75713180	75731794	chr12-75713181-INV-18615	single-event	callset;inv_properties	direct	inverted	0	high	4	4	0	0	collinear	collinear	collinear	collinear	congruent[1.00]:chimp+,gorilla+,orangutan+,macaque+	0.01	0.01	True				synteny		
chr12:80451355-80454331	chr12	80451355	80454331	chr12-80451356-INV-2977	unknown	callset	direct	inverted	0	high	2	2	0	0	collinear	collinear	NA	NA	congruent[1.00]:chimp+,gorilla+	NA	NA	NA				synteny		
chr12:80461776-80464616	chr12	80461776	80464616	chr12-80461777-INV-2841	unknown	callset	direct	inverted	0	high	2	2	0	0	collinear	collinear	NA	NA	congruent[1.00]:chimp+,gorilla+	NA	NA	NA				synteny		
chr12:86847821-86857785	chr12	86847821	86857785	chr12-86846386-INV-12781	unknown	callset	inverted	direct	1	high	4	0	4	0	inverted	inverted	inverted	inverted	congruent[1.00]:chimp-,gorilla-,orangutan-,macaque-	NA	NA	NA	1	high	strandseq_parsimony	gold_strandseq		
chr12:131295603-131312193	chr12	131295603	131312193	chr12-131295604-INV-16591	unknown	callset	direct	inverted	0	high	4	4	0	0	collinear	collinear	collinear	collinear	congruent[1.00]:chimp+,gorilla+,orangutan+,macaque+	NA	NA	NA	0	moderate	strandseq_parsimony	gold_strandseq	1	low
chr12:131312081-131644839	chr12	131312081	131644839	chr12-131312082-INV-332759	single-event	callset;inv_properties	direct	inverted	0	high	4	4	0	0	collinear	collinear	collinear	collinear	congruent[1.00]:chimp+,gorilla+,orangutan+,macaque+	0.03	0.03	True	0	moderate	strandseq_parsimony	gold_strandseq	1	low
chr12:131333943-131623807	chr12	131333943	131623807	chr12-131333944-INV-289865	unknown	callset;inv_properties	direct	inverted	0	high	4	4	0	0	collinear	collinear	collinear	collinear	congruent[1.00]:chimp+,gorilla+,orangutan+,macaque+	0.03	0.03	True	0	moderate	strandseq_parsimony	gold_strandseq	1	low
chr13:37315207-37317760	chr13	37315207	37317760	chr13-37314466-INV-4035	unknown	callset;inv_properties	inverted	direct	1	high	0	0	0	0	NA	NA	NA	NA	no_ape_orthology	0.11	0.89	True	1	high	strandseq_parsimony	gold_strandseq	1	low
chr13:48199250-48206639	chr13	48199250	48206639	chr13-48199211-INV-7451	single-event	callset;inv_properties	direct	inverted	0	high	4	4	0	0	collinear	collinear	collinear	collinear	congruent[1.00]:chimp+,gorilla+,orangutan+,macaque+	0.02	0.02	True				synteny	1	low
chr13:52310302-52320954	chr13	52310302	52320954	chr13-52310303-INV-10653	single-event	callset;inv_properties	inverted	direct	1	moderate	4	3	1	1	collinear	collinear	collinear	inverted	discordant[0.75]:chimp+,gorilla+,orangutan+,macaque-	0.02	0.98	True	1	moderate	strandseq_parsimony	gold_t2t_apes	1	moderate
chr13:52344010-52502256	chr13	52344010	52502256	chr13-52344011-INV-158247	unknown	callset;inv_properties	inverted	direct	1	high	4	4	0	0	collinear	collinear	collinear	collinear	congruent[1.00]:chimp+,gorilla+,orangutan+,macaque+	0.03	0.97	True	1	moderate	strandseq_parsimony	gold_t2t_apes	1	high
chr13:53902573-54093373	chr13	53902573	54093373	chr13-53902574-INV-190801	single-event	callset;inv_properties	direct	inverted	0	high	4	4	0	0	collinear	collinear	collinear	collinear	congruent[1.00]:chimp+,gorilla+,orangutan+,macaque+	0.01	0.01	True				synteny		
chr13:63048102-63068468	chr13	63048102	63068468	chr13-63048103-INV-20367	unknown	callset	direct	inverted	0	high	4	4	0	0	collinear	collinear	collinear	collinear	congruent[1.00]:chimp+,gorilla+,orangutan+,macaque+	NA	NA	NA				synteny		
chr13:63727377-63820968	chr13	63727377	63820968	chr13-63717417-INV-120779	unknown	callset;inv_properties	inverted	direct	1	high	4	4	0	0	collinear	collinear	collinear	collinear	congruent[1.00]:chimp+,gorilla+,orangutan+,macaque+	0.05	0.95	True	1	high	strandseq_parsimony	gold_strandseq	1	low
chr13:64598737-64616218	chr13	64598737	64616218	chr13-64598738-INV-17482	single-event	callset;inv_properties	direct	inverted	0	high	4	4	0	0	collinear	collinear	collinear	collinear	congruent[1.00]:chimp+,gorilla+,orangutan+,macaque+	0.01	0.01	True	0	moderate	strandseq_parsimony	gold_strandseq	1	low
chr13:79823210-79839670	chr13	79823210	79839670	chr13-79822252-INV-17591	unknown	callset;inv_properties	direct	inverted	0	high	4	4	0	0	collinear	collinear	collinear	collinear	congruent[1.00]:chimp+,gorilla+,orangutan+,macaque+	0.07	0.07	True				synteny	1	low
chr13:97456283-97456722	chr13	97456283	97456722	chr13-97456279-INV-437	unknown	callset;inv_properties	direct	inverted	0	high	4	4	0	0	collinear	collinear	collinear	collinear	congruent[1.00]:chimp+,gorilla+,orangutan+,macaque+	0.12	0.12	True				synteny		
chr14:18862645-19659006	chr14	18862645	19659006	chr14-18862646-INV-796362	unknown	callset;inv_properties	inverted	direct	1	moderate	4	4	0	0	collinear	collinear	collinear	collinear	congruent[1.00]:chimp+,gorilla+,orangutan+,macaque+	0.19	0.81	True	0	low	strandseq_parsimony	gold_t2t_apes	1	moderate
chr14:19726390-19956169	chr14	19726390	19956169	chr14-19726391-INV-229780	unknown	callset	direct	inverted	0	high	4	4	0	0	collinear	collinear	collinear	collinear	congruent[1.00]:chimp+,gorilla+,orangutan+,macaque+	NA	NA	NA	0	low	strandseq_parsimony	recurrent_t2t_apes	1	recurrent
chr14:34547864-34555230	chr14	34547864	34555230	chr14-34540582-INV-21874	unknown	callset;inv_properties	direct	inverted	0	high	4	3	1	1	collinear	collinear	inverted	collinear	discordant[0.75]:chimp+,gorilla+,orangutan-,macaque+	0.45	0.45	True		recurrent	strandseq_parsimony	recurrent_strandseq	1	low
chr14:60606118-60611659	chr14	60606118	60611659	chr14-60604531-INV-8718	single-event	callset;inv_properties	direct	inverted	0	high	4	3	1	1	collinear	inverted	collinear	collinear	discordant[0.75]:chimp+,gorilla-,orangutan+,macaque+	0.18	0.18	True				synteny		
chr14:65375818-65376683	chr14	65375818	65376683	chr14-65375818-INV-880	unknown	callset;inv_properties	direct	inverted	0	high	4	4	0	0	collinear	collinear	collinear	collinear	congruent[1.00]:chimp+,gorilla+,orangutan+,macaque+	0.29	0.29	True				synteny		
