chr,region_start,region_end,0_sequence_length,1_sequence_length,0_sequence_length_adjusted,1_sequence_length_adjusted,0_segregating_sites,1_segregating_sites,0_w_theta,1_w_theta,0_pi,1_pi,0_segregating_sites_filtered,1_segregating_sites_filtered,0_w_theta_filtered,1_w_theta_filtered,0_pi_filtered,1_pi_filtered,0_num_hap_no_filter,1_num_hap_no_filter,0_num_hap_filter,1_num_hap_filter,inversion_freq_no_filter,inversion_freq_filter,haplotype_overall_fst_wc,haplotype_between_pop_variance_wc,haplotype_within_pop_variance_wc,haplotype_num_informative_sites_wc,hudson_fst_hap_group_0v1,hudson_dxy_hap_group_0v1,hudson_pi_hap_group_0,hudson_pi_hap_group_1,hudson_pi_avg_hap_group_0v1
8,2343351,2378385,35035,35035,35035,35035,213,283,0.001405,0.001847,0.001073,0.001807,213,283,0.001405,0.001847,0.001073,0.001807,43,45,43,45,0.511364,0.511364,NA,0.000000,0.000000,312,0.067481,0.001544,0.001073,0.001807,0.001440
8,7301024,12598379,5297356,5297356,4348427,4348427,17989,19376,0.000951,0.001024,0.000798,0.000888,17974,19361,0.000950,0.001024,0.000797,0.000887,44,44,44,44,0.500000,0.500000,NA,0.000000,0.000000,25021,0.144715,0.000985,0.000797,0.000887,0.000842
8,12369152,12394133,24982,24982,24982,24982,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,38,14,37,13,0.269231,0.260000,NA,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
8,85728658,85741892,13235,13235,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,28,54,3,5,0.658537,0.625000,NA,0.000000,0.000000,0,NA,NA,NA,NA,NA
8,85741974,85762792,20819,20819,11180,11180,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,48,36,0,2,0.428571,1.000000,NA,0.000000,0.000000,0,NA,NA,NA,NA,NA
8,85769984,85821716,51733,51733,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,57,17,2,2,0.229730,0.500000,NA,0.000000,0.000000,0,NA,NA,NA,NA,NA
8,102423403,102423638,236,236,236,236,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,61,27,16,26,0.306818,0.619048,NA,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
8,102880337,102881094,758,758,758,758,1,1,0.000264,0.000880,0.000374,0.000880,1,0,0.000406,NaN,0.000327,NaN,83,3,15,1,0.034884,0.062500,NA,0.000000,0.000000,1,NA,NA,NA,NA,NA
7,5989046,6735643,746598,746598,746598,746598,2915,1462,0.000790,0.000720,0.000611,0.000671,2913,1460,0.000790,0.000720,0.000610,0.000671,79,9,79,9,0.102273,0.102273,NA,0.000000,0.000000,3336,0.042746,0.000669,0.000610,0.000671,0.000640
7,33990735,34010143,19409,19409,19409,19409,74,0,0.000757,NaN,0.000374,NaN,72,0,0.000736,NaN,0.000356,NaN,87,1,87,1,0.011364,0.011364,NA,0.000000,0.000000,72,NA,NA,NA,NA,NA
7,40839776,40840871,1096,1096,1096,1096,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,42,44,22,36,0.511628,0.620690,NA,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
7,47614508,47615262,755,755,755,755,8,5,0.002199,0.001996,0.002663,0.003264,0,0,0.000000,0.000000,0.000000,0.000000,70,16,23,9,0.186047,0.281250,NA,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
7,54234014,54308393,74380,74380,74380,74380,168,269,0.000557,0.000790,0.000540,0.000294,168,269,0.000557,0.000790,0.000540,0.000294,33,55,33,55,0.625000,0.625000,NA,0.000000,0.000000,351,0.356918,0.000648,0.000540,0.000294,0.000417
7,57641572,57838971,197400,197400,182316,182316,584,272,0.000652,0.000549,0.000465,0.000549,581,272,0.000648,0.000549,0.000461,0.000549,77,9,77,9,0.104651,0.104651,NA,0.000000,0.000000,704,0.045728,0.000529,0.000461,0.000549,0.000505
7,57835188,58119653,284466,284466,264985,264985,383,10,0.000288,0.000038,0.000124,0.000038,383,10,0.000288,0.000038,0.000124,0.000038,86,2,86,2,0.022727,0.022727,NA,0.000000,0.000000,432,0.604270,0.000204,0.000124,0.000038,0.000081
7,60898864,60908951,10088,10088,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,64,24,1,1,0.272727,0.500000,NA,0.000000,0.000000,0,NA,NA,NA,NA,NA
7,60911891,61578023,666133,666133,566082,566082,431,682,0.000177,0.000274,0.000107,0.000165,423,675,0.000174,0.000271,0.000103,0.000160,42,46,42,46,0.522727,0.522727,NA,0.000000,0.000000,1008,0.055460,0.000139,0.000103,0.000160,0.000131
7,62290674,62363143,72470,72470,72470,72470,46,58,0.000144,0.000192,0.000063,0.000098,38,53,0.000119,0.000175,0.000052,0.000090,47,37,47,37,0.440476,0.440476,NA,0.000000,0.000000,66,0.058499,0.000076,0.000052,0.000090,0.000071
7,62408486,62456444,47959,47959,47959,47959,235,212,0.001182,0.000987,0.000663,0.000605,235,212,0.001182,0.000987,0.000663,0.000605,36,50,36,50,0.581395,0.581395,NA,0.000000,0.000000,341,0.009342,0.000640,0.000663,0.000605,0.000634
7,63356275,63388165,31891,31891,31891,31891,1,0,0.000007,0.000000,0.000004,0.000000,1,0,0.000007,0.000000,0.000004,0.000000,50,34,50,34,0.404762,0.404762,NA,0.000000,0.000000,1,0.040816,0.000002,0.000004,0.000000,0.000002
7,65219157,65531823,312667,312667,301808,301808,996,475,0.000713,0.000404,0.000694,0.000227,995,474,0.000712,0.000404,0.000693,0.000227,58,28,58,28,0.325581,0.325581,NA,0.000000,0.000000,1172,0.430182,0.000807,0.000693,0.000227,0.000460
7,65572704,65581644,8941,8941,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,48,32,1,1,0.400000,0.500000,NA,0.000000,0.000000,0,NA,NA,NA,NA,NA
7,67019303,67020338,1036,1036,1036,1036,1,1,0.000195,0.000355,0.000316,0.000483,1,1,0.000238,0.000463,0.000296,0.000579,79,9,33,5,0.102273,0.131579,NA,0.000000,0.000000,2,-0.039063,0.000421,0.000296,0.000579,0.000438
7,70961198,70973901,12704,12704,12704,12704,25,1,0.000489,0.000017,0.000606,0.000006,25,1,0.000489,0.000017,0.000606,0.000006,32,56,32,56,0.636364,0.636364,NA,0.000000,0.000000,26,0.298036,0.000436,0.000606,0.000006,0.000306
7,73113989,74799029,1685041,1685041,1450689,1450689,3107,695,0.000430,0.000261,0.000292,0.000261,3096,693,0.000429,0.000261,0.000290,0.000260,82,4,82,4,0.046512,0.046512,NA,0.000000,0.000000,3317,0.080632,0.000299,0.000290,0.000260,0.000275
7,74869950,75058098,188149,188149,79035,79035,164,52,0.000422,0.000242,0.000273,0.000245,164,52,0.000422,0.000242,0.000273,0.000245,77,9,77,9,0.104651,0.104651,NA,0.000000,0.000000,186,0.028671,0.000267,0.000273,0.000245,0.000259
7,76603963,76620409,16447,16447,1932,1932,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,1,1,1,1,0.500000,0.500000,NA,0.000000,0.000000,24,NA,NA,NA,NA,NA
7,97445822,97459601,13780,13780,13780,13780,52,0,0.000751,0.000000,0.000556,0.000000,52,0,0.000751,0.000000,0.000556,0.000000,86,2,86,2,0.022727,0.022727,NA,0.000000,0.000000,52,0.428668,0.000487,0.000556,0.000000,0.000278
7,107418983,107422332,3350,3350,3350,3350,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,1,73,0,64,0.986486,1.000000,NA,0.000000,0.000000,0,NA,NA,NA,NA,NA
7,143716562,143750998,34437,34437,14214,14214,48,31,0.000730,0.000560,0.000498,0.000624,48,31,0.000730,0.000560,0.000498,0.000624,58,28,58,28,0.325581,0.325581,NA,0.000000,0.000000,58,0.363626,0.000882,0.000498,0.000624,0.000561
7,143779394,143798726,19333,19333,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,41,43,4,10,0.511905,0.714286,NA,0.000000,0.000000,0,NA,NA,NA,NA,NA
7,143808752,143818413,9662,9662,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,57,27,3,7,0.321429,0.700000,NA,0.000000,0.000000,0,NA,NA,NA,NA,NA
7,144254564,144256766,2203,2203,1626,1626,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,19,57,7,29,0.750000,0.805556,NA,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
20,10807797,10808434,638,638,638,638,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,51,35,27,27,0.406977,0.500000,NA,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
20,24397726,24406144,8419,8419,8419,8419,47,0,0.001108,NaN,0.000835,NaN,47,0,0.001108,NaN,0.000835,NaN,87,1,87,1,0.011364,0.011364,NA,0.000000,0.000000,47,NA,NA,NA,NA,NA
20,25846148,26009643,163496,163496,163496,163496,576,167,0.000725,0.000314,0.000717,0.000165,576,167,0.000725,0.000314,0.000717,0.000165,73,15,73,15,0.170455,0.170455,NA,0.000000,0.000000,650,0.288378,0.000620,0.000717,0.000165,0.000441
20,28495291,28508286,12996,12996,7589,7589,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,11,73,1,25,0.869048,0.961538,NA,0.000000,0.000000,0,NA,NA,NA,NA,NA
20,28751288,28752630,1343,1343,40,40,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,1,1,1,1,0.500000,0.500000,NA,0.000000,0.000000,0,NA,NA,NA,NA,NA
20,29257746,29419750,162005,162005,160122,160122,351,0,0.000451,NaN,0.000168,NaN,342,0,0.000439,NaN,0.000162,NaN,73,1,73,1,0.013514,0.013514,NA,0.000000,0.000000,493,NA,NA,NA,NA,NA
20,47841016,47888238,47223,47223,47223,47223,287,0,0.001206,NaN,0.000832,NaN,287,0,0.001206,NaN,0.000832,NaN,87,1,87,1,0.011364,0.011364,NA,0.000000,0.000000,287,NA,NA,NA,NA,NA
18,12145103,12146503,1401,1401,1401,1401,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,20,66,19,65,0.767442,0.773810,NA,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
18,29783947,29784342,396,396,396,396,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,73,11,2,2,0.130952,0.500000,NA,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
6,26736772,26739621,2850,2850,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,49,37,10,8,0.430233,0.444444,NA,0.000000,0.000000,0,NA,NA,NA,NA,NA
6,76109081,76158474,49394,49394,49394,49394,167,1,0.000674,0.000013,0.000373,0.000013,167,1,0.000674,0.000013,0.000373,0.000013,85,3,85,3,0.034091,0.034091,NA,0.000000,0.000000,193,0.803518,0.000983,0.000373,0.000013,0.000193
6,89213914,89214230,317,317,317,317,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,40,48,17,33,0.545455,0.660000,NA,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
6,94031360,94031695,336,336,336,336,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,39,49,12,40,0.556818,0.769231,NA,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
6,123106049,123109821,3773,3773,3773,3773,15,0,0.000793,0.000000,0.000388,0.000000,15,0,0.000801,0.000000,0.000370,0.000000,85,3,81,3,0.034091,0.035714,NA,0.000000,0.000000,15,0.116797,0.000209,0.000370,0.000000,0.000185
6,130527041,130531150,4110,4110,4110,4110,9,5,0.000449,0.000383,0.000191,0.000281,0,0,0.000000,0.000000,0.000000,0.000000,74,14,74,14,0.159091,0.159091,NA,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
6,141866310,141898728,32419,32419,32419,32419,147,1,0.000907,0.000017,0.000623,0.000015,147,1,0.000907,0.000017,0.000623,0.000015,84,4,84,4,0.045455,0.045455,NA,0.000000,0.000000,151,0.720661,0.001142,0.000623,0.000015,0.000319
6,167209001,167357782,148782,148782,148782,148782,973,10,0.001304,0.000045,0.001312,0.000045,972,10,0.001303,0.000045,0.001309,0.000045,85,3,85,3,0.034091,0.034091,NA,0.000000,0.000000,1078,0.697444,0.002237,0.001309,0.000045,0.000677
X,6219005,6220343,1339,1339,1339,1339,1,0,0.000205,0.000000,0.000068,0.000000,1,0,0.000230,0.000000,0.000100,0.000000,22,32,15,17,0.511628,0.659091,NA,0.000000,0.000000,1,-0.000000,0.000050,0.000100,0.000000,0.000050
X,14711416,14713197,1782,1782,1782,1782,4,3,0.000495,0.001122,0.000778,0.001122,4,0,0.000519,NaN,0.000762,NaN,53,3,43,1,0.034884,0.016129,NA,0.000000,0.000000,4,NA,NA,NA,NA,NA
X,45689038,45691227,2190,2190,2190,2190,5,0,0.000501,0.000000,0.000640,0.000000,5,0,0.000510,0.000000,0.000633,0.000000,54,2,50,2,0.022727,0.026316,NA,0.000000,0.000000,5,0.262267,0.000429,0.000633,0.000000,0.000317
X,48396314,48399110,2797,2797,2797,2797,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,44,8,23,3,0.317073,0.250000,NA,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
X,51692963,51700363,7401,7401,7401,7401,3,13,0.000122,0.000413,0.000203,0.000196,3,13,0.000122,0.000413,0.000203,0.000196,16,40,16,40,0.681818,0.681818,NA,0.000000,0.000000,13,0.027962,0.000205,0.000203,0.000196,0.000199
X,52077120,52176974,99855,99855,99855,99855,382,333,0.000950,0.000893,0.000861,0.000783,382,333,0.000950,0.000893,0.000861,0.000783,32,24,32,24,0.363636,0.363636,NA,0.000000,0.000000,422,-0.021497,0.000805,0.000861,0.000783,0.000822
X,52502274,52510614,8341,8341,8341,8341,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,15,41,15,41,0.784091,0.784091,NA,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
X,52921572,52934581,13010,13010,13010,13010,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,20,36,20,36,0.642857,0.642857,NA,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
X,55480141,55493063,12923,12923,12923,12923,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,33,23,33,23,0.443182,0.443182,NA,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
X,63185600,63193343,7744,7744,7744,7744,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,31,25,31,25,0.406977,0.406977,NA,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
X,71702806,71778386,75581,75581,75581,75581,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,28,22,0,0,0.411765,1.000000,NA,0.000000,0.000000,0,NA,NA,NA,NA,NA
X,72997772,73077479,79708,79708,79708,79708,167,109,0.000477,0.000483,0.000444,0.000425,167,109,0.000477,0.000483,0.000444,0.000425,46,10,46,10,0.204545,0.204545,NA,0.000000,0.000000,217,0.072893,0.000469,0.000444,0.000425,0.000435
X,76146153,76148949,2797,2797,2797,2797,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,22,34,22,30,0.522727,0.538462,NA,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
X,101602193,101611599,9407,9407,9407,9407,5,6,0.000139,0.000161,0.000091,0.000115,5,6,0.000139,0.000161,0.000091,0.000115,26,30,26,30,0.590909,0.590909,NA,0.000000,0.000000,9,0.343232,0.000157,0.000091,0.000115,0.000103
X,102338170,102348934,10765,10765,10765,10765,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,27,29,27,29,0.556818,0.556818,NA,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
X,103989434,104049428,59995,59995,59995,59995,66,64,0.000295,0.000265,0.000237,0.000289,66,64,0.000295,0.000265,0.000237,0.000289,24,32,24,32,0.627907,0.627907,NA,0.000000,0.000000,96,0.394637,0.000434,0.000237,0.000289,0.000263
X,106266279,106275333,9055,9055,9055,9055,0,1,0.000000,0.000032,0.000000,0.000022,0,1,0.000000,0.000037,0.000000,0.000018,37,19,6,12,0.392857,0.812500,NA,0.000000,0.000000,1,-0.000000,0.000009,0.000000,0.000018,0.000009
X,112504686,112516959,12274,12274,12274,12274,74,0,0.001318,NaN,0.000817,NaN,74,0,0.001318,NaN,0.000817,NaN,55,1,55,1,0.011628,0.011628,NA,0.000000,0.000000,75,NA,NA,NA,NA,NA
X,120087101,120149199,62099,62099,62099,62099,185,89,0.000700,0.000432,0.000393,0.000343,185,89,0.000700,0.000432,0.000393,0.000343,40,16,40,16,0.250000,0.250000,NA,0.000000,0.000000,224,0.297085,0.000524,0.000393,0.000343,0.000368
X,135165183,135207322,42140,42140,42140,42140,39,48,0.000228,0.000309,0.000102,0.000221,39,48,0.000228,0.000309,0.000102,0.000221,33,23,33,23,0.397727,0.397727,NA,0.000000,0.000000,65,0.331968,0.000242,0.000102,0.000221,0.000162
X,135623647,135665679,42033,42033,42033,42033,85,35,0.000446,0.000555,0.000265,0.000555,85,35,0.000446,0.000555,0.000265,0.000555,53,3,53,3,0.056818,0.056818,NA,0.000000,0.000000,87,-0.103504,0.000372,0.000265,0.000555,0.000410
X,135734732,135748584,13853,13853,13853,13853,37,24,0.000617,0.000591,0.000451,0.000588,37,24,0.000617,0.000591,0.000451,0.000588,43,11,43,11,0.220930,0.220930,NA,0.000000,0.000000,43,-0.019190,0.000510,0.000451,0.000588,0.000520
X,135765135,135776630,11496,11496,11496,11496,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,1,3,1,3,0.900000,0.900000,NA,0.000000,0.000000,0,NA,NA,NA,NA,NA
X,141110160,141232877,122718,122718,122718,122718,425,185,0.000773,0.000660,0.000618,0.000643,425,185,0.000773,0.000660,0.000618,0.000643,50,6,50,6,0.113636,0.113636,NA,0.000000,0.000000,455,-0.002305,0.000629,0.000618,0.000643,0.000630
X,141585256,141589189,3934,3934,3934,3934,9,6,0.000677,0.000424,0.000557,0.000499,5,4,0.000693,0.000555,0.000635,0.000635,17,21,4,4,0.596154,0.666667,NA,0.000000,0.000000,20,-0.176471,0.000540,0.000635,0.000635,0.000635
X,149599490,149655967,56478,56478,56478,56478,98,9,0.000382,0.000106,0.000192,0.000106,98,9,0.000382,0.000106,0.000192,0.000106,53,3,53,3,0.079545,0.079545,NA,0.000000,0.000000,102,-0.004382,0.000149,0.000192,0.000106,0.000149
X,149681035,149722249,41215,41215,41215,41215,102,90,0.000679,0.000534,0.000475,0.000508,102,90,0.000679,0.000534,0.000475,0.000508,22,34,22,34,0.613636,0.613636,NA,0.000000,0.000000,138,0.142895,0.000573,0.000475,0.000508,0.000491
X,149747302,149768782,21481,21481,21481,21481,5,2,0.000051,0.000062,0.000050,0.000062,5,2,0.000051,0.000062,0.000050,0.000062,53,3,53,3,0.079545,0.079545,NA,0.000000,0.000000,6,-0.042034,0.000054,0.000050,0.000062,0.000056
X,152729753,152738707,8955,8955,8955,8955,40,34,0.001148,0.000995,0.001352,0.001237,40,34,0.001148,0.000995,0.001352,0.001237,28,26,28,26,0.395349,0.404762,NA,0.000000,0.000000,44,0.238437,0.001700,0.001352,0.001237,0.001295
X,153074418,153075612,1195,1195,1195,1195,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,29,27,19,19,0.488095,0.550000,NA,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
X,153149748,153250226,100479,100479,100479,100479,217,170,0.000572,0.000424,0.000532,0.000502,217,170,0.000572,0.000424,0.000532,0.000502,25,31,25,31,0.602273,0.602273,NA,0.000000,0.000000,258,0.002752,0.000518,0.000532,0.000502,0.000517
X,154347246,154384867,37622,37622,37622,37622,29,47,0.000191,0.000335,0.000065,0.000326,29,47,0.000191,0.000335,0.000065,0.000326,32,24,32,24,0.452381,0.452381,NA,0.000000,0.000000,54,0.377471,0.000314,0.000065,0.000326,0.000195
X,154591327,154613096,21770,21770,21770,21770,19,30,0.000210,0.000388,0.000094,0.000371,19,30,0.000210,0.000388,0.000094,0.000371,36,20,36,20,0.431818,0.431818,NA,0.000000,0.000000,36,0.166721,0.000279,0.000094,0.000371,0.000232
X,155386727,155453982,67256,67256,67256,67256,87,54,0.000290,0.000328,0.000275,0.000317,87,54,0.000290,0.000328,0.000275,0.000317,49,7,49,7,0.147727,0.147727,NA,0.000000,0.000000,106,-0.027189,0.000288,0.000275,0.000317,0.000296
15,22701127,23213881,512755,512755,422587,422587,1749,0,0.000822,NaN,0.000641,NaN,1748,0,0.000821,NaN,0.000641,NaN,87,1,87,1,0.011364,0.011364,NA,0.000000,0.000000,1766,NA,NA,NA,NA,NA
15,23295576,23318191,22616,22616,6332,6332,41,46,0.002087,0.001564,0.001138,0.000360,0,0,0.000000,0.000000,0.000000,0.000000,13,59,10,56,0.819444,0.848485,NA,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
15,23345459,28389868,5044410,5044410,4970599,4970599,26281,0,0.001050,NaN,0.000891,NaN,26201,0,0.001046,NaN,0.000889,NaN,87,1,87,1,0.011364,0.011364,NA,0.000000,0.000000,26515,NA,NA,NA,NA,NA
15,28298424,28623514,325091,325091,26874,26874,43,27,0.000873,0.001005,0.000825,0.001005,42,26,0.000853,0.000968,0.000800,0.000968,4,2,4,2,0.333333,0.333333,NA,0.000000,0.000000,165,-0.233766,0.000716,0.000800,0.000968,0.000884
15,30436458,30529803,93346,93346,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,44,14,42,14,0.241379,0.250000,NA,0.000000,0.000000,0,NA,NA,NA,NA,NA
15,30618103,32153204,1535102,1535102,1535102,1535102,7239,1681,0.000957,0.000387,0.000713,0.000347,7232,1679,0.000956,0.000387,0.000712,0.000347,78,10,78,10,0.113636,0.113636,NA,0.000000,0.000000,7586,0.283891,0.000739,0.000712,0.000347,0.000529
15,32477828,32571283,93456,93456,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,15,1,9,1,0.062500,0.100000,NA,0.000000,0.000000,0,NA,NA,NA,NA,NA
15,82330918,82357797,26880,26880,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,66,16,7,1,0.195122,0.125000,NA,0.000000,0.000000,0,NA,NA,NA,NA,NA
15,82360482,82515134,154653,154653,95207,95207,98,37,0.000209,0.000159,0.000174,0.000156,98,36,0.000211,0.000166,0.000175,0.000167,77,7,74,6,0.083333,0.075000,NA,0.000000,0.000000,127,0.080559,0.000186,0.000175,0.000167,0.000171
15,84373375,84416696,43322,43322,28112,28112,173,151,0.001456,0.001205,0.001451,0.000628,173,151,0.001456,0.001205,0.001451,0.000628,39,49,39,49,0.556818,0.556818,NA,0.000000,0.000000,254,0.261416,0.001407,0.001451,0.000628,0.001039
13,37315207,37317760,2554,2554,2554,2554,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,78,10,76,10,0.113636,0.116279,NA,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
