Inversion	Category	K_Total	K_GBJ	K_GLS	P_GBJ	T_GLS	P_GLS	Direction	Method	Shrinkage	Lambda	N_Individuals	Z_Cap	GBJ_Draws	Dropped	Phenotypes	Phenotypes_GLS	Q_GBJ	Q_GLS
chr17-45585160-INV-706887	Cardiovascular	55	55	55	0.0125974805	-1.3450403	0.1786122206	decrease	fast_phi	ridge	0.05	351824		5000		Abnormal_electrocardiogram_ECG_EKG;Abnormalities_of_heart_beat;Aneurysm_or_ectasia;Atherosclerosis_ASCVD;Cardiac_arrhythmia_and_conduction_disorders;Cerebral_infarction_Ischemic_stroke;Embolism_and_thrombosis;Endocarditis;Heart_failure;Hemorrhage_NOS;Hemorrhagic_stroke;Hemorrhoids;Hypertensive_crisis;Hypertensive_heart_disease;Inflammation_of_the_heart_Carditis;Ischemic_cardiomyopathy;Ischemic_heart_disease;Long_QT_syndrome;Myocardial_infarction_Heart_attack;Nontraumatic_Intracranial_hemorrhage;Occlusion_and_stenosis_of_cerebral_arteries;Other_cerebrovascular_disease;Other_diseases_of_pericardium;Other_disorders_of_arteries_and_arterioles;Other_disorders_of_the_circulatory_system;Palpitations;Paroxysmal_atrial_fibrillation;Paroxysmal_tachycardia;Pericardial_effusion_noninflammatory;Peripheral_vascular_disease;Peripheral_vascular_disease_NOS_includes_PAD;Persistent_atrial_fibrillation;Phlebitis_and_thrombophlebitis;Premature_depolarization_Premature_beats;Primary_pulmonary_hypertension;Pulmonary_embolism;Pulmonary_heart_disease;Pulmonary_hypertension;Raynauds_syndrome;Rheumatic_fever_and_chronic_rheumatic_heart_diseases;Rheumatic_heart_disease;Secondary_hypertension;Sinoatrial_node_dysfunction;Stroke;Stroke_and_transient_cerebral_ischemic_attacks;Supraventricular_tachycardia;Systolic_heart_failure;Tachycardia;Transient_cerebral_ischemic_attack_TIA;Varicose_veins;Varicose_veins_of_lower_extremities;Venous_insufficiency;Venous_thromboembolism;Ventricular_premature_depolarization;Ventricular_tachycardia	Abnormal_electrocardiogram_ECG_EKG;Abnormalities_of_heart_beat;Aneurysm_or_ectasia;Atherosclerosis_ASCVD;Cardiac_arrhythmia_and_conduction_disorders;Cerebral_infarction_Ischemic_stroke;Embolism_and_thrombosis;Endocarditis;Heart_failure;Hemorrhage_NOS;Hemorrhagic_stroke;Hemorrhoids;Hypertensive_crisis;Hypertensive_heart_disease;Inflammation_of_the_heart_Carditis;Ischemic_cardiomyopathy;Ischemic_heart_disease;Long_QT_syndrome;Myocardial_infarction_Heart_attack;Nontraumatic_Intracranial_hemorrhage;Occlusion_and_stenosis_of_cerebral_arteries;Other_cerebrovascular_disease;Other_diseases_of_pericardium;Other_disorders_of_arteries_and_arterioles;Other_disorders_of_the_circulatory_system;Palpitations;Paroxysmal_atrial_fibrillation;Paroxysmal_tachycardia;Pericardial_effusion_noninflammatory;Peripheral_vascular_disease;Peripheral_vascular_disease_NOS_includes_PAD;Persistent_atrial_fibrillation;Phlebitis_and_thrombophlebitis;Premature_depolarization_Premature_beats;Primary_pulmonary_hypertension;Pulmonary_embolism;Pulmonary_heart_disease;Pulmonary_hypertension;Raynauds_syndrome;Rheumatic_fever_and_chronic_rheumatic_heart_diseases;Rheumatic_heart_disease;Secondary_hypertension;Sinoatrial_node_dysfunction;Stroke;Stroke_and_transient_cerebral_ischemic_attacks;Supraventricular_tachycardia;Systolic_heart_failure;Tachycardia;Transient_cerebral_ischemic_attack_TIA;Varicose_veins;Varicose_veins_of_lower_extremities;Venous_insufficiency;Venous_thromboembolism;Ventricular_premature_depolarization;Ventricular_tachycardia	0.01889622076	0.2096576876
chr6-76111919-INV-44661	Infections	28	28	28	0.002199560088	0.1870763469	0.8516007732	increase	fast_phi	ridge	0.05	365999		5000		Bacterial_infections;Enterococcus;Enterovirus;Escherichia_coli;Fungal_infections;Gangrene;Helicobacter_H._pylori;Herpes_zoster;Herpesvirus;Human_immunodeficiency_virus;Influenza_virus;Klebsiella;Methicillin_resistant_Staphylococcus_aureus;Mycobacteria;Mycobacterium_tuberculosis;Plantar_wart;Pseudomonas;Sars_CoV_2;Scabies;Sepsis;Staphylococcus;Staphylococcus_aureus;Streptococcus;Systemic_inflammatory_response_syndrome;Treponema;Treponema_pallidum_syphilis;Varicella_chickenpox;Varicella_zoster_virus	Bacterial_infections;Enterococcus;Enterovirus;Escherichia_coli;Fungal_infections;Gangrene;Helicobacter_H._pylori;Herpes_zoster;Herpesvirus;Human_immunodeficiency_virus;Influenza_virus;Klebsiella;Methicillin_resistant_Staphylococcus_aureus;Mycobacteria;Mycobacterium_tuberculosis;Plantar_wart;Pseudomonas;Sars_CoV_2;Scabies;Sepsis;Staphylococcus;Staphylococcus_aureus;Streptococcus;Systemic_inflammatory_response_syndrome;Treponema;Treponema_pallidum_syphilis;Varicella_chickenpox;Varicella_zoster_virus	0.03299340132	0.9511920621
chr6-141867315-INV-29159	Blood/Immune	20	20	20	0.005598880224	1.209957411	0.2262952357	increase	fast_phi	ridge	0.05	382219		5000		Abnormality_of_the_lymph_nodes;Anemia;Autoimmune_disease;Coagulation_defects_purpura_and_other_hemorrhagic_conditions;Decreased_white_blood_cell_count;Hypo_coagulability;Immunodeficiencies;Immunodeficiency_NOS;Iron_deficiency_anemia;Iron_deficiency_anemia_secondary_to_blood_loss;Lymphadenitis;Macrocytic_anemia;Megaloblastic_anemia;Microcytic_anemia;Neutropenia;Pancytopenia;Platelet_defects;Secondary_thrombocytopenia;Thrombocytopenia;Vitamin_B12_deficiency_anemia_due_to_intrinsic_factor_deficiency_Pernicious_anemia	Abnormality_of_the_lymph_nodes;Anemia;Autoimmune_disease;Coagulation_defects_purpura_and_other_hemorrhagic_conditions;Decreased_white_blood_cell_count;Hypo_coagulability;Immunodeficiencies;Immunodeficiency_NOS;Iron_deficiency_anemia;Iron_deficiency_anemia_secondary_to_blood_loss;Lymphadenitis;Macrocytic_anemia;Megaloblastic_anemia;Microcytic_anemia;Neutropenia;Pancytopenia;Platelet_defects;Secondary_thrombocytopenia;Thrombocytopenia;Vitamin_B12_deficiency_anemia_due_to_intrinsic_factor_deficiency_Pernicious_anemia	0.08398320336	0.9979902256
chr12-46897663-INV-16289	Cardiovascular	55	55	55	0.06618676265	2.408921013	0.01599976031	increase	fast_phi	ridge	0.05	351824		5000		Abnormal_electrocardiogram_ECG_EKG;Abnormalities_of_heart_beat;Aneurysm_or_ectasia;Atherosclerosis_ASCVD;Cardiac_arrhythmia_and_conduction_disorders;Cerebral_infarction_Ischemic_stroke;Embolism_and_thrombosis;Endocarditis;Heart_failure;Hemorrhage_NOS;Hemorrhagic_stroke;Hemorrhoids;Hypertensive_crisis;Hypertensive_heart_disease;Inflammation_of_the_heart_Carditis;Ischemic_cardiomyopathy;Ischemic_heart_disease;Long_QT_syndrome;Myocardial_infarction_Heart_attack;Nontraumatic_Intracranial_hemorrhage;Occlusion_and_stenosis_of_cerebral_arteries;Other_cerebrovascular_disease;Other_diseases_of_pericardium;Other_disorders_of_arteries_and_arterioles;Other_disorders_of_the_circulatory_system;Palpitations;Paroxysmal_atrial_fibrillation;Paroxysmal_tachycardia;Pericardial_effusion_noninflammatory;Peripheral_vascular_disease;Peripheral_vascular_disease_NOS_includes_PAD;Persistent_atrial_fibrillation;Phlebitis_and_thrombophlebitis;Premature_depolarization_Premature_beats;Primary_pulmonary_hypertension;Pulmonary_embolism;Pulmonary_heart_disease;Pulmonary_hypertension;Raynauds_syndrome;Rheumatic_fever_and_chronic_rheumatic_heart_diseases;Rheumatic_heart_disease;Secondary_hypertension;Sinoatrial_node_dysfunction;Stroke;Stroke_and_transient_cerebral_ischemic_attacks;Supraventricular_tachycardia;Systolic_heart_failure;Tachycardia;Transient_cerebral_ischemic_attack_TIA;Varicose_veins;Varicose_veins_of_lower_extremities;Venous_insufficiency;Venous_thromboembolism;Ventricular_premature_depolarization;Ventricular_tachycardia	Abnormal_electrocardiogram_ECG_EKG;Abnormalities_of_heart_beat;Aneurysm_or_ectasia;Atherosclerosis_ASCVD;Cardiac_arrhythmia_and_conduction_disorders;Cerebral_infarction_Ischemic_stroke;Embolism_and_thrombosis;Endocarditis;Heart_failure;Hemorrhage_NOS;Hemorrhagic_stroke;Hemorrhoids;Hypertensive_crisis;Hypertensive_heart_disease;Inflammation_of_the_heart_Carditis;Ischemic_cardiomyopathy;Ischemic_heart_disease;Long_QT_syndrome;Myocardial_infarction_Heart_attack;Nontraumatic_Intracranial_hemorrhage;Occlusion_and_stenosis_of_cerebral_arteries;Other_cerebrovascular_disease;Other_diseases_of_pericardium;Other_disorders_of_arteries_and_arterioles;Other_disorders_of_the_circulatory_system;Palpitations;Paroxysmal_atrial_fibrillation;Paroxysmal_tachycardia;Pericardial_effusion_noninflammatory;Peripheral_vascular_disease;Peripheral_vascular_disease_NOS_includes_PAD;Persistent_atrial_fibrillation;Phlebitis_and_thrombophlebitis;Premature_depolarization_Premature_beats;Primary_pulmonary_hypertension;Pulmonary_embolism;Pulmonary_heart_disease;Pulmonary_hypertension;Raynauds_syndrome;Rheumatic_fever_and_chronic_rheumatic_heart_diseases;Rheumatic_heart_disease;Secondary_hypertension;Sinoatrial_node_dysfunction;Stroke;Stroke_and_transient_cerebral_ischemic_attacks;Supraventricular_tachycardia;Systolic_heart_failure;Tachycardia;Transient_cerebral_ischemic_attack_TIA;Varicose_veins;Varicose_veins_of_lower_extremities;Venous_insufficiency;Venous_thromboembolism;Ventricular_premature_depolarization;Ventricular_tachycardia	0.09025467634	0.02666626718
chr6-76111919-INV-44661	Neurological	60	60	60	0.02419516097	0.8872055338	0.3749682536	increase	fast_phi	ridge	0.05	382211		5000		Abnormality_of_gait_and_mobility;Carpal_tunnel_syndrome;Cerebral_palsy_and_other_paralytic_syndromes;Circadian_rhythm_sleep_disorder;Dementias_and_cerebral_degeneration;Disorder_of_nervous_system;Disorders_of_autonomic_nervous_system;Disorders_of_facial_and_cranial_nerves;Disturbances_of_sensation_of_smell_and_taste;Disturbances_of_skin_sensation;Dizziness_and_giddiness;Encephalopathy;Epilepsy_recurrent_seizures_convulsions;Extrapyramidal_and_movement_disorders;Facial_weakness;Generalized_epilepsy;Headache;Headache_syndromes_non_migraine;Hemiplegia_and_hemiparesis;Hypersomnia;Idiopathic_sleep_related_nonobstructive_alveolar_hypoventilation;Insomnia;Lack_of_coordination;Lesion_of_sciatic_nerve;Memory_loss;Meningitis;Meralgia_paresthetica;Metabolic_encephalopathy;Migraine;Migraine_with_aura;Mild_cognitive_impairment;Mononeuritis_of_lower_limb;Mononeuritis_of_upper_limb;Mononeuropathies;Myelopathies;Nerve_root_and_plexus_disorders;Obstructive_sleep_apnea;Other_diseases_of_spinal_cord;Other_symptoms_involving_nervous_system;Parasomnias;Paresthesia_of_skin;Partial_epilepsy;Polyneuropathies;Post_traumatic_headache;Repeated_falls;Restless_legs_syndrome;Sleep_apnea;Sleep_disorders;Sleep_disturbances;Sleep_related_movement_disorders;Slurred_speech;Speech_disturbance;Symptoms_and_signs_involving_cognitive_functions_and_awareness;Tension_headache;Toxic_polyneuropathy;Transient_alteration_of_awareness;Tremor;Trigeminal_nerve_disorders_CN5;Trigeminal_neuralgia;White_matter_disease_unspecified	Abnormality_of_gait_and_mobility;Carpal_tunnel_syndrome;Cerebral_palsy_and_other_paralytic_syndromes;Circadian_rhythm_sleep_disorder;Dementias_and_cerebral_degeneration;Disorder_of_nervous_system;Disorders_of_autonomic_nervous_system;Disorders_of_facial_and_cranial_nerves;Disturbances_of_sensation_of_smell_and_taste;Disturbances_of_skin_sensation;Dizziness_and_giddiness;Encephalopathy;Epilepsy_recurrent_seizures_convulsions;Extrapyramidal_and_movement_disorders;Facial_weakness;Generalized_epilepsy;Headache;Headache_syndromes_non_migraine;Hemiplegia_and_hemiparesis;Hypersomnia;Idiopathic_sleep_related_nonobstructive_alveolar_hypoventilation;Insomnia;Lack_of_coordination;Lesion_of_sciatic_nerve;Memory_loss;Meningitis;Meralgia_paresthetica;Metabolic_encephalopathy;Migraine;Migraine_with_aura;Mild_cognitive_impairment;Mononeuritis_of_lower_limb;Mononeuritis_of_upper_limb;Mononeuropathies;Myelopathies;Nerve_root_and_plexus_disorders;Obstructive_sleep_apnea;Other_diseases_of_spinal_cord;Other_symptoms_involving_nervous_system;Parasomnias;Paresthesia_of_skin;Partial_epilepsy;Polyneuropathies;Post_traumatic_headache;Repeated_falls;Restless_legs_syndrome;Sleep_apnea;Sleep_disorders;Sleep_disturbances;Sleep_related_movement_disorders;Slurred_speech;Speech_disturbance;Symptoms_and_signs_involving_cognitive_functions_and_awareness;Tension_headache;Toxic_polyneuropathy;Transient_alteration_of_awareness;Tremor;Trigeminal_nerve_disorders_CN5;Trigeminal_neuralgia;White_matter_disease_unspecified	0.1419716057	0.7498386169
chr6-76111919-INV-44661	Mental	40	40	40	0.02839432114	-1.044647433	0.2961859484	decrease	fast_phi	ridge	0.05	382419		5000		Alcohol_use_disorders;Anxiety_and_anxiety_disorders;Cannabis_use_disorders;Current_tobacco_use_and_nicotine_dependence;Delirium;Dissociative_and_somatoform_disorders;Drug_induced_psychotic_disorder;Dysthymic_disorder;Eating_disorders;Hallucinations;High_risk_sexual_behavior;Major_depressive_disorder;Mental_disorder_not_otherwise_specified;Mood_affective_disorders;Nicotine_dependence_current_and_history_of;Obsessive_compulsive_disorder;Opioid_abuse_or_dependence;Opioid_use_disorders;Other_mental_and_behavioral_problems;Panic_disorder_episodic_paroxysmal_anxiety;Personality_disorders;Phobic_disorders;Posttraumatic_stress_disorder;Problems_related_to_lifestyle;Psychoactive_substance_abuse;Psychoactive_substance_dependance;Psychoactive_substance_related_disorders;Psychoactive_substance_withdrawal;Psychotic_disorder;Reaction_to_severe_stress_and_adjustment_disorders;Sedative_hypnotic_or_anxiolytic_related_disorders;Signs_and_symptoms_involving_emotional_state;Stimulant_abuse_or_dependance;Stimulant_use_disorders;Suicidal_ideations;Suicide_and_self_inflicted_harm;Suicide_ideation_and_attempt_or_self_harm;Symptoms_and_signs_involving_appearance_and_behavior;Symptoms_related_to_mental_disorders;Visual_hallucinations	Alcohol_use_disorders;Anxiety_and_anxiety_disorders;Cannabis_use_disorders;Current_tobacco_use_and_nicotine_dependence;Delirium;Dissociative_and_somatoform_disorders;Drug_induced_psychotic_disorder;Dysthymic_disorder;Eating_disorders;Hallucinations;High_risk_sexual_behavior;Major_depressive_disorder;Mental_disorder_not_otherwise_specified;Mood_affective_disorders;Nicotine_dependence_current_and_history_of;Obsessive_compulsive_disorder;Opioid_abuse_or_dependence;Opioid_use_disorders;Other_mental_and_behavioral_problems;Panic_disorder_episodic_paroxysmal_anxiety;Personality_disorders;Phobic_disorders;Posttraumatic_stress_disorder;Problems_related_to_lifestyle;Psychoactive_substance_abuse;Psychoactive_substance_dependance;Psychoactive_substance_related_disorders;Psychoactive_substance_withdrawal;Psychotic_disorder;Reaction_to_severe_stress_and_adjustment_disorders;Sedative_hypnotic_or_anxiolytic_related_disorders;Signs_and_symptoms_involving_emotional_state;Stimulant_abuse_or_dependance;Stimulant_use_disorders;Suicidal_ideations;Suicide_and_self_inflicted_harm;Suicide_ideation_and_attempt_or_self_harm;Symptoms_and_signs_involving_appearance_and_behavior;Symptoms_related_to_mental_disorders;Visual_hallucinations	0.1419716057	0.740464871
chr6-76111919-INV-44661	Dermatological	35	35	35	0.05318936213	-0.7950099857	0.4266076935	decrease	fast_phi	ridge	0.05	382735		5000		Acne;Atrophic_conditions_of_skin;Bacterial_infection_of_the_skin;Cellulitis_and_abscess;Chronic_ulcer_of_skin;Cutaneous_cyst;Dermatitis_eczema;Diseases_of_hair_and_hair_follicles;Disorders_of_sweat_glands;Epidermal_thickening;Erythematous_conditions;Granulomatous_disorder_of_the_skin;Hypertrophic_conditions_of_skin;Impetigo;Infection_of_the_skin;Keratoderma;Lichen_simplex_chronicus;Localized_swelling_mass_and_lump_of_skin_and_subcutaneous_tissue;Neutrophilic_and_Eosinophilic_dermatoses;Non_pressure_chronic_ulcer;Other_follicular_disorders;Other_skin_and_subcutaneous_disorders;Papulosquamous_disorders;Pressure_ulcer;Prurigo;Psoriasis;Rash_and_other_nonspecific_skin_eruption;Rosacea;Scar_conditions_and_fibrosis_of_skin;Sebaceous_cyst_Epidermal_cyst;Seborrheic_dermatitis;Skin_changes_due_to_chronic_exposure_to_nonionizing_radiation;Skin_changes_due_to_solar_radiation;Skin_symptoms;Xerosis_cutis	Acne;Atrophic_conditions_of_skin;Bacterial_infection_of_the_skin;Cellulitis_and_abscess;Chronic_ulcer_of_skin;Cutaneous_cyst;Dermatitis_eczema;Diseases_of_hair_and_hair_follicles;Disorders_of_sweat_glands;Epidermal_thickening;Erythematous_conditions;Granulomatous_disorder_of_the_skin;Hypertrophic_conditions_of_skin;Impetigo;Infection_of_the_skin;Keratoderma;Lichen_simplex_chronicus;Localized_swelling_mass_and_lump_of_skin_and_subcutaneous_tissue;Neutrophilic_and_Eosinophilic_dermatoses;Non_pressure_chronic_ulcer;Other_follicular_disorders;Other_skin_and_subcutaneous_disorders;Papulosquamous_disorders;Pressure_ulcer;Prurigo;Psoriasis;Rash_and_other_nonspecific_skin_eruption;Rosacea;Scar_conditions_and_fibrosis_of_skin;Sebaceous_cyst_Epidermal_cyst;Seborrheic_dermatitis;Skin_changes_due_to_chronic_exposure_to_nonionizing_radiation;Skin_changes_due_to_solar_radiation;Skin_symptoms;Xerosis_cutis	0.199460108	0.7498386169
chr17-45585160-INV-706887	Genitourinary	60	60	60	0.1905618876	-1.759343853	0.07851912227	decrease	fast_phi	ridge	0.05	380266		5000		Abnormal_findings_on_radiological_and_other_examination_of_genitourinary_organs;Abnormality_of_urination;Abscess_or_ulceration_of_vulva;Acute_pyelonephritis;Benign_mammary_dysplasias;Cervicitis_and_endocervicitis;Chronic_kidney_disease;Cyst_of_kidney;Disorders_and_findings_from_impaired_renal_function;Disorders_of_penis;Disorders_of_testis;Dysplasia_of_female_genital_organs;Elevated_prostate_specific_antigen_PSA;Endometriosis;Glomerular_diseases;Gross_hematuria;Hematuria;Hydronephrosis;Inflammatory_disease_of_cervix_vagina_and_vulva;Inflammatory_diseases_of_female_pelvic_organs;Inflammatory_diseases_of_prostate;Irregular_menstrual_cycle;Kidney_stone_disease;Male_erectile_dysfunction;Male_sexual_dysfuction;Microscopic_hematuria;Morphologic_lesions_in_glomerular_diseases;Neuromuscular_dysfunction_of_bladder;Nocturia;Noninflammatory_disorders_of_ovary_fallopian_tube_and_broad_ligament;Obstructive_and_reflux_uropathy;Oliguria_and_anuria;Orchitis_and_epididymitis;Other_disorders_of_bladder;Other_disorders_of_male_genital_organs;Other_disorders_of_the_kidney_and_ureters;Other_disorders_of_urethra_and_urinary_tract;Other_symptomsdisorders_or_the_urinary_system;Ovarian_cyst;Overactive_bladder;Pain_and_other_symptoms_associated_with_female_genital_organs;Pelvic_inflammatory_disease_PID;Pelvic_organ_prolapse_and_fistulas;Pelvic_peritoneal_adhesions_female_postoperative_postinfection;Prostatitis;Renal_colic;Renal_failure;Renal_sclerosis_unspecified;Renal_tubulo_interstitial_diseases;Retention_of_urine;Scrotal_pain;Stress_incontinence;Symptoms_involving_female_genital_tract;Urethritis;Urge_incontinence;Urinary_incontinence_and_enuresis;Urinary_tract_infection_UTI;Urinary_urgency;UterineUterovaginal_prolapse;Vaginitis_and_vulvovaginitis	Abnormal_findings_on_radiological_and_other_examination_of_genitourinary_organs;Abnormality_of_urination;Abscess_or_ulceration_of_vulva;Acute_pyelonephritis;Benign_mammary_dysplasias;Cervicitis_and_endocervicitis;Chronic_kidney_disease;Cyst_of_kidney;Disorders_and_findings_from_impaired_renal_function;Disorders_of_penis;Disorders_of_testis;Dysplasia_of_female_genital_organs;Elevated_prostate_specific_antigen_PSA;Endometriosis;Glomerular_diseases;Gross_hematuria;Hematuria;Hydronephrosis;Inflammatory_disease_of_cervix_vagina_and_vulva;Inflammatory_diseases_of_female_pelvic_organs;Inflammatory_diseases_of_prostate;Irregular_menstrual_cycle;Kidney_stone_disease;Male_erectile_dysfunction;Male_sexual_dysfuction;Microscopic_hematuria;Morphologic_lesions_in_glomerular_diseases;Neuromuscular_dysfunction_of_bladder;Nocturia;Noninflammatory_disorders_of_ovary_fallopian_tube_and_broad_ligament;Obstructive_and_reflux_uropathy;Oliguria_and_anuria;Orchitis_and_epididymitis;Other_disorders_of_bladder;Other_disorders_of_male_genital_organs;Other_disorders_of_the_kidney_and_ureters;Other_disorders_of_urethra_and_urinary_tract;Other_symptomsdisorders_or_the_urinary_system;Ovarian_cyst;Overactive_bladder;Pain_and_other_symptoms_associated_with_female_genital_organs;Pelvic_inflammatory_disease_PID;Pelvic_organ_prolapse_and_fistulas;Pelvic_peritoneal_adhesions_female_postoperative_postinfection;Prostatitis;Renal_colic;Renal_failure;Renal_sclerosis_unspecified;Renal_tubulo_interstitial_diseases;Retention_of_urine;Scrotal_pain;Stress_incontinence;Symptoms_involving_female_genital_tract;Urethritis;Urge_incontinence;Urinary_incontinence_and_enuresis;Urinary_tract_infection_UTI;Urinary_urgency;UterineUterovaginal_prolapse;Vaginitis_and_vulvovaginitis	0.2598571195	0.1506557368
chr21-13992018-INV-65632	Mental	40	40	40	0.01919616077	-0.6998797027	0.4840024342	decrease	fast_phi	ridge	0.05	382419		5000		Alcohol_use_disorders;Anxiety_and_anxiety_disorders;Cannabis_use_disorders;Current_tobacco_use_and_nicotine_dependence;Delirium;Dissociative_and_somatoform_disorders;Drug_induced_psychotic_disorder;Dysthymic_disorder;Eating_disorders;Hallucinations;High_risk_sexual_behavior;Major_depressive_disorder;Mental_disorder_not_otherwise_specified;Mood_affective_disorders;Nicotine_dependence_current_and_history_of;Obsessive_compulsive_disorder;Opioid_abuse_or_dependence;Opioid_use_disorders;Other_mental_and_behavioral_problems;Panic_disorder_episodic_paroxysmal_anxiety;Personality_disorders;Phobic_disorders;Posttraumatic_stress_disorder;Problems_related_to_lifestyle;Psychoactive_substance_abuse;Psychoactive_substance_dependance;Psychoactive_substance_related_disorders;Psychoactive_substance_withdrawal;Psychotic_disorder;Reaction_to_severe_stress_and_adjustment_disorders;Sedative_hypnotic_or_anxiolytic_related_disorders;Signs_and_symptoms_involving_emotional_state;Stimulant_abuse_or_dependance;Stimulant_use_disorders;Suicidal_ideations;Suicide_and_self_inflicted_harm;Suicide_ideation_and_attempt_or_self_harm;Symptoms_and_signs_involving_appearance_and_behavior;Symptoms_related_to_mental_disorders;Visual_hallucinations	Alcohol_use_disorders;Anxiety_and_anxiety_disorders;Cannabis_use_disorders;Current_tobacco_use_and_nicotine_dependence;Delirium;Dissociative_and_somatoform_disorders;Drug_induced_psychotic_disorder;Dysthymic_disorder;Eating_disorders;Hallucinations;High_risk_sexual_behavior;Major_depressive_disorder;Mental_disorder_not_otherwise_specified;Mood_affective_disorders;Nicotine_dependence_current_and_history_of;Obsessive_compulsive_disorder;Opioid_abuse_or_dependence;Opioid_use_disorders;Other_mental_and_behavioral_problems;Panic_disorder_episodic_paroxysmal_anxiety;Personality_disorders;Phobic_disorders;Posttraumatic_stress_disorder;Problems_related_to_lifestyle;Psychoactive_substance_abuse;Psychoactive_substance_dependance;Psychoactive_substance_related_disorders;Psychoactive_substance_withdrawal;Psychotic_disorder;Reaction_to_severe_stress_and_adjustment_disorders;Sedative_hypnotic_or_anxiolytic_related_disorders;Signs_and_symptoms_involving_emotional_state;Stimulant_abuse_or_dependance;Stimulant_use_disorders;Suicidal_ideations;Suicide_and_self_inflicted_harm;Suicide_ideation_and_attempt_or_self_harm;Symptoms_and_signs_involving_appearance_and_behavior;Symptoms_related_to_mental_disorders;Visual_hallucinations	0.2879424115	0.6979566663
chr17-45585160-INV-706887	Congenital	3	3	3	0.2379524095	-1.520787546	0.1283131607	decrease	fast_phi	ridge	0.05	380618		5000		Congenital_anomalies_of_the_heart;Congenital_malformations_of_circulatory_system_other_than_heart;Congenital_malformations_of_the_urinary_system	Congenital_anomalies_of_the_heart;Congenital_malformations_of_circulatory_system_other_than_heart;Congenital_malformations_of_the_urinary_system	0.2974405119	0.1775153567
chr12-46897663-INV-16289	Infections	28	28	28	0.2387522496	1.598234376	0.1099908259	increase	fast_phi	ridge	0.05	365999		5000		Bacterial_infections;Enterococcus;Enterovirus;Escherichia_coli;Fungal_infections;Gangrene;Helicobacter_H._pylori;Herpes_zoster;Herpesvirus;Human_immunodeficiency_virus;Influenza_virus;Klebsiella;Methicillin_resistant_Staphylococcus_aureus;Mycobacteria;Mycobacterium_tuberculosis;Plantar_wart;Pseudomonas;Sars_CoV_2;Scabies;Sepsis;Staphylococcus;Staphylococcus_aureus;Streptococcus;Systemic_inflammatory_response_syndrome;Treponema;Treponema_pallidum_syphilis;Varicella_chickenpox;Varicella_zoster_virus	Bacterial_infections;Enterococcus;Enterovirus;Escherichia_coli;Fungal_infections;Gangrene;Helicobacter_H._pylori;Herpes_zoster;Herpesvirus;Human_immunodeficiency_virus;Influenza_virus;Klebsiella;Methicillin_resistant_Staphylococcus_aureus;Mycobacteria;Mycobacterium_tuberculosis;Plantar_wart;Pseudomonas;Sars_CoV_2;Scabies;Sepsis;Staphylococcus;Staphylococcus_aureus;Streptococcus;Systemic_inflammatory_response_syndrome;Treponema;Treponema_pallidum_syphilis;Varicella_chickenpox;Varicella_zoster_virus	0.2984403119	0.1269124914
