chr_std	Start	End	sd_size_kbp	sd_identity_pct	nahr_score	consensus	sd_call_hard	p_recurrent_insample	p_recurrent_loo	sd_call_insample	sd_call_loo
3	75454477	75455715	0.836	67.0	-2.8777937225609835	0.0	0	0.14400298731266037	0.14789747530670455	0	0.0
4	33098066	33104924	0.3	74.0	-2.622878745280338	0.0	0	0.12758270852570333	0.13088353299785016	0	0.0
5	179643529	179651253	9.55	68.0	-1.7199966284162538	0.0	0	0.28606710431053184	0.31419947821484556	0	0.0
6	123106049	123109821	3.265	63.0	-2.6861168143889076	0.0	0	0.19227522502715538	0.20618651857606798	0	0.0
9	85797070	85801040	1.197	96.0	0.1780941504064107	0.0	0	0.3144655328735176	0.3425936524347527	0	0.0
1	108310642	108383736	60.01	99.0	2.1782236267660964	1.0	1	0.6587650773226834	0.6478609670189813	1	1.0
1	144376209	144600799	59.373	97.0	1.9735889935197777	0.0	1	0.6441583191393031	0.664745567760247	1	1.0
10	46144703	46204851	11.287	97.0	1.252578525044658	0.0	1	0.5056450392195069	0.5201868682819156	1	1.0
10	55007431	55013434	0.193	62.0	-4.014442690992226	0.0	0	0.0803069252081422	0.08223495174034112	0	0.0
10	65465445	65470067	0.443	62.0	-3.6535962737769303	0.0	0	0.10410014675005916	0.10708339089534116	0	0.0
11	89920623	89923848	48.7	99.0	2.0875289612146344	1.0	1	0.6424436476634787	0.6317305371438614	1	1.0
13	52310302	52320954	0.351	78.0	-2.154692883534176	0.0	0	0.14840324170906355	0.15291762294044178	0	0.0
15	23295576	23318191	14.371	99.0	1.5574869893848486	0.0	1	0.5414825665553078	0.5591550981429547	1	1.0
16	14954790	15100859	33.434	79.0	-0.07581166187567501	1.0	0	0.4625654304048817	0.4160884975477508	0	0.0
17	3082008	3221835	31.609	95.0	1.4998107564738214	0.0	1	0.5783540989110442	0.5924960862512292	1	1.0
17	16823490	18384190	0.319	64.0	-3.596209316942819	0.0	0	0.09932698803495259	0.1017751613068848	0	0.0
17	45573556	45585158	0.683	76.0	-2.065579296318467	0.0	0	0.17094638047227875	0.1746012619266655	0	0.0
20	29257746	29419750	0.049	69.0	-3.9098039199714867	0.0	0	0.06313646528918315	0.06505910054966506	0	0.0
5	71009586	71093997	0.643	60.0	-3.691789027075778	0.0	0	0.1105605530211257	0.11459249933561079	0	0.0
7	62290674	62363143	19.575	96.0	1.391701770729981	1.0	1	0.5452704159036773	0.5349298990091749	1	1.0
7	62408486	62456444	2.899	71.0	-1.9377517846450025	1.0	0	0.22556832867503007	0.19851665530649146	0	0.0
9	12004038	12074552	1.437	63.0	-3.0425432318657744	0.0	0	0.15219309655927246	0.15902465509141026	0	0.0
X	112504686	112516959	1.518	66.0	-2.7187282284405385	0.0	0	0.16691579304284748	0.17313411769903336	0	0.0
X	152729753	152738707	51.161	98.0	2.0089390246697416	1.0	1	0.639363875037834	0.628538267807356	1	1.0
