chrom	start	end	recurrence_flag	recurrence_label	callable_basis	da_flank	da_middle	dxy_flank	dxy_middle	da_flank_snpcond	da_middle_snpcond	dxy_flank_snpcond	dxy_middle_snpcond	da_flank_minus_middle	dxy_flank_minus_middle	da_flank_minus_middle_snpcond	dxy_flank_minus_middle_snpcond
17	45585159	46292045	0	Single-event	per_base	0.00103593105	0.0038709134999999994	0.00110180565	0.003986944649999999	0.47087775	0.6398204132231404	0.5008207499999999	0.6589991157024794	-0.0028349824499999997	-0.0028851389999999992	-0.16894266322314044	-0.15817836570247945
2	91832040	92012663	1	Recurrent	per_base	6.972999999999999e-07	1.2716849999999998e-05	0.0001096813	0.00020367625	0.0004101764705882352	0.0041694590163934425	0.06451841176470588	0.06677909836065574	-1.2019549999999999e-05	-9.399495e-05	-0.0037592825458052075	-0.0022606865959498568
2	95800191	96024403	1	Recurrent	per_base	1.04204e-05	0.0	6.935065e-05	0.0	0.014886285714285713	NA	0.09907235714285718	NA	1.04204e-05	6.935065e-05	NA	NA
2	130138212	131200602	0	Single-event	per_base	-0.00029912195	0.0	0.000871875	0.0	-0.05808193203883495	NA	0.16929611650485432	NA	-0.00029912195	0.000871875	NA	NA
2	130138212	131530534	0	Single-event	per_base	-0.00011980255	0.0004773733	0.0006925000000000001	0.0008881249999999999	-0.02576398924731183	0.09842748453608248	0.1489247311827957	0.18311855670103092	-0.00059717585	-0.00019562499999999984	-0.1241914737833943	-0.034193825518235216
21	13987773	14056796	0	Single-event	per_base	0.0002993187	0.0	0.0005449365	0.0	0.07876807894736843	NA	0.14340434210526318	NA	0.0002993187	0.0005449365	NA	NA
3	195749463	195980207	1	Recurrent	per_base	0.0001438609	0.00011955025	0.00048121255	0.00058045485	0.06393817777777779	0.03622734848484848	0.21387224444444447	0.1758954090909091	2.4310650000000008e-05	-9.924229999999998e-05	0.027710829292929305	0.03797683535353538
6	76109081	76158474	0	Single-event	per_base	0.0010713248	0.0005509578	0.00132826925	0.00068734125	0.21426496	0.18676535593220336	0.26565384999999997	0.23299703389830506	0.0005203670000000001	0.000640928	0.02749960406779664	0.03265681610169491
6	167209001	167357782	0	Single-event	per_base	0.0032679755999999996	0.0034416616500000004	0.004315	0.00408125	0.30685216901408446	0.38240685	0.40516431924882634	0.4534722222222223	-0.00017368605000000082	0.00023375000000000045	-0.07555468098591556	-0.04830790297339593
7	5989046	6735643	1	Recurrent	per_base	1.6761950000000006e-05	1.88167e-05	0.0008777781000000001	0.00054155275	0.0038095340909090904	0.004589439024390243	0.1994950227272727	0.13208603658536586	-2.0547499999999925e-06	0.0003362253500000001	-0.0007799049334811527	0.06740898614190685
7	54234014	54308393	0	Single-event	per_base	0.00014134785000000002	0.00017586844999999997	0.00056602615	0.0004401925500000001	0.02642015887850467	0.047532013513513514	0.10579928037383177	0.11897095945945949	-3.452059999999995e-05	0.00012583359999999993	-0.021111854635008843	-0.013171679085627719
7	60911891	61578023	1	Recurrent	per_base	0.0	0.0	0.0	0.0	NA	NA	NA	NA	0.0	0.0	NA	NA
7	62290674	62363143	1	Recurrent	per_base	-2.5445000000000006e-07	1.103705e-05	2.31283e-05	0.00023770039999999998	-0.0007270000000000001	0.004245019230769231	0.06608085714285715	0.09142323076923077	-1.12915e-05	-0.00021457209999999998	-0.004972019230769231	-0.02534237362637362
7	62408486	62456444	1	Recurrent	per_base	5.667600000000001e-06	7.220649999999999e-06	0.0006208898	0.0008118633000000001	0.0010304727272727274	0.0008299597701149426	0.11288905454545453	0.09331762068965516	-1.5530499999999986e-06	-0.00019097350000000016	0.0002005129571577848	0.019571433855799375
7	65219157	65531823	1	Recurrent	per_base	2.735575e-05	0.00025134195000000003	9.494324999999999e-05	0.0006663828	0.03907964285714286	0.057123170454545444	0.13563321428571426	0.15145063636363634	-0.00022398620000000003	-0.00057143955	-0.018043527597402582	-0.015817422077922083
7	73113989	74799029	1	Recurrent	per_base	2.5640000000000005e-07	-3.377755e-05	3.290040000000001e-05	0.00017164485	0.0003016470588235294	-0.02702204	0.03870635294117647	0.13731588	3.403395e-05	-0.00013874445	0.02732368705882353	-0.09860952705882353
7	74869950	75058098	1	Recurrent	per_base	6.135000000000004e-07	0.0	0.00013263889999999998	0.0	0.0004908000000000004	NA	0.10611112	NA	6.135000000000004e-07	0.00013263889999999998	NA	NA
8	7301024	12598379	1	Recurrent	per_base	0.0	0.00019916564999999999	0.0	0.0006772749	NA	0.047991722891566266	NA	0.16319877108433736	-0.00019916564999999999	-0.0006772749	NA	NA
9	12004038	12074552	0	Single-event	per_base	0.00025526119999999997	0.00022998645	0.0007294885499999999	0.0007756431	0.0398845625	0.02674261046511628	0.1139825859375	0.09019105813953489	2.5274749999999973e-05	-4.615455000000015e-05	0.01314195203488372	0.023791527797965117
x	52077120	52176974	1	Recurrent	per_base	-9.688350000000002e-06	2.5859999999999995e-06	0.00062717515	0.0006107549499999999	-0.0029358636363636366	0.0007836363636363632	0.19005307575757577	0.18507725757575758	-1.2274350000000002e-05	1.642020000000013e-05	-0.0037194999999999997	0.004975818181818192
x	72997772	73077479	1	Recurrent	per_base	2.821585e-05	4.8337949999999993e-05	0.00020505965	0.0007235125	0.025650772727272727	0.012720513157894736	0.18641786363636365	0.1903980263157895	-2.0122099999999995e-05	-0.00051845285	0.01293025956937799	-0.003980162679425858
x	103989434	104049428	1	Recurrent	per_base	0.00020854370000000002	0.00013462	0.00056769495	0.00039594175	0.12267276470588237	0.08685161290322581	0.33393820588235296	0.25544629032258065	7.392370000000001e-05	0.00017175319999999998	0.03582115180265656	0.07849191555977231
x	149599490	149655967	1	Recurrent	per_base	-4.29962e-05	6.6491e-06	0.00026458305	0.00010208305	-0.022049333333333337	0.0042897419354838715	0.13568361538461537	0.06586003225806453	-4.96453e-05	0.0001625	-0.026339075268817208	0.06982358312655085
x	149681035	149722249	1	Recurrent	per_base	5.979995e-05	9.31195e-05	0.00041900000000000005	0.0007304998000000001	0.027181795454545455	0.023876794871794872	0.19045454545454543	0.18730764102564107	-3.3319549999999995e-05	-0.0003114998	0.003305000582750583	0.0031469044289043624
x	153149748	153250226	1	Recurrent	per_base	-2.809499999999996e-07	1.7837500000000013e-06	0.00024178745	0.0005573264500000001	-0.00023412499999999996	0.0006046610169491525	0.2014895416666667	0.188924220338983	-2.0647000000000007e-06	-0.0003155390000000001	-0.0008387860169491525	0.012565321327683676
x	155386727	155453982	1	Recurrent	per_base	-4.5958e-06	-1.63896e-05	0.0002074752	0.00051378775	-0.004178	-0.0074498181818181824	0.18861381818181816	0.23353988636363637	1.1793799999999999e-05	-0.00030631254999999996	0.003271818181818182	-0.04492606818181821
