chr	region_start_0based	region_end_0based	pop1_id_type	pop1_id_name	pop2_id_type	pop2_id_name	Dxy	pi_pop1	pi_pop2	pi_xy_avg	FST
2	90286374	90379427	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
2	91832039	92012662	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
2	95496988	95579795	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
2	95800190	96024402	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
2	97348051	97360453	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
2	108527820	109733035	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
2	110095176	110276209	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
2	130138211	131200601	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
2	130138211	131530533	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
2	138247428	138251773	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
2	240685788	240688965	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
19	47959659	50091194	HaplotypeGroup	0	HaplotypeGroup	1	0.000609	0.000687	0.000585	0.000636	-0.042968
6	76109080	76158473	HaplotypeGroup	0	HaplotypeGroup	1	0.000983	0.000373	0.000013	0.000193	0.803518
6	89213913	89214229	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
6	94031359	94031694	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
6	123106048	123109820	HaplotypeGroup	0	HaplotypeGroup	1	0.000209	0.000370	0.000000	0.000185	0.116797
6	130527040	130531149	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
6	141866309	141898727	HaplotypeGroup	0	HaplotypeGroup	1	0.001142	0.000623	0.000015	0.000319	0.720661
6	167209000	167357781	HaplotypeGroup	0	HaplotypeGroup	1	0.002237	0.001309	0.000045	0.000677	0.697444
X	6219004	6220342	HaplotypeGroup	0	HaplotypeGroup	1	0.000050	0.000100	0.000000	0.000050	-0.000000
X	45689037	45691226	HaplotypeGroup	0	HaplotypeGroup	1	0.000429	0.000633	0.000000	0.000317	0.262267
X	48396313	48399109	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
X	51692962	51700362	HaplotypeGroup	0	HaplotypeGroup	1	0.000205	0.000203	0.000196	0.000199	0.027962
X	52077119	52176973	HaplotypeGroup	0	HaplotypeGroup	1	0.000805	0.000861	0.000783	0.000822	-0.021497
X	52502273	52510613	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
X	52921571	52934580	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
X	55480140	55493062	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
X	63185599	63193342	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
X	72997771	73077478	HaplotypeGroup	0	HaplotypeGroup	1	0.000469	0.000444	0.000425	0.000435	0.072893
X	76146152	76148948	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
X	101602192	101611598	HaplotypeGroup	0	HaplotypeGroup	1	0.000157	0.000091	0.000115	0.000103	0.343232
X	102338169	102348933	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
X	103989433	104049427	HaplotypeGroup	0	HaplotypeGroup	1	0.000434	0.000237	0.000289	0.000263	0.394637
X	106266278	106275332	HaplotypeGroup	0	HaplotypeGroup	1	0.000009	0.000000	0.000018	0.000009	-0.000000
X	120087100	120149198	HaplotypeGroup	0	HaplotypeGroup	1	0.000524	0.000393	0.000343	0.000368	0.297085
X	135165182	135207321	HaplotypeGroup	0	HaplotypeGroup	1	0.000242	0.000102	0.000221	0.000162	0.331968
X	135623646	135665678	HaplotypeGroup	0	HaplotypeGroup	1	0.000372	0.000265	0.000555	0.000410	-0.103504
X	135734731	135748583	HaplotypeGroup	0	HaplotypeGroup	1	0.000510	0.000451	0.000588	0.000520	-0.019190
X	141110159	141232876	HaplotypeGroup	0	HaplotypeGroup	1	0.000629	0.000618	0.000643	0.000630	-0.002305
X	141585255	141589188	HaplotypeGroup	0	HaplotypeGroup	1	0.000540	0.000635	0.000635	0.000635	-0.176471
X	149599489	149655966	HaplotypeGroup	0	HaplotypeGroup	1	0.000149	0.000192	0.000106	0.000149	-0.004382
X	149681034	149722248	HaplotypeGroup	0	HaplotypeGroup	1	0.000573	0.000475	0.000508	0.000491	0.142895
X	149747301	149768781	HaplotypeGroup	0	HaplotypeGroup	1	0.000054	0.000050	0.000062	0.000056	-0.042034
X	152729752	152738706	HaplotypeGroup	0	HaplotypeGroup	1	0.001700	0.001352	0.001237	0.001295	0.238437
X	153074417	153075611	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
X	153149747	153250225	HaplotypeGroup	0	HaplotypeGroup	1	0.000518	0.000532	0.000502	0.000517	0.002752
X	154347245	154384866	HaplotypeGroup	0	HaplotypeGroup	1	0.000314	0.000065	0.000326	0.000195	0.377471
X	154591326	154613095	HaplotypeGroup	0	HaplotypeGroup	1	0.000279	0.000094	0.000371	0.000232	0.166721
X	155386726	155453981	HaplotypeGroup	0	HaplotypeGroup	1	0.000288	0.000275	0.000317	0.000296	-0.027189
5	16978657	16979396	HaplotypeGroup	0	HaplotypeGroup	1	0.001126	0.001085	0.001351	0.001218	-0.081818
5	17580904	17592444	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
5	29069228	29069522	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
5	47061567	47082061	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
5	47105114	47151366	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
5	64470919	64477088	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
5	64470927	64475117	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
5	181098774	181100845	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
11	311835	317943	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
11	4271708	4289556	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
11	24263178	24266245	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
11	48888299	48892126	HaplotypeGroup	0	HaplotypeGroup	1	0.000174	0.000198	0.000144	0.000171	0.016264
11	50154998	50324101	HaplotypeGroup	0	HaplotypeGroup	1	0.000796	0.000599	0.000578	0.000588	0.260682
11	55662738	55666689	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
11	62093042	62102998	HaplotypeGroup	0	HaplotypeGroup	1	0.000166	0.000251	0.000047	0.000149	0.104609
11	66251226	66252452	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
11	71571818	71576723	HaplotypeGroup	0	HaplotypeGroup	1	0.001393	0.000972	0.001359	0.001165	0.163511
11	89920622	89923847	HaplotypeGroup	0	HaplotypeGroup	1	0.000907	0.000864	0.000971	0.000917	-0.012066
3	28417059	28417482	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
3	131969226	131977819	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
3	162827573	162829854	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
3	195692123	195956605	HaplotypeGroup	0	HaplotypeGroup	1	0.000791	0.000574	0.000557	0.000566	0.285096
3	195749462	195980206	HaplotypeGroup	0	HaplotypeGroup	1	0.000703	0.000492	0.000508	0.000500	0.288843
12	13392623	13397633	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
12	37705667	37737661	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
12	46896693	46915974	HaplotypeGroup	0	HaplotypeGroup	1	0.000680	0.000656	0.000000	0.000328	0.517620
12	71546199	71547737	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
12	131312080	131644838	HaplotypeGroup	0	HaplotypeGroup	1	0.001058	0.001036	0.000331	0.000683	0.354125
12	131333942	131623806	HaplotypeGroup	0	HaplotypeGroup	1	0.001102	0.001084	0.000343	0.000713	0.352749
16	1245199	1247502	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
16	14907774	15028478	HaplotypeGroup	0	HaplotypeGroup	1	0.000025	0.000032	0.000012	0.000022	0.123234
16	14954789	15100858	HaplotypeGroup	0	HaplotypeGroup	1	0.000318	0.000067	0.000240	0.000154	0.515848
16	16721272	18073541	HaplotypeGroup	0	HaplotypeGroup	1	0.000786	0.000784	0.000602	0.000693	0.118279
16	20506045	20521892	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
16	21583510	22432380	HaplotypeGroup	0	HaplotypeGroup	1	0.000252	0.000243	0.000240	0.000242	0.040599
16	21864963	22432380	HaplotypeGroup	0	HaplotypeGroup	1	0.000251	0.000263	0.000236	0.000250	0.005236
16	28471891	28637650	HaplotypeGroup	0	HaplotypeGroup	1	0.000174	0.000076	0.000168	0.000122	0.301699
16	32364219	32528441	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
16	35946682	35952381	HaplotypeGroup	0	HaplotypeGroup	1	0.000029	0.000000	0.000058	0.000029	0.002315
16	48616944	48617438	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
16	75206213	75222747	HaplotypeGroup	0	HaplotypeGroup	1	0.000547	0.000188	0.000743	0.000466	0.147888
16	85155338	85156000	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
10	4983055	4984360	HaplotypeGroup	0	HaplotypeGroup	1	0.002800	0.002037	0.000000	0.001018	0.636277
10	37105148	37111120	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
10	46144702	46204850	HaplotypeGroup	0	HaplotypeGroup	1	0.000766	0.000435	0.000390	0.000412	0.461898
10	46983450	47468231	HaplotypeGroup	0	HaplotypeGroup	1	0.000468	0.000441	0.000494	0.000467	0.001614
10	55007430	55013433	HaplotypeGroup	0	HaplotypeGroup	1	0.000224	0.000265	0.000125	0.000195	0.129017
10	73657968	73660145	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
10	79542900	80217412	HaplotypeGroup	0	HaplotypeGroup	1	0.000897	0.000633	0.000013	0.000323	0.639679
10	87308004	87425029	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
10	91443586	91446028	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
10	113411932	113412251	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
10	133657261	133787420	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
15	23295575	23318190	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
15	28298423	28623513	HaplotypeGroup	0	HaplotypeGroup	1	0.000716	0.000800	0.000968	0.000884	-0.233766
15	30618102	32153203	HaplotypeGroup	0	HaplotypeGroup	1	0.000739	0.000712	0.000347	0.000529	0.283891
15	82360481	82515133	HaplotypeGroup	0	HaplotypeGroup	1	0.000186	0.000175	0.000167	0.000171	0.080559
15	84373374	84416695	HaplotypeGroup	0	HaplotypeGroup	1	0.001407	0.001451	0.000628	0.001039	0.261416
4	33098065	33104923	HaplotypeGroup	0	HaplotypeGroup	1	0.000230	0.000160	0.000000	0.000080	0.651741
4	40233405	40235438	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
4	49284663	49291016	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
4	49291018	49325003	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
4	87926010	87937546	HaplotypeGroup	0	HaplotypeGroup	1	0.000002	0.000000	0.000005	0.000002	0.000000
4	145693551	145694747	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
4	187950172	187954783	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
14	18862644	19659005	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
14	34547863	34555229	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
14	60606117	60611658	HaplotypeGroup	0	HaplotypeGroup	1	0.000140	0.000168	0.000042	0.000105	0.251157
14	65375817	65376682	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
14	105573621	105577543	HaplotypeGroup	0	HaplotypeGroup	1	0.000255	0.000000	0.000510	0.000255	0.000000
14	105693930	105698384	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
13	37315206	37317759	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
13	48199249	48206638	HaplotypeGroup	0	HaplotypeGroup	1	0.000387	0.000374	0.000271	0.000322	0.166717
13	52310301	52320953	HaplotypeGroup	0	HaplotypeGroup	1	0.000256	0.000198	0.000375	0.000287	-0.121647
13	52344009	52502255	HaplotypeGroup	0	HaplotypeGroup	1	0.000490	0.000288	0.000712	0.000500	-0.020287
13	63727376	63820967	HaplotypeGroup	0	HaplotypeGroup	1	0.000358	0.000201	0.000265	0.000233	0.349670
13	79823209	79839669	HaplotypeGroup	0	HaplotypeGroup	1	0.000744	0.000835	0.000531	0.000683	0.082597
13	97456282	97456721	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
21	13987772	14056795	HaplotypeGroup	0	HaplotypeGroup	1	0.000284	0.000233	0.000029	0.000131	0.538835
21	26648367	26649406	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
7	5989045	6735642	HaplotypeGroup	0	HaplotypeGroup	1	0.000669	0.000610	0.000671	0.000640	0.042746
7	40839775	40840870	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
7	47614507	47615261	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
7	54234013	54308392	HaplotypeGroup	0	HaplotypeGroup	1	0.000648	0.000540	0.000294	0.000417	0.356918
7	57641571	57838970	HaplotypeGroup	0	HaplotypeGroup	1	0.000529	0.000461	0.000549	0.000505	0.045728
7	57835187	58119652	HaplotypeGroup	0	HaplotypeGroup	1	0.000204	0.000124	0.000038	0.000081	0.604270
7	60911890	61578022	HaplotypeGroup	0	HaplotypeGroup	1	0.000139	0.000103	0.000160	0.000131	0.055460
7	62290673	62363142	HaplotypeGroup	0	HaplotypeGroup	1	0.000076	0.000052	0.000090	0.000071	0.058499
7	62408485	62456443	HaplotypeGroup	0	HaplotypeGroup	1	0.000640	0.000663	0.000605	0.000634	0.009342
7	63356274	63388164	HaplotypeGroup	0	HaplotypeGroup	1	0.000002	0.000004	0.000000	0.000002	0.040816
7	65219156	65531822	HaplotypeGroup	0	HaplotypeGroup	1	0.000807	0.000693	0.000227	0.000460	0.430182
7	67019302	67020337	HaplotypeGroup	0	HaplotypeGroup	1	0.000421	0.000296	0.000579	0.000438	-0.039063
7	70961197	70973900	HaplotypeGroup	0	HaplotypeGroup	1	0.000436	0.000606	0.000006	0.000306	0.298036
7	73113988	74799028	HaplotypeGroup	0	HaplotypeGroup	1	0.000299	0.000290	0.000260	0.000275	0.080632
7	74869949	75058097	HaplotypeGroup	0	HaplotypeGroup	1	0.000267	0.000273	0.000245	0.000259	0.028671
7	97445821	97459600	HaplotypeGroup	0	HaplotypeGroup	1	0.000487	0.000556	0.000000	0.000278	0.428668
7	143716561	143750997	HaplotypeGroup	0	HaplotypeGroup	1	0.000882	0.000498	0.000624	0.000561	0.363626
7	144254563	144256765	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
8	2343350	2378384	HaplotypeGroup	0	HaplotypeGroup	1	0.001544	0.001073	0.001807	0.001440	0.067481
8	7301023	12598378	HaplotypeGroup	0	HaplotypeGroup	1	0.000985	0.000797	0.000887	0.000842	0.144715
8	12369151	12394132	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
8	102423402	102423637	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
18	12145102	12146502	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
18	29783946	29784341	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
20	10807796	10808433	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
20	25846147	26009642	HaplotypeGroup	0	HaplotypeGroup	1	0.000620	0.000717	0.000165	0.000441	0.288378
9	12004037	12074551	HaplotypeGroup	0	HaplotypeGroup	1	0.000820	0.001020	0.000043	0.000531	0.352695
9	30952353	30956483	HaplotypeGroup	0	HaplotypeGroup	1	0.001018	0.000902	0.001937	0.001419	-0.393523
9	91958956	91959590	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
9	102565837	102570276	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
9	113111685	113112885	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
9	123979105	123991037	HaplotypeGroup	0	HaplotypeGroup	1	0.000024	0.000038	0.000004	0.000021	0.111409
