locus	n_ag_genes	n_sig_eqtl_genes	n_sig_geuvadis_genes	n_measured_sgenes	measured_expr_moves	max_gtex_absnes	ag_max_splice	ag_top_splice_gene	ag_top_splice_is_measured_sgene	orient_r
chr7:62290674-62363143	1	0	0	0	0	0.0				-0.342
chr7:62408486-62456444	1	0	0	0	0	0.0				0.274
chr7:73113989-74799029	39	0	0	0	0	0.0	0.973	NSUN5		-0.811
chr7:74869950-75058098	20	0	0	0	0	0.0	0.984	RCC1L		-0.48
chr7:97445822-97459601	1	0	0	0	0	0.0				-0.245
chr8:2343351-2378385	8	0	0	0	0	0.0				nan
chr9:12004038-12074552	3	0	0	0	0	0.0				-0.703
chrX:103989434-104049428	20	0	0	0	0	0.0	0.363	H2BW2		-0.69
chrX:149599490-149655967	24	0	0	0	0	0.0	0.961	TMEM185A		-0.7
chrX:155386727-155453982	20	0	0	0	0	0.0				-0.354
chrX:52077120-52176974	18	0	0	0	0	0.0				-0.512
