chrom,start,end,inv_id,consensus,inv_AF,size_kbp,log_pi_ratio,log_pi_inv,log_pi_dir,hudson_fst,hudson_dxy,log_theta_ratio,log_seg_sites,inv_freq,n_hap0,n_hap1,matched,usable,recurrence_score,recurrence_call,low_confidence
chr20,47841016,47888238,chr20-47827034-INV-77611,0.0,0.01,47.223,,,-7.096497403579014,,,,5.662960480135946,0.012195,81.0,1.0,True,False,,,True
chr21,13987773,14056796,chr21-13992018-INV-65632,0.0,0.03,69.024,-2.100764311148657,-10.4482147279778,-8.347450416829142,0.534971,0.000286,-2.6065137818827875,4.927253685157205,0.036585,79.0,3.0,True,True,0.00020640450457645154,0,True
chr21,19877734,20070170,chr21-19877735-INV-192437,0.0,0.01,192.437,,,-7.01980478279076,,,,6.9363427358340495,0.012195,81.0,1.0,True,False,,,True
chr21,43821742,43835116,chr21-43821743-INV-13374,0.0,0.01,13.375,,,-6.324422964429399,,,,4.836281906951478,0.012195,81.0,1.0,True,False,,,True
chr22,21443089,21491761,chr22-21442678-INV-15944,,0.67,48.673,-0.02817087696669622,-9.161550207806751,-9.133379330840054,0.052346,0.000113,0.9433716904768259,3.2188758248682006,0.658537,28.0,54.0,True,True,0.0067147996337212044,0,False
chr3,195692124,195956606,chr3-195680867-INV-272256,,0.26,264.483,-0.028121360985403347,-7.485789652441578,-7.457668291456175,0.280709,0.000791,-0.10552416838710091,7.2633296174768365,0.268293,60.0,22.0,True,True,0.9999233097640113,1,False
chr3,195749463,195980207,chr3-195749464-INV-230745,1.0,0.26,230.745,0.03774032798284711,-7.575234712793504,-7.612975040776352,0.282758,0.000701,-0.0705760174061153,6.996681488176539,0.268293,60.0,22.0,True,True,0.9996927947722952,1,False
chr4,87926011,87937547,chr4-87925789-INV-11799,,0.1899999999999999,11.537,3.9120230054281464,-12.206072645530174,-16.11809565095832,0.0,3e-06,5.91350300563827,1.0986122886681096,0.792683,17.0,65.0,True,True,0.9999999999991644,1,False
chr5,112179911,112236600,chr5-112179912-INV-56689,0.0,0.01,56.69,,,-7.23904098891605,,,,5.598421958998375,0.012195,81.0,1.0,True,False,,,True
chr5,124425560,124546657,chr5-124425561-INV-121098,0.0,0.01,121.098,,,-6.905757276319464,,,,6.447305862541213,0.012195,81.0,1.0,True,False,,,True
chr5,177946129,178003952,chr5-177946130-INV-57824,0.0,0.99,57.824,,,-6.86469578952169,,,,5.755742213586912,0.012195,81.0,1.0,True,False,,,True
chr6,141866310,141898728,chr6-141867315-INV-29159,0.0,0.05,32.419,-3.7281001672672174,-11.107460356862065,-7.379360189594847,0.721864,0.001149,-3.9911603259868698,5.003946305945459,0.04878,78.0,4.0,True,True,3.7920982268027546e-05,0,False
chr6,167209001,167357782,chr6-167181003-INV-209976,0.0,0.03,148.782,-2.967731957733879,-9.610817938573309,-6.643085980839429,0.694066,0.002239,-2.979936533326349,6.890609120147166,0.02439,80.0,2.0,True,True,0.9975217462925768,1,True
chr6,76109081,76158474,chr6-76111919-INV-44661,0.0,0.03,49.394,-3.3619766685088743,-11.250561200502737,-7.888584531993863,0.802327,0.000982,-3.963008560161014,5.1298987149230735,0.036585,79.0,3.0,True,True,0.00012584615049704269,0,True
chr7,143716562,143750998,chr7-143716563-INV-34437,,0.6699999999999999,34.437,0.24302492186803878,-7.361885559071583,-7.604910480939621,0.347231,0.000867,-0.2734469566299089,4.382026634673881,0.3375,53.0,27.0,True,True,0.00026395962783913064,0,False
chr7,33990735,34010143,chr7-33990522-INV-19762,0.0,0.99,19.409,,,-7.932188169475995,,,,4.290459441148391,0.012195,81.0,1.0,True,False,,,True
chr7,54234014,54308393,chr7-54220528-INV-101153,0.0,0.38,74.38,-0.48500492414424806,-8.091925456011893,-7.606920531867646,0.367324,0.000635,0.33897536683933155,6.082218910376446,0.634146,30.0,52.0,True,True,0.9738540533732987,1,False
chr7,57641572,57838971,chr7-57641573-INV-197400,,0.9,197.4,0.1900012434681828,-7.507412116454743,-7.697413359922926,0.048122,0.000527,-0.1826250929929765,6.74993119378857,0.1125,71.0,9.0,True,True,0.9993355453585427,1,False
chr7,57835188,58119653,chr7-57835189-INV-284465,0.0,0.02,284.466,,,-8.987196820661973,,,,5.950642552587727,0.012195,81.0,1.0,True,False,,,True
chr7,5989046,6735643,chr7-5989047-INV-746598,1.0,0.9,746.598,0.0920368544593558,-7.3067414209925925,-7.3987782754519476,0.04098,0.000668,-0.10910350193666064,8.383433201236713,0.109756,73.0,9.0,True,True,0.9999999565037022,1,False
chr7,60911891,61578023,chr7-60911892-INV-666133,1.0,0.52,666.133,0.47862968396550293,-8.721760357157512,-9.200390041123015,0.061418,0.000141,0.45561489179363596,6.9975959829819265,0.512195,40.0,42.0,True,True,0.9999998966282979,1,False
chr7,65219157,65531823,chr7-65219158-INV-312667,1.0,0.6699999999999999,312.667,-1.0648538087431552,-8.330713624473619,-7.2658598157304635,0.416719,0.000806,-0.5623858728092384,7.293017679772782,0.325,54.0,26.0,True,True,0.9997181382851281,1,False
chr7,70961198,70973901,chr7-70955928-INV-18020,0.0,0.64,12.704,-4.550361949493096,-12.02375108873622,-7.473389139243123,0.256512,0.000386,-3.3753766820404127,3.295836866004329,0.634146,30.0,52.0,True,True,2.794579476848446e-08,0,False
chr7,73113989,74799029,chr7-73113990-INV-1685041,1.0,0.05,1685.041,0.06944938827187164,-8.069307367424122,-8.138756755695992,0.041013,0.000316,-0.3268413435602516,8.236685322712457,0.0375,77.0,3.0,True,True,0.9999999693275601,1,True
chr7,74869950,75058098,chr7-74799031-INV-480422,1.0,0.9,188.149,-0.1433785828453472,-8.334871634622283,-8.191493051776936,0.002786,0.000259,-0.5147549019058802,5.375278407684165,0.1,72.0,8.0,True,True,0.5177118245021909,1,False
chr7,97445822,97459601,chr7-97445827-INV-13775,0.0,0.98,13.78,,,-7.50377574881136,,,,3.970291913552122,0.012195,81.0,1.0,True,False,,,True
chr8,2343351,2378385,chr8-2340295-INV-42058,1.0,0.49,35.035,0.513911765817859,-6.298533333359953,-6.812445099177812,0.066066,0.001573,0.2726998586566414,6.208590026096629,0.512195,40.0,42.0,True,True,0.9987692299649424,1,False
chr8,7301024,12598379,chr8-7301025-INV-5297356,1.0,0.5,5297.356,0.09004279100811967,-7.045868581111772,-7.1359113721198915,0.159087,0.000991,0.07290677080808773,10.512519159218469,0.5,41.0,41.0,True,True,0.9999999999999261,1,False
chr9,123979106,123991038,chr9-123976301-INV-18001,,0.48,11.933,-2.2512917986064953,-12.429216196844383,-10.177924398237888,0.097487,2.3e-05,-1.4250088733005808,1.791759469228055,0.52439,39.0,43.0,True,True,1.3461372756294864e-05,0,False
chr9,87942696,88110274,chr9-87942698-INV-167577,0.0,0.01,167.579,,,-7.1472823095468705,,,,6.70196036600254,0.012195,81.0,1.0,True,False,,,True
chrX,101602193,101611599,chrX-101597550-INV-18696,,0.41,9.407,0.31177962403084136,-9.09701168666918,-9.408791310700021,0.359334,0.000152,0.18113882454490507,2.4849066497880004,0.573171,25.0,25.0,True,True,1.8882550066038757e-06,0,False
chrX,103989434,104049428,chrX-103954976-INV-128112,1.0,0.37,59.995,0.19088268909598824,-8.095198781356862,-8.286081470452851,0.338745,0.000422,-0.0953101798043249,4.859812404361672,0.625,22.0,28.0,True,True,0.026148110785418704,0,False
chrX,120087101,120149199,chrX-120080219-INV-75364,,0.25,62.099,-0.2014820545330305,-7.99839939800107,-7.796917343468039,0.288412,0.000525,-0.4790330359651298,5.605802066295998,0.256098,35.0,15.0,True,True,0.2240710500633506,0,False
chrX,135165183,135207322,chrX-135116507-INV-139642,,0.4,42.14,0.7472144018302211,-8.386164929009833,-9.133379330840054,0.298563,0.000239,0.27477866761587305,4.454347296253507,0.390244,30.0,20.0,True,True,0.0911409115493635,0,False
chrX,135623647,135665679,chrX-135619381-INV-52316,,0.94,42.033,0.8055393675814523,-7.496542444217839,-8.302081811799292,-0.092686,0.000367,0.19209892963224956,4.795790545596741,0.060976,47.0,3.0,True,True,0.24875963105952992,0,True
chrX,141110160,141232877,chrX-141110161-INV-122718,,0.11,122.718,0.046149796090476945,-7.3493658337266545,-7.395515629817131,-0.00023,0.000628,-0.16191268516274754,6.396929655216146,0.121951,44.0,6.0,True,True,0.9925932859473344,1,False
chrX,149599490,149655967,chrX-149599491-INV-56477,1.0,0.92,56.478,-0.30166831442652076,-8.859683500363014,-8.558015185936492,-0.067703,0.000156,-1.0025976354285209,4.663439094112067,0.073171,48.0,2.0,True,True,0.03525181274506667,0,True
chrX,149681035,149722249,chrX-149654273-INV-94882,1.0,0.61,41.215,0.07680541122374504,-7.573287292509109,-7.650092703732854,0.136676,0.000573,-0.1434637541872077,5.214935757608986,0.609756,20.0,30.0,True,True,0.10199392212554394,0,False
chrX,149747302,149768782,chrX-149747303-INV-21480,,0.92,21.481,0.0,-9.965362956254216,-9.965362956254216,0.245346,6.2e-05,-0.10109611687136875,1.9459101490553132,0.073171,48.0,2.0,True,True,1.575352024442313e-06,0,True
chrX,153149748,153250226,chrX-153067814-INV-226118,1.0,0.6,100.479,-0.02483413203773838,-7.567467683455845,-7.542633551418106,0.008826,0.000528,-0.28197103465626666,5.958424693029782,0.597561,23.0,27.0,True,True,0.9153087842615905,1,False
chrX,154347246,154384867,chrX-154339398-INV-53354,1.0,0.56,37.622,1.550597412411167,-8.016417903503749,-9.567015315914915,0.402375,0.000334,0.55083095837969,4.330733340286331,0.448718,29.0,21.0,True,True,0.1672842219899175,0,False
chrX,154591327,154613096,chrX-154555919-INV-93915,1.0,0.5700000000000001,21.77,1.2721810543524696,-7.918356690327533,-9.190537744680004,0.146115,0.000273,0.6406291462764989,3.912023005428146,0.426829,33.0,17.0,True,True,0.02553139287160069,0,False
chrX,155386727,155453982,chrX-155366835-INV-100636,1.0,0.85,67.256,0.16047981487890584,-8.056608784086993,-8.2170885989659,-0.027019,0.000286,0.2958453830909418,4.836281906951478,0.158537,43.0,7.0,True,True,0.28687012907998344,0,False
chrX,51692963,51700363,chrX-51667498-INV-58316,,0.68,7.401,0.025576841789649557,-8.52724352726974,-8.552820369059388,0.000387,0.000196,1.1480371719956326,2.772588722239781,0.670732,15.0,35.0,True,True,7.422277193717211e-05,0,False
chrX,52077120,52176974,chrX-52040360-INV-173922,1.0,0.64,99.855,-0.28122349241236905,-7.2658598157304635,-6.984636323318095,-0.008618,0.000806,-0.046022032456432896,6.556778356158042,0.353659,29.0,21.0,True,True,0.997187433263143,1,False
chrX,71702806,71778386,chrX-71702807-INV-75580,,0.41,75.581,0.0,-16.11809565095832,-16.11809565095832,,,0.0,0.0,1.0,0.0,0.0,True,False,,,True
chrX,72997772,73077479,chrX-72996081-INV-91407,1.0,0.2,79.708,-0.12442757837505196,-7.824046010856292,-7.69961843248124,0.095182,0.000472,0.10260247847936756,5.602118820879701,0.195122,42.0,8.0,True,True,0.7287408464655584,1,False
chrX,76146153,76148949,chrX-76141867-INV-11379,,0.48,2.797,0.0,-16.11809565095832,-16.11809565095832,,0.0,0.0,0.0,0.555556,18.0,28.0,True,True,0.9995911915949348,1,False
chr1,21203917,21204602,chr1-21203898-INV-862,,0.94,0.685,,,-16.11809565095832,,,,0.0,0.166667,5.0,1.0,True,False,,,True
chr1,26641622,26646431,chr1-26639853-INV-8324,,0.01,4.809,,-16.11809565095832,,,,,0.0,0.9875,1.0,79.0,True,False,,,True
chr1,60776841,60778677,chr1-60775308-INV-5023,,0.08,1.836,0.022285044789434955,-6.822495435031314,-6.8447804798207486,-0.133488,0.00095,-0.08869346317261476,2.639057329615259,0.051724,55.0,3.0,True,True,2.4344645897968347e-08,0,True
chr1,91666232,91667085,chr1-91666258-INV-840,,0.9,0.853,0.0,-16.11809565095832,-16.11809565095832,,0.0,0.0,0.0,0.333333,4.0,2.0,True,True,0.9995377879764555,1,True
chr1,120299058,120600965,chr1-120299059-INV-301908,,0.84,301.907,4.248495242049359,-11.86960040890896,-16.11809565095832,0.466003,6e-06,3.9120230054281464,1.0986122886681096,0.829268,14.0,68.0,True,True,0.999999975243792,1,False
chr1,149843518,149850293,chr1-149842162-INV-9508,0.0,0.61,6.775,-0.025446665661164377,-8.547652398900945,-8.522205733239781,0.003249,0.000197,0.5596157879354225,2.9444389791664403,0.631579,28.0,48.0,True,True,3.6764670127106674e-05,0,False
chr1,197787659,197788856,chr1-197787661-INV-1197,,0.91,1.197,-0.43852597036905255,-8.3432398842928,-7.904713913923747,-0.059638,0.000287,-0.5084768264442352,1.6094379124341003,0.12963,47.0,7.0,True,True,9.066538736453887e-11,0,False
chr10,4983056,4984361,chr10-4961364-INV-47135,,0.08,1.305,-9.907479573805665,-16.11809565095832,-6.210616077152654,0.643413,0.002816,-9.805323303748896,2.4849066497880004,0.048387,59.0,3.0,True,True,1.7337768022280426e-11,0,True
chr10,37105149,37111121,chr10-37102555-INV-11157,,0.52,5.972,0.0,-16.11809565095832,-16.11809565095832,,0.0,0.0,0.0,0.475,42.0,38.0,True,True,0.9995725855525471,1,False
chr10,71066858,71067726,chr10-71065991-INV-2615,,0.95,0.868,,,-7.267291455201901,,,,1.6094379124341003,0.03125,31.0,1.0,True,False,,,True
chr10,73657969,73660146,chr10-73657970-INV-2177,,0.9,2.177,0.0,-16.11809565095832,-16.11809565095832,,0.0,0.0,0.0,0.130435,40.0,6.0,True,True,0.999482961270655,1,False
chr10,87308005,87425030,chr10-87308006-INV-117026,,0.02,117.025,0.0,-16.11809565095832,-16.11809565095832,,0.0,0.0,0.0,0.02439,80.0,2.0,True,True,0.9994517664363861,1,True
chr10,91443587,91446029,chr10-91440445-INV-8733,,0.15,2.442,0.0,-16.11809565095832,-16.11809565095832,,0.0,0.0,0.0,0.8375,13.0,67.0,True,True,0.9996501637673795,1,False
chr10,103205557,103205994,chr10-103197205-INV-9055,,0.06,0.437,-10.441441843690372,-16.11809565095832,-5.676653807267948,,,-10.528355892342779,1.3862943611198906,0.0,4.0,0.0,True,False,,,True
chr11,311836,317944,chr11-310146-INV-10302,,0.73,6.108,0.0,-16.11809565095832,-16.11809565095832,,0.0,0.0,0.0,0.707317,24.0,58.0,True,True,0.9996240726892951,1,False
chr11,738649,740185,chr11-738460-INV-2650,,0.03,1.536,,,-8.05031945517943,,,,1.6094379124341003,0.03125,31.0,1.0,True,False,,,True
chr11,48888300,48892127,chr11-48880392-INV-19590,,0.34,3.827,-0.3110554236370897,-8.818298284200159,-8.50724286056307,0.023501,0.000179,-0.7079622663450859,2.3978952727983707,0.358974,50.0,28.0,True,True,3.958184179943697e-08,0,False
chr11,71571819,71576724,chr11-71571191-INV-6980,0.0,0.03,4.905,0.3423763128121577,-6.60100614381313,-6.943382456625288,0.162806,0.001388,0.6038083694333847,3.367295829986474,0.036585,79.0,3.0,True,True,1.7376580237456784e-05,0,True
chr12,37705668,37737662,chr12-37705669-INV-31994,,0.02,31.994,0.0,-16.11809565095832,-16.11809565095832,,0.0,0.0,0.0,0.02439,80.0,2.0,True,True,0.9994517664363861,1,True
chr12,71546200,71547738,chr12-71546144-INV-1652,,0.09,1.538,0.0,-16.11809565095832,-16.11809565095832,,0.0,0.0,0.0,0.109375,57.0,7.0,True,True,0.9994769106247473,1,False
chr13,37315207,37317760,chr13-37314466-INV-4035,,0.11,2.553,0.0,-16.11809565095832,-16.11809565095832,,0.0,0.0,0.0,0.1125,71.0,9.0,True,True,0.9994778129049035,1,False
chr13,48199250,48206639,chr13-48199211-INV-7451,0.0,0.02,7.389,-0.33012636656831,-8.213391737084573,-7.883265370516264,0.162367,0.000387,-0.9302154713426486,3.332204510175204,0.025,78.0,2.0,True,True,1.8332488177374326e-07,0,True
chr14,34547864,34555230,chr14-34540582-INV-21874,,0.55,7.366,0.0,-16.11809565095832,-16.11809565095832,,0.0,0.0,0.0,0.463415,44.0,38.0,True,True,0.9995698410289855,1,False
chr14,60606118,60611659,chr14-60604531-INV-8718,0.0,0.18,5.541,-1.889397938791971,-10.557414019942792,-8.668016081150821,0.250866,0.000132,-1.8891939196134606,2.4849066497880004,0.170732,68.0,14.0,True,True,1.0700005953796983e-08,0,False
chr14,65375818,65376683,chr14-65375818-INV-880,,0.29,0.865,0.0,-16.11809565095832,-16.11809565095832,,0.0,0.0,0.0,0.55,9.0,11.0,True,True,0.9995899347308713,1,False
chr14,105693931,105698385,chr14-105692001-INV-7875,,0.3299999999999999,4.454,0.0,-16.11809565095832,-16.11809565095832,,0.0,0.0,0.0,0.666667,6.0,12.0,True,True,0.9996155337696446,1,False
chr15,23345459,28389868,chr15-23345460-INV-5044410,0.0,0.99,5044.409,,,-7.026538814972104,,,,10.173591022713616,0.012195,81.0,1.0,True,False,,,True
chr16,1245200,1247503,chr16-1226779-INV-28828,,0.0699999999999999,2.303,0.0,-16.11809565095832,-16.11809565095832,,0.0,0.0,0.0,0.948718,4.0,74.0,True,True,0.9996710150974814,1,False
chr16,35946683,35952382,chr16-35945424-INV-12423,0.0,0.97,5.699,6.4457198193855785,-9.672375831572742,-16.11809565095832,0.002525,3.1e-05,8.303999970955196,2.4849066497880004,0.957143,3.0,67.0,True,True,1.0,1,True
chr16,48616945,48617439,chr16-48616946-INV-494,,0.6599999999999999,0.494,0.0,-16.11809565095832,-16.11809565095832,,0.0,0.0,0.0,0.3,7.0,3.0,True,True,0.999529197140761,1,True
chr16,85155339,85156001,chr16-85155144-INV-1053,,0.42,0.662,0.0,-16.11809565095832,-16.11809565095832,,0.0,0.0,0.0,0.65,21.0,39.0,True,True,0.9996119769124423,1,False
chr17,30621881,30625589,chr17-30616357-INV-14733,,0.5,3.708,0.0,-16.11809565095832,-16.11809565095832,,0.0,0.0,0.0,0.5,36.0,36.0,True,True,0.9995784486386632,1,False
chr17,76181937,76182932,chr17-76181651-INV-1551,,0.1,0.995,,,-7.454208080391279,,,,1.6094379124341003,0.041667,23.0,1.0,True,False,,,True
chr18,12145103,12146503,chr18-12141485-INV-8631,,0.25,1.4,0.0,-16.11809565095832,-16.11809565095832,,0.0,0.0,0.0,0.769231,18.0,60.0,True,True,0.9996367154598619,1,False
chr19,43365871,43369065,chr19-43355096-INV-25294,,0.99,3.194,,,-16.11809565095832,,,,0.0,0.014286,69.0,1.0,True,False,,,True
chr2,87987171,111255403,chr2-87987172-INV-23268233,0.0,0.01,23268.232,,,-7.710717325549289,,,,11.015756167651723,0.012195,81.0,1.0,True,False,,,True
chr2,97168744,97170236,chr2-97168745-INV-1492,,0.08,1.492,,,-16.11809565095832,,,,0.0,0.055556,17.0,1.0,True,False,,,True
