Phenotype	N_Total	N_Cases	N_Controls	Beta	OR	P_Value	P_Valid	P_Source	OR_CI95	CI_Method	CI_Sided	CI_Label	CI_Valid	CI_LO_OR	CI_HI_OR	Used_Ridge	Final_Is_MLE	Used_Firth	Inference_Type	Coef_Source	P_Value_Method	N_Total_Used	N_Cases_Used	N_Controls_Used	Model_Notes	Inversion	P_LRT_Overall	P_Value_lrt	P_Overall_Valid	P_Source_lrt	P_Method	Q_GLOBAL	Sig_Global	CI_Valid_DISPLAY	CI_Method_DISPLAY	CI_Label_DISPLAY	OR_CI95_DISPLAY	CI_LO_OR_DISPLAY	CI_HI_OR_DISPLAY	FINAL_INTERPRETATION
Skin_changes_due_to_chronic_exposure_to_nonionizing_radiation	61407	305	61102	0.36134010844110304	1.435251519034231	0.160690686523385	True	lrt_mle	0.877,2.350	wald_mle	two		True	0.8766483906594931	2.349798328313125	False	True	False	mle	mle	lrt_mle	61407	305	61102	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45585160-INV-706887	0.160690686523385	0.160690686523385	True	lrt_mle	lrt_mle	0.9015827916939885	False	True	wald_mle		0.877,2.350	0.8766483906594931	2.349798328313125	
Conjunctivitis	69437	4460	64977	-0.037430750152387005	0.9632611210970431	0.6237500399375281	True	lrt_mle	0.829,1.119	lrt_quadratic	two		True	0.8294558371886941	1.1186514649918	False	True	False	mle	mle	lrt_mle	69437	4460	64977	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45585160-INV-706887	0.6237500399375281	0.6237500399375281	True	lrt_mle	lrt_mle	0.9333557003672052	False	True	lrt_quadratic		0.829,1.119	0.8294558371886941	1.1186514649918	
Skin_changes_due_to_solar_radiation	61598	496	61102	0.25276136656951304	1.287575981497141	0.215732425860639	True	lrt_mle	0.869,1.909	wald_mle	two		True	0.868587772768427	1.908675162262874	False	True	False	mle	mle	lrt_mle	61598	496	61102	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45585160-INV-706887	0.215732425860639	0.215732425860639	True	lrt_mle	lrt_mle	0.9015827916939885	False	True	wald_mle		0.869,1.909	0.868587772768427	1.908675162262874	
Laryngitis_and_tracheitis	74446	913	73533	0.12751115242504701	1.135997537297905	0.43304996520132505	True	lrt_mle	0.826,1.563	lrt_quadratic	two		True	0.8259114620893934	1.5625045346655169	False	True	False	mle	mle	lrt_mle	74446	913	73533	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45585160-INV-706887	0.43304996520132505	0.43304996520132505	True	lrt_mle	lrt_mle	0.9224423393241438	False	True	lrt_quadratic		0.826,1.563	0.8259114620893934	1.5625045346655169	
Sensorineural_hearing_loss	67940	2963	64977	0.05445109392810701	1.0559608322545	0.554736893377351	True	lrt_mle	0.881,1.265	lrt_quadratic	two		True	0.8814150456597352	1.2650717556347186	False	True	False	mle	mle	lrt_mle	67940	2963	64977	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45585160-INV-706887	0.554736893377351	0.554736893377351	True	lrt_mle	lrt_mle	0.9333557003672052	False	True	lrt_quadratic		0.881,1.265	0.8814150456597352	1.2650717556347186	
Goiter	62921	4339	58582	-0.01805557676032	0.9821064485468181	0.8227815767283061	True	lrt_mle	0.839,1.150	lrt_quadratic	two		True	0.8385668503219887	1.1502160810517252	False	True	False	mle	mle	lrt_mle	62921	4339	58582	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45585160-INV-706887	0.8227815767283061	0.8227815767283061	True	lrt_mle	lrt_mle	0.9599118395163572	False	True	lrt_quadratic		0.839,1.150	0.8385668503219887	1.1502160810517252	
Alopecia_Areata	61344	242	61102	0.09336849194808601	1.097866215600157	0.7585288087486001	True	lrt_mle	0.605,1.991	lrt_quadratic	two		True	0.6053686483633203	1.991035100041762	False	True	False	mle	mle	lrt_mle	61344	242	61102	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45585160-INV-706887	0.7585288087486001	0.7585288087486001	True	lrt_mle	lrt_mle	0.9333557003672052	False	True	lrt_quadratic		0.605,1.991	0.6053686483633203	1.991035100041762	
Urinary_incontinence_and_enuresis	74446	4999	69447	0.011904892524449	1.011976037802779	0.8706317334700591	True	lrt_mle	0.877,1.168	lrt_quadratic	two		True	0.8768934263076197	1.1678676910593608	False	True	False	mle	mle	lrt_mle	74446	4999	69447	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45585160-INV-706887	0.8706317334700591	0.8706317334700591	True	lrt_mle	lrt_mle	0.9697218514992803	False	True	lrt_quadratic		0.877,1.168	0.8768934263076197	1.1678676910593608	
Viral_infections	74446	18428	56018	-0.019066997208068003	0.981113628166945	0.6518251311280451	True	lrt_mle	0.903,1.066	lrt_quadratic	two		True	0.9031317757003149	1.0658289047891076	False	True	False	mle	mle	lrt_mle	74446	18428	56018	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45585160-INV-706887	0.6518251311280451	0.6518251311280451	True	lrt_mle	lrt_mle	0.9333557003672052	False	True	lrt_quadratic		0.903,1.066	0.9031317757003149	1.0658289047891076	
Scar_conditions_and_fibrosis_of_skin	62341	1239	61102	-0.10839188203411301	0.8972759012180871	0.44164220059771403	True	lrt_mle	0.681,1.183	lrt_quadratic	two		True	0.6807907425040113	1.1826013378875941	False	True	False	mle	mle	lrt_mle	62341	1239	61102	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45585160-INV-706887	0.44164220059771403	0.44164220059771403	True	lrt_mle	lrt_mle	0.9224423393241438	False	True	lrt_quadratic		0.681,1.183	0.6807907425040113	1.1826013378875941	
Abnormal_mammogram	66013	3558	62455	0.04112826663443701	1.041985748979453	0.6442170612024171	True	lrt_mle	0.875,1.241	lrt_quadratic	two		True	0.8750943278340204	1.240705449164107	False	True	False	mle	mle	lrt_mle	36423	3545	32878	sex_restricted_to_0;sex_majority_restricted_to_0;ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45585160-INV-706887	0.6442170612024171	0.6442170612024171	True	lrt_mle	lrt_mle	0.9333557003672052	False	True	lrt_quadratic		0.875,1.241	0.8750943278340204	1.240705449164107	
Lump_or_mass_in_breast_or_nonspecific_abnormal_breast_exam	70782	8327	62455	0.016640769900926	1.016779998731873	0.7884069692605791	True	lrt_mle	0.900,1.148	lrt_quadratic	two		True	0.9004272434737834	1.1481677984694263	False	True	False	mle	mle	lrt_mle	70782	8327	62455	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45585160-INV-706887	0.7884069692605791	0.7884069692605791	True	lrt_mle	lrt_mle	0.9386492823214052	False	True	lrt_quadratic		0.900,1.148	0.9004272434737834	1.1481677984694263	
Aphagia_and_dysphagia	74446	4547	69899	-0.079096188079982	0.9239510470934661	0.303771853126416	True	lrt_mle	0.794,1.075	wald_mle	two		True	0.794123291611727	1.075003776419277	False	True	False	mle	mle	lrt_mle	74446	4547	69899	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45585160-INV-706887	0.303771853126416	0.303771853126416	True	lrt_mle	lrt_mle	0.9101667937253499	False	True	wald_mle		0.794,1.075	0.794123291611727	1.075003776419277	
Hypertrophic_conditions_of_skin	63876	2774	61102	-0.028434920503585003	0.9719655471162171	0.7655534829275681	True	lrt_mle	0.806,1.172	lrt_quadratic	two		True	0.8062752374568029	1.1717053691997361	False	True	False	mle	mle	lrt_mle	63876	2774	61102	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45585160-INV-706887	0.7655534829275681	0.7655534829275681	True	lrt_mle	lrt_mle	0.9333557003672052	False	True	lrt_quadratic		0.806,1.172	0.8062752374568029	1.1717053691997361	
Mild_cognitive_impairment	67590	685	66905	-0.16378424747995102	0.8489251598658291	0.44436271038894204	True	lrt_mle	0.558,1.292	lrt_quadratic	two		True	0.5579473052546773	1.2916523124424262	False	True	False	mle	mle	lrt_mle	67590	685	66905	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr4-33098029-INV-7075	0.44436271038894204	0.44436271038894204	True	lrt_mle	lrt_mle	0.9224423393241438	False	True	lrt_quadratic		0.558,1.292	0.5579473052546773	1.2916523124424262	
Acne	63749	2647	61102	-0.16247359919256402	0.8500385316327481	0.144790607425361	True	lrt_mle	0.682,1.060	wald_mle	two		True	0.681509425704188	1.060242863866112	False	True	False	mle	mle	lrt_mle	63749	2647	61102	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr4-33098029-INV-7075	0.144790607425361	0.144790607425361	True	lrt_mle	lrt_mle	0.9015827916939885	False	True	wald_mle		0.682,1.060	0.681509425704188	1.060242863866112	
Other_skin_and_subcutaneous_disorders	66053	4951	61102	-0.144050838154886	0.865843729042687	0.08265096525205501	True	lrt_mle	0.735,1.020	wald_mle	two		True	0.734710107981377	1.020382535885225	False	True	False	mle	mle	lrt_mle	66053	4951	61102	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr4-33098029-INV-7075	0.08265096525205501	0.08265096525205501	True	lrt_mle	lrt_mle	0.9015827916939885	False	True	wald_mle		0.735,1.020	0.734710107981377	1.020382535885225	
Inflammation_of_the_eye	71216	6239	64977	-0.03298350598132	0.9675545183197181	0.65168760667513	True	lrt_mle	0.838,1.117	lrt_quadratic	two		True	0.8384580028006025	1.1165278914315955	False	True	False	mle	mle	lrt_mle	71216	6239	64977	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr4-33098029-INV-7075	0.65168760667513	0.65168760667513	True	lrt_mle	lrt_mle	0.9333557003672052	False	True	lrt_quadratic		0.838,1.117	0.8384580028006025	1.1165278914315955	
Hearing_impairment	69560	4583	64977	-0.07916672044489001	0.9238858809392441	0.361130824327757	True	lrt_mle	0.780,1.095	lrt_quadratic	two		True	0.7795201695911099	1.0949878582957184	False	True	False	mle	mle	lrt_mle	69560	4583	64977	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr4-33098029-INV-7075	0.361130824327757	0.361130824327757	True	lrt_mle	lrt_mle	0.9127042866512731	False	True	lrt_quadratic		0.780,1.095	0.7795201695911099	1.0949878582957184	
Abnormal_Papanicolaou_smear	73429	2928	70501	-0.032093197719998	0.9684163236799471	0.7608789372962741	True	lrt_mle	0.788,1.191	lrt_quadratic	two		True	0.7875850771373717	1.190766817698616	False	True	False	mle	mle	lrt_mle	73429	2928	70501	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr4-33098029-INV-7075	0.7608789372962741	0.7608789372962741	True	lrt_mle	lrt_mle	0.9333557003672052	False	True	lrt_quadratic		0.788,1.191	0.7875850771373717	1.190766817698616	
Rosacea	61398	296	61102	0.453634004114194	1.574021806534333	0.13274600828664102	True	lrt_mle	0.871,2.844	lrt_quadratic	two		True	0.8712917272305449	2.8435305535617057	False	True	False	mle	mle	lrt_mle	61398	296	61102	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr4-33098029-INV-7075	0.13274600828664102	0.13274600828664102	True	lrt_mle	lrt_mle	0.9015827916939885	False	True	lrt_quadratic		0.871,2.844	0.8712917272305449	2.8435305535617057	
Epidermal_thickening	66181	5079	61102	-0.10446903801928902	0.90080268761055	0.19574359667099803	True	lrt_mle	0.768,1.056	wald_mle	two		True	0.7681186217214121	1.056406470380681	False	True	False	mle	mle	lrt_mle	66181	5079	61102	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr4-33098029-INV-7075	0.19574359667099803	0.19574359667099803	True	lrt_mle	lrt_mle	0.9015827916939885	False	True	wald_mle		0.768,1.056	0.7681186217214121	1.056406470380681	
Abnormal_cytological_findings_in_specimens_from_genital_organs	74446	3945	70501	-0.06426327270373501	0.9377580809232761	0.48539534504021903	True	lrt_mle	0.783,1.123	lrt_quadratic	two		True	0.7828588134032289	1.1233062760244583	False	True	False	mle	mle	lrt_mle	74446	3945	70501	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr4-33098029-INV-7075	0.48539534504021903	0.48539534504021903	True	lrt_mle	lrt_mle	0.9333557003672052	False	True	lrt_quadratic		0.783,1.123	0.7828588134032289	1.1233062760244583	
Multinodular_goiter	60548	1966	58582	-0.11575489126798301	0.890693513301647	0.369163685711414	True	lrt_mle	0.692,1.147	lrt_quadratic	two		True	0.6918482874492315	1.1466891644157582	False	True	False	mle	mle	lrt_mle	60548	1966	58582	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr4-33098029-INV-7075	0.369163685711414	0.369163685711414	True	lrt_mle	lrt_mle	0.9157698628355411	False	True	lrt_quadratic		0.692,1.147	0.6918482874492315	1.1466891644157582	
Pure_hypercholesterolemia	65387	6805	58582	-0.080599855254219	0.9225627762435781	0.27121526853542505	True	lrt_mle	0.799,1.066	wald_mle	two		True	0.7986696708916111	1.06567471775921	False	True	False	mle	mle	lrt_mle	65387	6805	58582	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr4-33098029-INV-7075	0.27121526853542505	0.27121526853542505	True	lrt_mle	lrt_mle	0.9101667937253499	False	True	wald_mle		0.799,1.066	0.7986696708916111	1.06567471775921	
Benign_sarcoma_related_cancers	66484	4029	62455	-0.11317635626960301	0.8929931612857641	0.21559634211112003	True	lrt_mle	0.746,1.070	wald_mle	two		True	0.7455323488001201	1.069620637369471	False	True	False	mle	mle	lrt_mle	66484	4029	62455	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr4-33098029-INV-7075	0.21559634211112003	0.21559634211112003	True	lrt_mle	lrt_mle	0.9015827916939885	False	True	wald_mle		0.746,1.070	0.7455323488001201	1.069620637369471	
Melanocytic_nevi	63655	1200	62455	-0.18845378981486702	0.828238775621508	0.26312136084209803	True	lrt_mle	0.593,1.158	wald_mle	two		True	0.5926100925758621	1.157556170637104	False	True	False	mle	mle	lrt_mle	63655	1200	62455	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr4-33098029-INV-7075	0.26312136084209803	0.26312136084209803	True	lrt_mle	lrt_mle	0.9101667937253499	False	True	wald_mle		0.593,1.158	0.5926100925758621	1.157556170637104	
Migraine	72594	5689	66905	-0.087092223899526	0.916592559994949	0.261616165932369	True	lrt_mle	0.787,1.068	wald_mle	two		True	0.786627199465841	1.068030601546187	False	True	False	mle	mle	lrt_mle	72594	5689	66905	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr4-33098029-INV-7075	0.261616165932369	0.261616165932369	True	lrt_mle	lrt_mle	0.9101667937253499	False	True	wald_mle		0.787,1.068	0.786627199465841	1.068030601546187	
Diastolic_heart_failure	74446	2684	71762	-0.15464299707789	0.8567209747865311	0.157164365232658	True	lrt_mle	0.690,1.064	wald_mle	two		True	0.6898858975225131	1.063901771691503	False	True	False	mle	mle	lrt_mle	74446	2684	71762	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr4-33098029-INV-7075	0.157164365232658	0.157164365232658	True	lrt_mle	lrt_mle	0.9015827916939885	False	True	wald_mle		0.690,1.064	0.6898858975225131	1.063901771691503	
